,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Cuando Te Besé","Becky G",280943,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
2,"Vaina Loca",Ozuna,228590,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
3,"Toda - Remix","Alex Rose",214382,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
4,"Sin Pijama","Becky G",196502,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
5,"No Es Justo","J Balvin",177377,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
6,"Te Boté - Remix","Nio Garcia",169597,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
7,"Chica Paranormal","Paulo Londra",167244,https://open.spotify.com/track/2r77vqSZkOktTSgmAOoHsV
8,"Mala Mía",Maluma,153754,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
9,"Ya No Tiene Novio","Sebastian Yatra",145434,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
10,Asesina,Brytiago,140078,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
11,Clandestino,Shakira,136312,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
12,BEBE,6ix9ine,124097,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
13,"No Me Llores",Duki,123891,https://open.spotify.com/track/4DNzemGNnckcJSr8DVk8Uj
14,"No Te Creas Tan Importante - En Vivo","Damas Gratis",121621,https://open.spotify.com/track/3trowLiYwwOoiwapLISNyk
15,"No Me Acuerdo",Thalía,120492,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
16,"Me Niego",Reik,113006,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
17,"Mi Cama - Remix","Karol G",111146,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE
18,"Quiere Beber","Anuel Aa",103528,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
19,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",101193,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
20,Unica,Ozuna,99640,https://open.spotify.com/track/33b2wX9d0kxqxhi7lcsC1A
21,"Me Vas a Extrañar - En Vivo","Damas Gratis",96816,https://open.spotify.com/track/3CACzG9I3AoKUKA3ODE5zW
22,"Madura (feat. Bad Bunny)",Cosculluela,95930,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
23,"Si te vas","Lit Killah",93926,https://open.spotify.com/track/5VsHkOtg0Llpa6mTGZhp5e
24,"La Player (Bandolera)","Zion & Lennox",93239,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
25,"Amigos Con Derechos",Reik,92732,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
26,"El Clavo - Remix","Prince Royce",88369,https://open.spotify.com/track/6bI00brFpeprqCDqKouEJS
27,"Te Amo","Piso 21",87502,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
28,Árabe,Papichamp,85628,https://open.spotify.com/track/58qmrrvUkA09szrox83VDp
29,"Duro y Suave","Leslie Grace",85200,https://open.spotify.com/track/31M5m42C3EGlbydf9XB5to
30,"Quiero Volver",TINI,84866,https://open.spotify.com/track/1jcAZRfufvi67KWnwRmizE
31,"Otra Botella","Neo Pistea",83196,https://open.spotify.com/track/2WH26XlMjUamdUwG56ZqWf
32,"Por Perro","Sebastian Yatra",81499,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
33,"X - Remix","Nicky Jam",81413,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
34,"Me Dijeron",Ozuna,75181,https://open.spotify.com/track/17UUYZ290omPaJY4wKeyHh
35,Dimelo,"Paulo Londra",73745,https://open.spotify.com/track/3uwehoqKSQLa5lFFvIX6M3
36,"Estamos Bien","Bad Bunny",71630,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
37,"Sin Querer Queriendo (feat. Mau y Ricky)",Lali,68788,https://open.spotify.com/track/5rUNrHC5b0oYanaw370Ncz
38,"In My Feelings",Drake,67685,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
39,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",67307,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
40,Perdóname,FMK,66802,https://open.spotify.com/track/4Uy3Q3h0VbWWyyiB1MmRoP
41,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",65980,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
42,Hipócrita,"Anuel Aa",65459,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
43,"Dura - Remix","Daddy Yankee",64167,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
44,"Ahora no",FMK,63888,https://open.spotify.com/track/1fxwD70zSHgakPFIAC0pz7
45,"I Like It","Cardi B",63435,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
46,Ambiente,"J Balvin",62151,https://open.spotify.com/track/6VrBWh90BiwWmwKtvwWFcq
47,Bufón,"Lit Killah",60212,https://open.spotify.com/track/6ovp1nCwIAOSMotiCF7pjk
48,"Hijo De La Noche",Duki,55283,https://open.spotify.com/track/2p1AlnJxp15v7ohNuLwjbl
49,Ferrari,Duki,53917,https://open.spotify.com/track/1YIqazOPARc41ThBqS7a8F
50,"Girls Like You (feat. Cardi B)","Maroon 5",53744,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
51,Celoso,"Lele Pons",52751,https://open.spotify.com/track/33zcmmElV1YbRZe57biUjg
52,"Bella - Remix",Wolfine,48308,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
53,"El Préstamo",Maluma,48289,https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz
54,"No Hay Nadie Más","Sebastian Yatra",47427,https://open.spotify.com/track/3IPJg1sdqLj12kFIndaonN
55,X,"Nicky Jam",47041,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
56,"Como Le Digo",Khea,45997,https://open.spotify.com/track/2fxJDRmUMatqyZ6ZOQi7RD
57,"Zum Zum","Daddy Yankee",45566,https://open.spotify.com/track/7lEhOiFtcLXY4P7cuTKuQ8
58,"Mi Cama","Karol G",44871,https://open.spotify.com/track/7sFYVcKSb24qg0dAkqLEFj
59,Medicina,Anitta,44386,https://open.spotify.com/track/4R5xvs5X0phd0EYWyGigju
60,"Loca Remix",Khea,44248,https://open.spotify.com/track/2CRbiMK0W14l71SpDKqKZM
61,"Electricity (with Dua Lipa)","Silk City",43745,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
62,PURPURA,WOS,43644,https://open.spotify.com/track/0RHazYjaRGLIYPvn6mtRWY
63,Culpables,"Manuel Turizo",43275,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn
64,"Consejo de Amor",TINI,41464,https://open.spotify.com/track/1zHQ5gjJoNxT4RYFmGEWuo
65,Criminal,"Natti Natasha",41258,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
66,Calypso,"Luis Fonsi",40064,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
67,"I Love It (& Lil Pump)","Kanye West",39974,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
68,S.A.D,Khea,39567,https://open.spotify.com/track/46D8MyZ8htLBj7BjblMyeX
69,"¿Cual es tu plan?","Bad Bunny",38647,https://open.spotify.com/track/4HRDBtek0ayfLQ6uc7rjO9
70,"One Kiss (with Dua Lipa)","Calvin Harris",38432,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
71,"Síguelo Bailando",Ozuna,37647,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
72,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",37471,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
73,"She Don't Give a Fo",Duki,37268,https://open.spotify.com/track/6S3yaMAF7jB4GfjXdYLsD0
74,Vete,Khea,36333,https://open.spotify.com/track/2rZB6indPhp8C5AZK1PpkS
75,Casualidad,Nacho,35692,https://open.spotify.com/track/08rwXPBZ2DHOwnL7xaz044
76,"Nunca quise",Intoxicados,35406,https://open.spotify.com/track/0ZAJ660VP57lLK4U7NlGOy
77,"Puedo Ser",Cazzu,35231,https://open.spotify.com/track/5olxoiU59KJZTbqyzki5TW
78,Piso,Bhavi,34364,https://open.spotify.com/track/3Zkla0QqHsCTY1pWhY63GS
79,"Shape of You","Ed Sheeran",33646,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
80,Intento,"Ulises Bueno",33430,https://open.spotify.com/track/66ggNhGinVQLTYJODy6P74
81,"Si Te Sentis Sola",Duki,33305,https://open.spotify.com/track/2Z4VK9otSeq3MxWcEgptUa
82,"Me Rehúso","Danny Ocean",32360,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
83,Brindemos,"Anuel Aa",32291,https://open.spotify.com/track/7LeQ55Z5jPBB0ggYJtAiYO
84,"Mi Cubana Remix","Eladio Carrion",31781,https://open.spotify.com/track/0Th8lfTKVv32mZgXtGOxcd
85,"God is a woman","Ariana Grande",30812,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
86,"Amor (Ft. Mon Laferte) - MTV Unplugged","Los Auténticos Decadentes",30811,https://open.spotify.com/track/2fscHtYDKLd7xYRCTe3prP
87,"Quavo #Mododiablo",Duki,30769,https://open.spotify.com/track/7HLHYxRkEAWr90BGYxk15F
88,"No Quiero Más - Remix","Luck Ra",30673,https://open.spotify.com/track/4gdZVkGqbi4Xxq2uuUpfjo
89,Solita,Ozuna,30499,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
90,"Spaghetti del Rock",Divididos,30457,https://open.spotify.com/track/6rg1MBZqggsQ5olFGTw0rr
91,Creo,Callejeros,30389,https://open.spotify.com/track/5Bi9Cq5oVFy1OtUgecbegZ
92,"Tú Y Yo (feat. Nicky Jam & Justin Quiles)",Valentino,30260,https://open.spotify.com/track/58smOywZbVu8AjWutppiQA
93,Triste,"Bryant Myers",29980,https://open.spotify.com/track/5MNS5FF4LrTX0jIaI0gory
94,"Se Preparó",Ozuna,29905,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
95,Corazón,Maluma,29553,https://open.spotify.com/track/5cepAtqnEQ6yVG6088zMMu
96,Personalmente,"Las Pelotas",29206,https://open.spotify.com/track/7q7XFO9av9VpNJSXKJwJxD
97,"Epa Wei","Danny Ocean",29088,https://open.spotify.com/track/2QmsKag0YaqhAbpR9Nwmpn
98,"New Rules","Dua Lipa",29082,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
99,Dembow,"Danny Ocean",28834,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
100,"Ahora Te Puedes Marchar","Luis Miguel",28821,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E
101,"Mi Mala - Remix","Mau y Ricky",28805,https://open.spotify.com/track/6kOHug1s9Nd5gsHrX8irs2
102,"Condenado Para el Millon","Paulo Londra",28510,https://open.spotify.com/track/5UjhWsB5rddZEPlNUcGDLV
103,Crimen,"Gustavo Cerati",28502,https://open.spotify.com/track/3oqWr0jDWNXxWufNogGREp
104,"Alcohol (feat. Tobi)","Panter Music",28458,https://open.spotify.com/track/7bctBhmp3lMH2GvEM5Wqce
105,"Trátame Suavemente - Remasterizado 2007","Soda Stereo",28423,https://open.spotify.com/track/65DBZofI0b79kfHTcWWDuU
106,Bella,Wolfine,28413,https://open.spotify.com/track/3xcCix7Jv1Rp90YVmgo35D
107,Besame,Bhavi,28335,https://open.spotify.com/track/656wIOnR8PkaTASJAjd1pH
108,Marinero,Maluma,28273,https://open.spotify.com/track/6x5LBP3nYXVdIDoomChGr3
109,Ponle,Rvssian,28273,https://open.spotify.com/track/28O1p0bQXH2F6Qn8jBZZR4
110,Dura,"Daddy Yankee",28173,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
111,"La Incondicional","Luis Miguel",27832,https://open.spotify.com/track/6F9yAYUaNbUhdlQyt5uZ3b
112,Downtown,Anitta,27827,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
113,"Promises (with Sam Smith)","Calvin Harris",27814,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
114,"Un Poquito","Diego Torres",27723,https://open.spotify.com/track/5pH8g37XIkQej0AnlfQgNS
115,"Échame La Culpa","Luis Fonsi",27196,https://open.spotify.com/track/2hl6q70unbviGo3g1R7uFx
116,Believer,"Imagine Dragons",26848,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
117,"La Cintura (feat. Flo Rida & TINI) - Remix","Alvaro Soler",26598,https://open.spotify.com/track/56gH0zGe3SP9SGNoQ2pWwn
118,IDGAF,"Dua Lipa",26537,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
119,"A Partir De Hoy","David Bisbal",26182,https://open.spotify.com/track/7ojH6H4wE6XJNgzU4uvNc8
120,Ibiza,Ozuna,25798,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp
121,"Robarte un Beso","Carlos Vives",25598,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k
122,"Fvck Luv",Duki,25542,https://open.spotify.com/track/04EMkFMFkTaxWciZvxjkVT
123,"Hace Tiempo","Eladio Carrion",25375,https://open.spotify.com/track/2hZmq3hMh3KAAwqJbUkQHo
124,SAD!,XXXTENTACION,25281,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
125,Mayores,"Becky G",24942,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
126,"Como Soy","Pacho El Antifeka",24916,https://open.spotify.com/track/7jIfxFhZSmH3LGud6D5m2w
127,"Unica - Remix",Ozuna,24813,https://open.spotify.com/track/5Sv1rKKMX1yl9kfJ2HTluk
128,Perfect,"Ed Sheeran",24776,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
129,"Ella Fuma","Plan B",24629,https://open.spotify.com/track/4IYxcqhcFFJ025qfWJeulF
130,Peligrosa,"J Balvin",24400,https://open.spotify.com/track/3Nkqp3NSGWMXVVO08zGpN7
131,"Pasos Al Costado",Turf,24288,https://open.spotify.com/track/7upAH0ezzsThyvr33YKn4u
132,Hola,"Zion & Lennox",24162,https://open.spotify.com/track/2dYJKHEqAUTCk2U9zntaS1
133,"Seguir Viviendo Sin Tu Amor","Luis Alberto Spinetta",23964,https://open.spotify.com/track/2qBirMakpTdz9ymxrZEyzg
134,Sensualidad,"Bad Bunny",23912,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
135,M.I.A,Khea,23902,https://open.spotify.com/track/5eBAi26nr0KPcO3ko2hvLN
136,"No Brainer","DJ Khaled",23770,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
137,"Escápate Conmigo (feat. Ozuna)",Wisin,23564,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc
138,"RedTube - Remix","Sander Wazz",23384,https://open.spotify.com/track/4NGaYfTswHYjLVps8AAfTX
139,Oncemil,"Abel Pintos",23182,https://open.spotify.com/track/3y5ahYM9zwyOCt3mieZ0PZ
140,"Cuando Nadie Ve",Morat,23125,https://open.spotify.com/track/1Cxd4ZJJ9VOQQpNcpdcZEQ
141,"Campanas en la Noche","Los Tipitos",23057,https://open.spotify.com/track/0C9V5jMElp7laZZdsCHufD
142,Bipolar,"Chris Jeday",22869,https://open.spotify.com/track/4WzsycqZkpkS48H9AAAGux
143,"Suena El Dembow","Joey Montana",22854,https://open.spotify.com/track/0woHVOh3KXLSDv8VU9XwZ4
144,"no tears left to cry","Ariana Grande",22822,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
145,Chapiadora,Cazzu,22810,https://open.spotify.com/track/3Fdth9HQGCGuGXptoftjfA
146,"Solo (feat. Demi Lovato)","Clean Bandit",22634,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
147,Esperándote,"Manuel Turizo",22548,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj
148,Amorfoda,"Bad Bunny",22294,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF
149,"Si Te Lastime","Seven Kayne",22289,https://open.spotify.com/track/7k09lnI8FXcEREvDps6oPJ
150,"Apaga el celular","Lit Killah",22274,https://open.spotify.com/track/7BhCvFVZwe04hLpNutqTdg
151,"Quiero Repetir",Ozuna,22110,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri
152,"Una Nueva Noche Fría",Callejeros,22007,https://open.spotify.com/track/39KmBOGkD1ztCbVeo2uspA
153,Princesa,TINI,21982,https://open.spotify.com/track/6JpjnU0v7J3r7iHcWxLo6P
154,"Felices los 4",Maluma,21887,https://open.spotify.com/track/1RouRzlg8OKFeqc6LvdxmB
155,"Se Vuelve Loca",CNCO,21853,https://open.spotify.com/track/2PYmyMAMlhX1eVevLo5A6n
156,"Casi un G","Ysy A",21746,https://open.spotify.com/track/0CEuRbdXmopiGOI1ZALzLz
157,Dicen,"Matt Hunter",21663,https://open.spotify.com/track/4cfoVJxpHqUqTvBrG1RTyi
158,Rockstar,Duki,21536,https://open.spotify.com/track/5DQGkXXLiOhf5cKqIyWh5L
159,"Lucky You (feat. Joyner Lucas)",Eminem,21475,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
160,"La Vida Sin Ti","Piso 21",21449,https://open.spotify.com/track/1RvL7eHoeUolnQbWm2Hnba
161,breathin,"Ariana Grande",21415,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
162,Loca,Cazzu,21404,https://open.spotify.com/track/0vnrhysrKKRdNYFKLAGzRc
163,"Me Gusta","Ciro y los Persas",21323,https://open.spotify.com/track/3pMo77B4r1NwwIK78lO4xf
164,"In My Mind",Dynoro,21252,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
165,"Calypso - Remix","Luis Fonsi",21202,https://open.spotify.com/track/3B1q4Cv9PcYdiOpzqKSEIV
166,Havana,"Camila Cabello",21157,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
167,"Otra Vez (feat. J Balvin)","Zion & Lennox",21145,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
168,"El Farsante - Remix",Ozuna,21076,https://open.spotify.com/track/7uYgVgRSgqluZclLS7wpp4
169,"A las Nueve","No Te Va Gustar",21031,https://open.spotify.com/track/0uuEqOyKlABOB7hzWKcEeG
170,"I'm Yours","Jason Mraz",21024,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
171,Rompe,Papichamp,20911,https://open.spotify.com/track/6ewMpZ67VVndT6RiQfhjPp
172,"La Razón Que Te Demora","La Renga",20849,https://open.spotify.com/track/0ljyHIWERJQp8O5LKgKm1l
173,"Mil Horas","Los Abuelos De La Nada",20810,https://open.spotify.com/track/2cnzoggZA19R6DiWGhKU42
174,"The Scientist",Coldplay,20702,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
175,Natural,"Imagine Dragons",20691,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
176,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,20593,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
177,"Rocanroles Sin Destino",Callejeros,20507,https://open.spotify.com/track/46yA2K9FA0PaCbeWkezvFC
178,Original,Arcangel,20427,https://open.spotify.com/track/1LBlcCtOrKITXpEp1hnNpj
179,"Culpable O No - Miénteme Como Siempre","Luis Miguel",20224,https://open.spotify.com/track/7BwxbmYFy0l3ROHDjV2c14
180,"Te Robo","Zato DJ",19942,https://open.spotify.com/track/1Mytkdy3EAWY0TmAiPaFmr
181,"Luna Llena","Paulo Londra",19765,https://open.spotify.com/track/1kK7yrknQvA2wEU5zyG41m
182,"Juntos a la Par",Pappo,19755,https://open.spotify.com/track/1Ig4pCPanhzXl7C86MmBUc
183,"Que Va","Alex Sensation",19725,https://open.spotify.com/track/6J1R5wtPXiHiwiPstOSI56
184,"Jocelyn Flores",XXXTENTACION,19638,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
185,Puente,"Gustavo Cerati",19637,https://open.spotify.com/track/6gwaa6ElIixNTvu6RwkMyo
186,Ahora,"J Balvin",19449,https://open.spotify.com/track/2yBWnRKj0Zx7AF1kufajvW
187,"God's Plan",Drake,19434,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
