,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Cuando Te Besé","Becky G",11716,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
2,"Vaina Loca",Ozuna,11665,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
3,"Mala Mía",Maluma,10633,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
4,"No Es Justo","J Balvin",10229,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
5,"Amigos Con Derechos",Reik,10096,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
6,"Por Perro","Sebastian Yatra",8712,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
7,"Sin Pijama","Becky G",8466,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
8,"Ya No Tiene Novio","Sebastian Yatra",8079,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
9,"Te Boté - Remix","Nio Garcia",7930,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
10,"Quiere Beber","Anuel Aa",7471,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
11,BEBE,6ix9ine,7172,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
12,Culpables,"Manuel Turizo",7117,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn
13,"No Me Acuerdo",Thalía,6752,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
14,Clandestino,Shakira,6706,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
15,Asesina,Brytiago,6360,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
16,"Toda - Remix","Alex Rose",6295,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
17,"La Player (Bandolera)","Zion & Lennox",6063,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
18,"Te Amo","Piso 21",5188,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
19,"Me Niego",Reik,5169,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
20,Hipócrita,"Anuel Aa",5065,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
21,"Chica Paranormal","Paulo Londra",5015,https://open.spotify.com/track/2r77vqSZkOktTSgmAOoHsV
22,"Epa Wei","Danny Ocean",4979,https://open.spotify.com/track/2QmsKag0YaqhAbpR9Nwmpn
23,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",4970,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
24,"X - Remix","Nicky Jam",4718,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
25,"I Like It","Cardi B",4536,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
26,"Mi Cama - Remix","Karol G",4366,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE
27,"Ella Me Persigue",Alkilados,4350,https://open.spotify.com/track/5lKfxy2Lzs2yJWqHuWHUIq
28,"Bella - Remix",Wolfine,4197,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
29,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",4056,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
30,"El Clavo - Remix","Prince Royce",4050,https://open.spotify.com/track/6bI00brFpeprqCDqKouEJS
31,"Dura - Remix","Daddy Yankee",3924,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
32,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",3810,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
33,"Madura (feat. Bad Bunny)",Cosculluela,3662,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
34,"El Préstamo",Maluma,3629,https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz
35,"In My Feelings",Drake,3624,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
36,Celoso,"Lele Pons",3596,https://open.spotify.com/track/33zcmmElV1YbRZe57biUjg
37,Medicina,Anitta,3558,https://open.spotify.com/track/4R5xvs5X0phd0EYWyGigju
38,"Estamos Bien","Bad Bunny",3529,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
39,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",3526,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
40,Dembow,"Danny Ocean",3393,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
41,"Me Dijeron",Ozuna,3307,https://open.spotify.com/track/17UUYZ290omPaJY4wKeyHh
42,"¿Cual es tu plan?","Bad Bunny",3280,https://open.spotify.com/track/4HRDBtek0ayfLQ6uc7rjO9
43,Unica,Ozuna,3078,https://open.spotify.com/track/33b2wX9d0kxqxhi7lcsC1A
44,Calypso,"Luis Fonsi",3052,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
45,"Zum Zum","Daddy Yankee",3042,https://open.spotify.com/track/7lEhOiFtcLXY4P7cuTKuQ8
46,Borracha,Yera,3040,https://open.spotify.com/track/50c90QkLEHoUknqxwUrPls
47,"Girls Like You (feat. Cardi B)","Maroon 5",2901,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
48,X,"Nicky Jam",2860,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
49,"Cuando Nadie Ve",Morat,2855,https://open.spotify.com/track/1Cxd4ZJJ9VOQQpNcpdcZEQ
50,"No Hay Nadie Más","Sebastian Yatra",2768,https://open.spotify.com/track/3IPJg1sdqLj12kFIndaonN
51,"Me Rehúso","Danny Ocean",2573,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
52,"I Love It (& Lil Pump)","Kanye West",2527,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
53,"La Vida Sin Ti","Piso 21",2516,https://open.spotify.com/track/1RvL7eHoeUolnQbWm2Hnba
54,"Se Vuelve Loca",CNCO,2508,https://open.spotify.com/track/2PYmyMAMlhX1eVevLo5A6n
55,"Puntos Suspensivos","Piso 21",2500,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv
56,Casualidad,Nacho,2474,https://open.spotify.com/track/08rwXPBZ2DHOwnL7xaz044
57,"Tú Y Yo (feat. Nicky Jam & Justin Quiles)",Valentino,2472,https://open.spotify.com/track/58smOywZbVu8AjWutppiQA
58,"Duro y Suave","Leslie Grace",2437,https://open.spotify.com/track/31M5m42C3EGlbydf9XB5to
59,Esperándote,"Manuel Turizo",2277,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj
60,Ambiente,"J Balvin",2247,https://open.spotify.com/track/6VrBWh90BiwWmwKtvwWFcq
61,Marinero,Maluma,2236,https://open.spotify.com/track/6x5LBP3nYXVdIDoomChGr3
62,Amantes,Greeicy,2219,https://open.spotify.com/track/3IyPnNX142pvWx6D5CiimD
63,"Loca Remix",Khea,2198,https://open.spotify.com/track/2CRbiMK0W14l71SpDKqKZM
64,"Ni Gucci Ni Prada","Kenny Man",2183,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ
65,"Hookah & Sheridan s","Tommy Boysen",2145,https://open.spotify.com/track/3QfD4bxxkopZL7XZ8RaezH
66,"Shape of You","Ed Sheeran",1992,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
67,Believer,"Imagine Dragons",1972,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
68,"One Kiss (with Dua Lipa)","Calvin Harris",1960,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
69,"In My Mind",Dynoro,1921,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
70,Sirena,"Cali Y El Dandee",1901,https://open.spotify.com/track/1juHIWqgFiDFAKuEBP24Lt
71,"Otra Vez (feat. J Balvin)","Zion & Lennox",1891,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
72,"Síguelo Bailando",Ozuna,1873,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
73,Criminal,"Natti Natasha",1871,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
74,"Promises (with Sam Smith)","Calvin Harris",1860,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
75,"A Partir De Hoy","David Bisbal",1859,https://open.spotify.com/track/7ojH6H4wE6XJNgzU4uvNc8
76,"Mi Cama","Karol G",1825,https://open.spotify.com/track/7sFYVcKSb24qg0dAkqLEFj
77,Bella,Wolfine,1819,https://open.spotify.com/track/3xcCix7Jv1Rp90YVmgo35D
78,Natural,"Imagine Dragons",1814,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
79,"Suena El Dembow","Joey Montana",1791,https://open.spotify.com/track/0woHVOh3KXLSDv8VU9XwZ4
80,Corazón,Maluma,1788,https://open.spotify.com/track/5cepAtqnEQ6yVG6088zMMu
81,Solita,Ozuna,1787,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
82,Dicen,"Matt Hunter",1787,https://open.spotify.com/track/4cfoVJxpHqUqTvBrG1RTyi
