,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Ciumeira - Ao Vivo","Marília Mendonça",580424,https://open.spotify.com/track/2H1liABu20HXBOmbt5SQz1
2,"Largado Às Traças - Ao Vivo","Zé Neto & Cristiano",446163,https://open.spotify.com/track/1IJH7QjV5V99eJBtKXqGXE
3,Medicina,Anitta,432805,https://open.spotify.com/track/4R5xvs5X0phd0EYWyGigju
4,"Só Você","Dennis DJ",428456,https://open.spotify.com/track/4xc6RrWzEOdprPqYn9Cyen
5,"Ao Vivo E A Cores","Matheus & Kauan",411877,https://open.spotify.com/track/2Ab1wPTEqulaCGoBak1gUo
6,"Meu Abrigo",Melim,379389,https://open.spotify.com/track/5U28PY9MekLyCBYtLHGQpe
7,"Pouca Pausa",Clau,352397,https://open.spotify.com/track/2odzriVVZBwYOiYJEj30tm
8,"O Bebê","MC Kevinho",343709,https://open.spotify.com/track/51HrDv54pSe1IqynORNXBd
9,"Propaganda - Ao Vivo","Jorge & Mateus",338167,https://open.spotify.com/track/74n5d5M21JnC4WJ6gdkggK
10,Favela,"Ina Wroldsen",304798,https://open.spotify.com/track/2JVbZEpewmqNlSzmXJTx2E
11,"Quero Que Tu Vá",Ananda,301223,https://open.spotify.com/track/7ppLcVgxpoWAhAa2c0CN3b
12,"Romance Com Safadeza","Wesley Safadão",283422,https://open.spotify.com/track/0RBOFW5424gCCCZrgECbt6
13,"Notificação Preferida - Ao Vivo","Zé Neto & Cristiano",278915,https://open.spotify.com/track/2qkNnJvQvhLiZ63X1L3eFz
14,"Medley da Gaiola - Dennis DJ Remix","MC Kevin o Chris",274565,https://open.spotify.com/track/7rLegaz7zKB6EtDNzcslKE
15,"Status Que Eu Não Queria - Ao Vivo","Zé Neto & Cristiano",271171,https://open.spotify.com/track/1fyhyOy6iS9E2NckAzjmTo
16,"O Alvo - Ao Vivo","Diego & Victor Hugo",263976,https://open.spotify.com/track/5Vw6ZLNB6Ko7VZM6vmNIbr
17,"Sofazinho - Ao Vivo","Luan Santana",262440,https://open.spotify.com/track/2PMLdLt5QeOuOgxfAvx1in
18,"Zé da Recaída","Gusttavo Lima",259358,https://open.spotify.com/track/4iGwWeV7XVIWO9Yy5QExOr
19,"A Culpa É Dele - Ao Vivo | Acústico","Marília Mendonça",258223,https://open.spotify.com/track/6yxYagNp6Gapd7jXmWzgVc
20,Fuleragem,"MC WM",253976,https://open.spotify.com/track/6tuzPD1zPPvwMbGiD0TBay
21,"Pra Inveja É Tchau","Mc Kevin",244812,https://open.spotify.com/track/4cnNrOojGyU6J3OXqVTPIg
22,Kikadinha,"Jerry Smith",242669,https://open.spotify.com/track/5TUYLsiIi3tuvR2fCJjZUy
23,"Amor de Verdade","MC Kekel",242484,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
24,"Novinha Você É uma Flor","MCs Thin e Alexandre",240864,https://open.spotify.com/track/4kiauw5SBqEsu5GuGD09aM
25,"Jogo do Amor","MC Bruninho",229236,https://open.spotify.com/track/3MxbRHE1u74SoMNR9iURIZ
26,"Bebida Na Ferida - Ao Vivo","Zé Neto & Cristiano",219405,https://open.spotify.com/track/3HEb6Y5dv8PgD6JgsIQNac
27,"In My Feelings",Drake,218116,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
28,"Coladinha em Mim - Ao Vivo","Gustavo Mioto",216386,https://open.spotify.com/track/4JPSfCXQe6kDliMIJTqISW
29,"Bem Pior Que Eu - Ao Vivo","Marília Mendonça",215403,https://open.spotify.com/track/4CdMz076UN8RyeWGQCdqFZ
30,"Amor Falso","Aldair Playboy",213709,https://open.spotify.com/track/00zzSEe82JTtz68XlARnh7
31,"In My Mind",Dynoro,213350,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
32,"Mundo de Ilusões - Ao Vivo","Gusttavo Lima",209362,https://open.spotify.com/track/3UxbT06Mz8aTJbHYYIxwkI
33,"Saudade Nível Hard","Yasmin Santos",207988,https://open.spotify.com/track/2dmGj5Nf01FcR6N4HPzAbL
