,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Love It (& Lil Pump)","Kanye West",296905,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
2,"Lucky You (feat. Joyner Lucas)",Eminem,257965,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
3,"SICKO MODE","Travis Scott",212866,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
4,"In My Feelings",Drake,173168,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
5,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,162803,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
6,"Eastside (with Halsey & Khalid)","benny blanco",159639,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
7,Happier,Marshmello,151795,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
8,"Lucid Dreams","Juice WRLD",141369,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
9,Nonstop,Drake,138281,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
10,"The Ringer",Eminem,137991,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
11,"Taste (feat. Offset)",Tyga,136828,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
12,"Promises (with Sam Smith)","Calvin Harris",135057,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
13,"Girls Like You (feat. Cardi B)","Maroon 5",131499,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
14,"No Brainer","DJ Khaled",122080,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
15,"Body (feat. brando)","Loud Luxury",120781,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
16,"Better Now","Post Malone",117515,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
17,"Not Alike (feat. Royce Da 5'9)",Eminem,115610,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
18,"I Like It","Cardi B",109539,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
19,"RAP DEVIL","Machine Gun Kelly",109243,https://open.spotify.com/track/63TyoT9Ee03rQxv8xmdJ2l
20,Fall,Eminem,108568,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
21,breathin,"Ariana Grande",105488,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
22,Youngblood,"5 Seconds of Summer",104950,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
23,SAD!,XXXTENTACION,100034,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
24,"Jackie Chan",Tiësto,95738,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
25,"In My Mind",Dynoro,95566,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
26,Better,Khalid,95066,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
27,STARGAZING,"Travis Scott",94717,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
28,"Wake Up in the Sky","Gucci Mane",94702,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
29,Natural,"Imagine Dragons",93347,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
30,"Be Alright","Dean Lewis",90210,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
