,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,BEBE,6ix9ine,301855,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
2,"Quiere Beber","Anuel Aa",271050,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
3,"Vaina Loca",Ozuna,271036,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
4,Hipócrita,"Anuel Aa",239729,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
5,"No Es Justo","J Balvin",209674,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
6,"Cuando Te Besé","Becky G",178831,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
7,"Te Boté - Remix","Nio Garcia",167833,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
8,"Sin Pijama","Becky G",151448,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
9,"La Player (Bandolera)","Zion & Lennox",146370,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
10,Asesina,Brytiago,144268,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
11,"No Me Acuerdo",Thalía,141489,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
12,"Toda - Remix","Alex Rose",139837,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
13,"Por Perro","Sebastian Yatra",117925,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
14,"Ya No Tiene Novio","Sebastian Yatra",105261,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
15,"Estamos Bien","Bad Bunny",103568,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
16,"Chica Paranormal","Paulo Londra",101668,https://open.spotify.com/track/2r77vqSZkOktTSgmAOoHsV
17,"Duro y Suave","Leslie Grace",100635,https://open.spotify.com/track/31M5m42C3EGlbydf9XB5to
18,"Mala Mía",Maluma,99504,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
19,"Me Dijeron",Ozuna,99174,https://open.spotify.com/track/17UUYZ290omPaJY4wKeyHh
20,"Me Niego",Reik,97968,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
21,"Madura (feat. Bad Bunny)",Cosculluela,96905,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
22,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",94002,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
23,Culpables,"Karol G",91799,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
24,Unica,Ozuna,87750,https://open.spotify.com/track/33b2wX9d0kxqxhi7lcsC1A
25,Clandestino,Shakira,87062,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
26,"Pensando en Ti","Anuel Aa",86609,https://open.spotify.com/track/3aY5VP7fEtVHfEc1o8eRNK
27,"Dura - Remix","Daddy Yankee",85287,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
28,"X - Remix","Nicky Jam",83110,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
29,Brindemos,"Anuel Aa",82917,https://open.spotify.com/track/7LeQ55Z5jPBB0ggYJtAiYO
30,Supuestamente,Ozuna,82537,https://open.spotify.com/track/1ZBU5DSoYQwaZVgep6pfn2
31,"Zum Zum","Daddy Yankee",79867,https://open.spotify.com/track/7lEhOiFtcLXY4P7cuTKuQ8
32,"Unica - Remix",Ozuna,78761,https://open.spotify.com/track/5Sv1rKKMX1yl9kfJ2HTluk
