,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Vaina Loca",Ozuna,71423,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
2,"No Es Justo","J Balvin",67774,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
3,Mocca,"Lalo Ebratt",66851,https://open.spotify.com/track/0NKoPGc72yUKTIneVhFfg1
4,Culpables,"Manuel Turizo",65117,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn
5,"Ya No Tiene Novio","Sebastian Yatra",59678,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
6,BEBE,6ix9ine,59359,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
7,"Mala Mía",Maluma,55388,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
8,"La Player (Bandolera)","Zion & Lennox",50429,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
9,"Quiere Beber","Anuel Aa",44162,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
10,"Cuando Te Besé","Becky G",42822,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
11,PPP,"Kevin Roldan",41478,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS
12,"Sin Pijama","Becky G",41293,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
13,"Magia (feat. Sebastian Yatra)","Andrés Cepeda",38314,https://open.spotify.com/track/6xAhkN7uE1qdhPa8jZwhTb
14,Justicia,"Silvestre Dangond",37352,https://open.spotify.com/track/6ipp8Dhs33KinlF4BStgca
15,"Por Perro","Sebastian Yatra",36831,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
16,"Te Amo","Piso 21",35404,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
17,"Te Boté - Remix","Nio Garcia",34788,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
18,Ambiente,"J Balvin",34128,https://open.spotify.com/track/6VrBWh90BiwWmwKtvwWFcq
19,"Me Niego",Reik,32632,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
20,"Toda - Remix","Alex Rose",32512,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
21,"Madura (feat. Bad Bunny)",Cosculluela,32394,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
22,"I Like It","Cardi B",29819,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
23,"Epa Wei","Danny Ocean",29231,https://open.spotify.com/track/2QmsKag0YaqhAbpR9Nwmpn
24,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",28892,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
25,Hipócrita,"Anuel Aa",28096,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
26,"Amigos Con Derechos",Reik,27199,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
27,Asesina,Brytiago,26947,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
28,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",26814,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
29,Clandestino,Shakira,25766,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
30,"Girls Like You (feat. Cardi B)","Maroon 5",25536,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
31,"X - Remix","Nicky Jam",25264,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
32,"In My Feelings",Drake,24989,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
33,Ibiza,Ozuna,24897,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp
34,Esperándote,"Manuel Turizo",24601,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj
35,"Me Dijeron",Ozuna,23801,https://open.spotify.com/track/17UUYZ290omPaJY4wKeyHh
36,"No Hay Nadie Más","Sebastian Yatra",23739,https://open.spotify.com/track/3IPJg1sdqLj12kFIndaonN
37,Ponle,Rvssian,23576,https://open.spotify.com/track/28O1p0bQXH2F6Qn8jBZZR4
38,"Mi Cama - Remix","Karol G",23461,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE
39,"Estamos Bien","Bad Bunny",23043,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
40,Unica,Ozuna,22923,https://open.spotify.com/track/33b2wX9d0kxqxhi7lcsC1A
41,Dembow,"Danny Ocean",22835,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
42,"Bella - Remix",Wolfine,21524,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
43,Borracha,Yera,21460,https://open.spotify.com/track/50c90QkLEHoUknqxwUrPls
44,Sirena,"Cali Y El Dandee",21065,https://open.spotify.com/track/1juHIWqgFiDFAKuEBP24Lt
45,"La Vida Sin Ti","Piso 21",21053,https://open.spotify.com/track/1RvL7eHoeUolnQbWm2Hnba
46,"Síguelo Bailando",Ozuna,20132,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
47,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",20056,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
48,"Robarte un Beso","Carlos Vives",19049,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k
49,"¿Cual es tu plan?","Bad Bunny",18838,https://open.spotify.com/track/4HRDBtek0ayfLQ6uc7rjO9
50,Ahora,"J Balvin",18309,https://open.spotify.com/track/2yBWnRKj0Zx7AF1kufajvW
51,Culpables,"Karol G",16088,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
52,Marinero,Maluma,16003,https://open.spotify.com/track/6x5LBP3nYXVdIDoomChGr3
53,"Más Fuerte",Greeicy,15681,https://open.spotify.com/track/2fKwgxMdLZ1IZPUXEG1Si7
54,"Quiero Repetir",Ozuna,15626,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri
55,"Besos En Guerra",Morat,14680,https://open.spotify.com/track/5KgdtjmglXPjJNKvMvSjgo
56,"Te Voy a Amar","Andrés Cepeda",14666,https://open.spotify.com/track/6G6DiIkasBrTbARK74U7kv
57,X,"Nicky Jam",14657,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
58,Amantes,Greeicy,14399,https://open.spotify.com/track/3IyPnNX142pvWx6D5CiimD
59,Invencible,ChocQuibTown,14007,https://open.spotify.com/track/7JnFZ24rWPKVxFZd1xw6dm
60,"I Love It (& Lil Pump)","Kanye West",13720,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
61,"El Embrujo",Morat,13169,https://open.spotify.com/track/6GM7WCa0accugI9b2JTeix
62,"Cuando Nadie Ve",Morat,12931,https://open.spotify.com/track/1Cxd4ZJJ9VOQQpNcpdcZEQ
63,"Say My Name","David Guetta",12874,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
64,"Simples Corazones",Fonseca,12813,https://open.spotify.com/track/6SVEw266UzbkAKfCLeBPGy
65,"Me Rehúso","Danny Ocean",12680,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
66,Casualidad,Nacho,12471,https://open.spotify.com/track/08rwXPBZ2DHOwnL7xaz044
67,"One Kiss (with Dua Lipa)","Calvin Harris",12400,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
68,"No Me Acuerdo",Thalía,12156,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
