,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Toda - Remix","Alex Rose",23264,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
2,"Vaina Loca",Ozuna,23034,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
3,BEBE,6ix9ine,19499,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
4,"Quiere Beber","Anuel Aa",18430,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
5,"Te Boté - Remix","Nio Garcia",17227,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
6,"No Es Justo","J Balvin",15948,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
7,Culpables,"Manuel Turizo",15309,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn
8,Asesina,Brytiago,15249,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
9,"La Player (Bandolera)","Zion & Lennox",14420,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
10,"Cuando Te Besé","Becky G",13781,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
11,"Sin Pijama","Becky G",11932,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
12,Unica,Ozuna,11904,https://open.spotify.com/track/33b2wX9d0kxqxhi7lcsC1A
13,"In My Feelings",Drake,11182,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
14,"I Like It","Cardi B",10825,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
15,"Te Amo","Piso 21",10437,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
16,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",10015,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
17,"Madura (feat. Bad Bunny)",Cosculluela,9843,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
18,"Mala Mía",Maluma,9506,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
19,"I Love It (& Lil Pump)","Kanye West",9447,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
