,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Vaina Loca",Ozuna,8494,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
2,"No Es Justo","J Balvin",7222,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
3,BEBE,6ix9ine,6396,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
4,"Te Boté - Remix","Nio Garcia",5967,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
5,"Toda - Remix","Alex Rose",5917,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
6,"Quiere Beber","Anuel Aa",5914,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
7,"La Player (Bandolera)","Zion & Lennox",5846,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
8,"Sin Pijama","Becky G",5073,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
9,"Cuando Te Besé","Becky G",4809,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
10,"Mala Mía",Maluma,4671,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
11,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",4386,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
12,"Amigos Con Derechos",Reik,4301,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
13,"I Like It","Cardi B",4287,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
14,"Por Perro","Sebastian Yatra",4285,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
15,"No Me Acuerdo",Thalía,4116,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
16,"Ya No Tiene Novio","Sebastian Yatra",3958,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
17,"Estamos Bien","Bad Bunny",3890,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
18,Asesina,Brytiago,3835,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
19,"Me Niego",Reik,3646,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
20,Clandestino,Shakira,3639,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
21,"Te Amo","Piso 21",3606,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
22,"In My Feelings",Drake,3525,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
23,Hipócrita,"Anuel Aa",3487,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
24,Culpables,"Manuel Turizo",3485,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn
25,"Epa Wei","Danny Ocean",3170,https://open.spotify.com/track/2QmsKag0YaqhAbpR9Nwmpn
26,"Chica Paranormal","Paulo Londra",3022,https://open.spotify.com/track/2r77vqSZkOktTSgmAOoHsV
27,Unica,Ozuna,2987,https://open.spotify.com/track/33b2wX9d0kxqxhi7lcsC1A
