,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Vaina Loca",Ozuna,16937,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
2,"No Es Justo","J Balvin",13984,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
3,"Quiere Beber","Anuel Aa",13477,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
4,BEBE,6ix9ine,12109,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
5,"Te Boté - Remix","Nio Garcia",11407,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
6,"La Player (Bandolera)","Zion & Lennox",10752,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
7,"Cuando Te Besé","Becky G",10033,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
8,"Mala Mía",Maluma,9963,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
9,"Sin Pijama","Becky G",9476,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
10,"Por Perro","Sebastian Yatra",8888,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
11,"Amigos Con Derechos",Reik,8583,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
12,"Toda - Remix","Alex Rose",8434,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
13,Hipócrita,"Anuel Aa",8098,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
14,Asesina,Brytiago,7897,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
15,Culpables,"Manuel Turizo",7813,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn
16,"Fíjate Que Si","Edwin Luna y La Trakalosa de Monterrey",7149,https://open.spotify.com/track/7FEmLU7M5aZ5O7FlOdxB33
17,"Ya No Tiene Novio","Sebastian Yatra",7104,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
18,Clandestino,Shakira,7075,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
19,"No Me Acuerdo",Thalía,6949,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
20,"Te Amo","Piso 21",6782,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
21,"Me Niego",Reik,6751,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
22,"Estamos Bien","Bad Bunny",6668,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
23,"I Like It","Cardi B",6402,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
24,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",6261,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
25,"Madura (feat. Bad Bunny)",Cosculluela,6183,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
26,Unica,Ozuna,6102,https://open.spotify.com/track/33b2wX9d0kxqxhi7lcsC1A
27,"X - Remix","Nicky Jam",5925,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
28,"Epa Wei","Danny Ocean",5920,https://open.spotify.com/track/2QmsKag0YaqhAbpR9Nwmpn
29,"Dura - Remix","Daddy Yankee",5463,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
30,"In My Feelings",Drake,5385,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
31,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",5291,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
32,PPP,"Kevin Roldan",5256,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS
33,"Chica Paranormal","Paulo Londra",4988,https://open.spotify.com/track/2r77vqSZkOktTSgmAOoHsV
34,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",4954,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
35,"Girls Like You (feat. Cardi B)","Maroon 5",4933,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
36,Ibiza,Ozuna,4886,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp
37,Dembow,"Danny Ocean",4716,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
38,"Me Dijeron",Ozuna,4697,https://open.spotify.com/track/17UUYZ290omPaJY4wKeyHh
39,"Mi Cama - Remix","Karol G",4620,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE
40,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",4590,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
41,Casualidad,Nacho,4447,https://open.spotify.com/track/08rwXPBZ2DHOwnL7xaz044
42,X,"Nicky Jam",4442,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
43,"Zum Zum","Daddy Yankee",4401,https://open.spotify.com/track/7lEhOiFtcLXY4P7cuTKuQ8
44,Brindemos,"Anuel Aa",4219,https://open.spotify.com/track/7LeQ55Z5jPBB0ggYJtAiYO
45,"One Kiss (with Dua Lipa)","Calvin Harris",4111,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
46,"Síguelo Bailando",Ozuna,4106,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
47,"Bella - Remix",Wolfine,3945,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
48,"Promises (with Sam Smith)","Calvin Harris",3854,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
49,"No Hay Nadie Más","Sebastian Yatra",3784,https://open.spotify.com/track/3IPJg1sdqLj12kFIndaonN
50,"Me Rehúso","Danny Ocean",3750,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
51,"El Color de Tus Ojos","Banda Sinaloense MS de Sergio Lizárraga",3728,https://open.spotify.com/track/1l77YWrGUp3qX3NS1rz7lq
52,"Loca Remix",Khea,3693,https://open.spotify.com/track/2CRbiMK0W14l71SpDKqKZM
53,"To My Love - Tainy Remix","Bomba Estéreo",3638,https://open.spotify.com/track/5LciLoxa1gK70yIUeoHgRx
54,"Cuando Nadie Ve",Morat,3493,https://open.spotify.com/track/1Cxd4ZJJ9VOQQpNcpdcZEQ
55,"¿Cual es tu plan?","Bad Bunny",3470,https://open.spotify.com/track/4HRDBtek0ayfLQ6uc7rjO9
56,Culpables,"Karol G",3415,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
