,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Quiere Beber","Anuel Aa",7892,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
2,BEBE,6ix9ine,7303,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
3,"Vaina Loca",Ozuna,7192,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
4,"No Es Justo","J Balvin",6548,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
5,"Toda - Remix","Alex Rose",6307,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
6,Asesina,Brytiago,5980,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
7,"Te Boté - Remix","Nio Garcia",5745,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
8,"Estamos Bien","Bad Bunny",5155,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
9,"La Player (Bandolera)","Zion & Lennox",5098,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
10,"Mala Mía",Maluma,4970,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
11,Hipócrita,"Anuel Aa",4672,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
12,"Sin Pijama","Becky G",4334,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
13,"Por Perro","Sebastian Yatra",4053,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
14,"I Like It","Cardi B",3942,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
15,"In My Feelings",Drake,3668,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
16,"Madura (feat. Bad Bunny)",Cosculluela,3629,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
17,"Cuando Te Besé","Becky G",3540,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
18,Brindemos,"Anuel Aa",3503,https://open.spotify.com/track/7LeQ55Z5jPBB0ggYJtAiYO
19,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",3291,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
20,"¿Cual es tu plan?","Bad Bunny",3284,https://open.spotify.com/track/4HRDBtek0ayfLQ6uc7rjO9
21,"Me Niego",Reik,3005,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
22,"Te Amo","Piso 21",2986,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
23,"Hookah & Sheridan s","Tommy Boysen",2953,https://open.spotify.com/track/3QfD4bxxkopZL7XZ8RaezH
24,Unica,Ozuna,2932,https://open.spotify.com/track/33b2wX9d0kxqxhi7lcsC1A
25,"No Me Acuerdo",Thalía,2913,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
26,Culpables,"Manuel Turizo",2880,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn
27,"Amigos Con Derechos",Reik,2833,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
28,"Girls Like You (feat. Cardi B)","Maroon 5",2827,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
29,"Ya No Tiene Novio","Sebastian Yatra",2790,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
30,Clandestino,Shakira,2743,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
31,"Epa Wei","Danny Ocean",2720,https://open.spotify.com/track/2QmsKag0YaqhAbpR9Nwmpn
32,"I Love It (& Lil Pump)","Kanye West",2716,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
33,"One Kiss (with Dua Lipa)","Calvin Harris",2683,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
34,"Dura - Remix","Daddy Yankee",2682,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
35,"Loca Remix",Khea,2618,https://open.spotify.com/track/2CRbiMK0W14l71SpDKqKZM
36,"X - Remix","Nicky Jam",2461,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
37,"Zum Zum","Daddy Yankee",2375,https://open.spotify.com/track/7lEhOiFtcLXY4P7cuTKuQ8
38,Triste,"Bryant Myers",2369,https://open.spotify.com/track/5MNS5FF4LrTX0jIaI0gory
39,"To My Love - Tainy Remix","Bomba Estéreo",2337,https://open.spotify.com/track/5LciLoxa1gK70yIUeoHgRx
40,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",2310,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
41,X,"Nicky Jam",2270,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
42,"Dale Vieja Dale","Toño Rosario",2269,https://open.spotify.com/track/734vYzX6YKgSDHzXuLQJmg
43,"Ni Gucci Ni Prada","Kenny Man",2260,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ
44,"Mi Cama - Remix","Karol G",2218,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE
45,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,2181,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
46,"Electricity (with Dua Lipa)","Silk City",2118,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
47,Solita,Ozuna,2068,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
48,Original,Arcangel,2017,https://open.spotify.com/track/1LBlcCtOrKITXpEp1hnNpj
49,"Promises (with Sam Smith)","Calvin Harris",1984,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
50,IDGAF,"Dua Lipa",1937,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
51,Culpables,"Karol G",1885,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
52,Mocca,"Lalo Ebratt",1854,https://open.spotify.com/track/0NKoPGc72yUKTIneVhFfg1
53,Dembow,"Danny Ocean",1847,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
54,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",1772,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
55,"Me Rehúso","Danny Ocean",1761,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
56,Subete,"Lary Over",1760,https://open.spotify.com/track/6CWMm2mJOrKyDH4W1X5d06
57,"Síguelo Bailando",Ozuna,1712,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
58,Coolant,Farruko,1671,https://open.spotify.com/track/2fHOqQ9K6eY0wsbVZiYZPw
59,"God's Plan",Drake,1661,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
60,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",1654,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
61,"Bella - Remix",Wolfine,1627,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
62,Celoso,"Lele Pons",1604,https://open.spotify.com/track/33zcmmElV1YbRZe57biUjg
63,"New Rules","Dua Lipa",1599,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
64,"Me Dijeron",Ozuna,1583,https://open.spotify.com/track/17UUYZ290omPaJY4wKeyHh
65,Ibiza,Ozuna,1568,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp
66,"Robarte un Beso","Carlos Vives",1483,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k
67,"Como Soy","Pacho El Antifeka",1467,https://open.spotify.com/track/7jIfxFhZSmH3LGud6D5m2w
68,"La Modelo",Ozuna,1464,https://open.spotify.com/track/2SbzdGpOKlH3HIAGTWTbwU
69,"Lucky You (feat. Joyner Lucas)",Eminem,1453,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
70,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",1445,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
71,"Chica Paranormal","Paulo Londra",1432,https://open.spotify.com/track/2r77vqSZkOktTSgmAOoHsV
72,"Shape of You","Ed Sheeran",1426,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
