,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Lucky You (feat. Joyner Lucas)",Eminem,11070,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
2,"Be Alright","Dean Lewis",10767,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
3,Happier,Marshmello,10682,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
4,"Eastside (with Halsey & Khalid)","benny blanco",10572,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
5,breathin,"Ariana Grande",8982,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
6,"Girls Like You (feat. Cardi B)","Maroon 5",8959,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
7,"Promises (with Sam Smith)","Calvin Harris",8916,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
8,"Beautiful (feat. Camila Cabello)",Bazzi,8765,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
9,"I Love It (& Lil Pump)","Kanye West",8248,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
10,Darkside,"Alan Walker",8071,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
11,"Electricity (with Dua Lipa)","Silk City",8054,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
12,"Happy Now",Zedd,7883,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
13,"In My Feelings",Drake,7682,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
14,"No Brainer","DJ Khaled",7448,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
15,漸漸,"Eason Chan",7098,https://open.spotify.com/track/4zD2h6vDuzVm1QWyQJlb0P
16,Natural,"Imagine Dragons",6772,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
17,"Thunderclouds with Sia, Diplo & Labrinth",Sia,6699,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
18,說散就散,"JC 陳泳彤",6587,https://open.spotify.com/track/3CE1HoJJ0FVKo7JHsWIuvC
19,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",6475,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
20,心之科學,"Joey Yung",6237,https://open.spotify.com/track/1gVMd7oYGo6Whlgg7pAa7M
21,別𠱁我,"JC 陳泳彤",6216,https://open.spotify.com/track/6VeoA1vxx9dueepuakIbMr
22,"8 Letters","Why Don't We",5922,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
23,千年如一日,"Sammi Cheng",5773,https://open.spotify.com/track/7mkgfcip1n2inHYT0zCj03
24,認真如初,"Jason Chan",5709,https://open.spotify.com/track/51sLlaSnNj51ZQe799MmBy
25,"SICKO MODE","Travis Scott",5676,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
26,Rise,"Jonas Blue",5558,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
