,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Mind",Dynoro,17018,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
2,"I Love It (& Lil Pump)","Kanye West",14279,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
3,"Lucky You (feat. Joyner Lucas)",Eminem,11848,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
4,Natural,"Imagine Dragons",10131,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
5,Füttyös,Majka,10057,https://open.spotify.com/track/6bsERSsjVL4Cpt0e2t77Vx
6,"Promises (with Sam Smith)","Calvin Harris",9563,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
7,"Nem Tudja Senki","Follow The Flow",8840,https://open.spotify.com/track/0XlgY6Jrh51dY2Bfepj9hK
8,"Solo (feat. Demi Lovato)","Clean Bandit",8659,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
9,Happier,Marshmello,8531,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
10,"Say My Name","David Guetta",8190,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
11,"Eastside (with Halsey & Khalid)","benny blanco",7808,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
12,"Girls Like You (feat. Cardi B)","Maroon 5",7281,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
13,"Electricity (with Dua Lipa)","Silk City",6933,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
14,"Blah Blah Blah","Armin van Buuren",6700,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
15,"In My Feelings",Drake,6687,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
16,Rise,"Jonas Blue",6685,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
17,"Burn Out (feat. Dewain Whitmore)","Martin Garrix",6466,https://open.spotify.com/track/7IWTIkiWGWNQyYfOLdMrGD
18,"Be Alright","Dean Lewis",6310,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
19,Fall,Eminem,6257,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
20,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",6257,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
21,"The Ringer",Eminem,6151,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
22,"Thunderclouds with Sia, Diplo & Labrinth",Sia,6100,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
23,"Hol van az a lány","DR BRS",5848,https://open.spotify.com/track/5qmqZ2Fh9dHhDT82afD08n
24,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",5821,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
25,"Body (feat. brando)","Loud Luxury",5818,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
26,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",5735,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
27,"Jackie Chan",Tiësto,5693,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
28,Nevermind,"Dennis Lloyd",5632,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
29,Youngblood,"5 Seconds of Summer",5456,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
30,breathin,"Ariana Grande",5354,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
31,"One Kiss (with Dua Lipa)","Calvin Harris",5298,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
