,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Promises (with Sam Smith)","Calvin Harris",70878,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
2,"I Love It (& Lil Pump)","Kanye West",66538,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
3,"Eastside (with Halsey & Khalid)","benny blanco",61878,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
4,"Body (feat. brando)","Loud Luxury",55274,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
5,"In My Mind",Dynoro,52103,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
6,Happier,Marshmello,44482,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
7,Shotgun,"George Ezra",41007,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
8,"Lucky You (feat. Joyner Lucas)",Eminem,36415,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
9,"Electricity (with Dua Lipa)","Silk City",36362,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
10,"In My Feelings",Drake,34886,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
11,"No Brainer","DJ Khaled",34452,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
12,"Be Alright","Dean Lewis",32897,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
13,Rise,"Jonas Blue",32531,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
14,breathin,"Ariana Grande",29855,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
15,"God is a woman","Ariana Grande",28074,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
16,"If You're Over Me","Years & Years",25421,https://open.spotify.com/track/1oc3jna2ablnfIKLYbKujl
17,"Jackie Chan",Tiësto,25211,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
18,"Girls Like You (feat. Cardi B)","Maroon 5",24654,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
19,"Lucid Dreams","Juice WRLD",24232,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
20,"Thunderclouds with Sia, Diplo & Labrinth",Sia,22850,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
21,"Ring Ring (feat. Mabel & Rich The Kid)","Jax Jones",21564,https://open.spotify.com/track/3pSfoP1xZllxEuZ6Oh6ebn
22,"Taste (feat. Offset)",Tyga,21526,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
23,"Only You (with Little Mix)","Cheat Codes",21163,https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
24,Nevermind,"Dennis Lloyd",21091,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
25,"The Ringer",Eminem,21010,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
26,"All I Am","Jess Glynne",20789,https://open.spotify.com/track/6X6SdJzxyw7GzxwP2fr9WV
27,"SICKO MODE","Travis Scott",19924,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
28,Youngblood,"5 Seconds of Summer",19746,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
29,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",19721,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
30,"Solo (feat. Demi Lovato)","Clean Bandit",19149,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
31,Fall,Eminem,18561,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
32,"Better Now","Post Malone",16822,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
33,"High Hopes","Panic! At The Disco",16414,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
34,"Beautiful (feat. Camila Cabello)",Bazzi,16058,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
35,"One Kiss (with Dua Lipa)","Calvin Harris",15927,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
36,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",15811,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
37,Paradise,"George Ezra",15751,https://open.spotify.com/track/38zwkK6TtTjIW9tpYBfZ3D
38,SAD!,XXXTENTACION,15666,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
39,"Happy Now",Zedd,15375,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
40,2002,Anne-Marie,14922,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
41,"RAP DEVIL","Machine Gun Kelly",14645,https://open.spotify.com/track/63TyoT9Ee03rQxv8xmdJ2l
42,"Nina Cried Power (feat. Mavis Staples)",Hozier,14578,https://open.spotify.com/track/7wR5r0KYGXBpyWXCdyYs3F
43,Natural,"Imagine Dragons",14420,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
44,"Not Alike (feat. Royce Da 5'9)",Eminem,14116,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
45,"Ocean (feat. Khalid)","Martin Garrix",13949,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
46,"no tears left to cry","Ariana Grande",13804,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
47,"Born To Be Yours",Kygo,13686,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
48,Greatest,Eminem,13236,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
49,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",13151,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
50,"I Like It","Cardi B",12744,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
51,Better,Khalid,12347,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
52,"Wake Up in the Sky","Gucci Mane",12314,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
53,"Say My Name","David Guetta",12169,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
54,Kamikaze,Eminem,11954,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
55,Nonstop,Drake,10823,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
56,"Sincerity Is Scary","The 1975",10775,https://open.spotify.com/track/06Vthiq8nNDuT5nOcch535
57,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",10595,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
58,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,10584,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
59,"Don’t Matter To Me (with Michael Jackson)",Drake,10511,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
