,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Love It (& Lil Pump)","Kanye West",8393,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
2,"Lucky You (feat. Joyner Lucas)",Eminem,8202,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
3,Happier,Marshmello,5307,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
4,"In My Mind",Dynoro,5247,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
5,"Girls Like You (feat. Cardi B)","Maroon 5",5112,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
6,"In My Feelings",Drake,5045,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
7,"Lucid Dreams","Juice WRLD",5002,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
8,"No Brainer","DJ Khaled",4886,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
9,צבעים,"גיל ויין",4880,https://open.spotify.com/track/2OJS0hRtiTOh51SEDJWLlm
10,גומיגם,"Static & Ben El Tavori",4788,https://open.spotify.com/track/2tGGxOQW48qI5oQku2ACj6
11,"Promises (with Sam Smith)","Calvin Harris",4526,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
12,"Eastside (with Halsey & Khalid)","benny blanco",4510,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
13,"Comme ci comme ca","Stephane legar",4436,https://open.spotify.com/track/0poi1IyVFRKXI2jvHmdaIa
14,Rise,"Jonas Blue",4206,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
15,Natural,"Imagine Dragons",4154,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
16,"שני משוגעים","Omer Adam",4035,https://open.spotify.com/track/1EbUjcgx4c1tLHdqC6eHJd
17,"Thunderclouds with Sia, Diplo & Labrinth",Sia,3881,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
18,"Solo (feat. Demi Lovato)","Clean Bandit",3768,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
19,"Electricity (with Dua Lipa)","Silk City",3758,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
20,"אוהבת אותי אמיתי","Omer Adam",3607,https://open.spotify.com/track/7suO6u1sJuNnkLpBTWmYjX
21,"I Like It","Cardi B",3556,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
22,"Body (feat. brando)","Loud Luxury",3481,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
23,"Be Alright","Dean Lewis",3419,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
24,breathin,"Ariana Grande",3303,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
25,שיכורים,"Eden Hason",3301,https://open.spotify.com/track/5EG4ur1MYuX1ZRirNaE4hv
