,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,打上花火,DAOKO×米津玄師,26837,https://open.spotify.com/track/4IouQaO9GkaHC7AtMErdSa
2,U.S.A.,"DA PUMP",25768,https://open.spotify.com/track/4qZyuyqLoZ3CaH79rGvJFR
3,HANABI,Mr.Children,25003,https://open.spotify.com/track/77lmDcPPyY6kK907gdgC6i
4,マリーゴールド,Aimyon,22584,https://open.spotify.com/track/0jWVUKsIoyo3zw64RaEWYg
5,BDZ,TWICE,22118,https://open.spotify.com/track/6ceKChoZYLdw24Ph1CDFUJ
6,青と夏,"Mrs. GREEN APPLE",20373,https://open.spotify.com/track/0a3587n25Xhw098UeEbeJq
7,恋音と雨空,AAA,19787,https://open.spotify.com/track/46gSY0U7ZZCmd7EuJuo15N
8,小さな恋のうた,MONGOL800,19340,https://open.spotify.com/track/7swIKcU4tFRk4iFJpi12Fg
9,君はロックを聴かない,Aimyon,18728,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM
10,愛をこめて花束を,Superfly,18435,https://open.spotify.com/track/7CmWXD3w1xOO53AAO4LRVQ
11,"Shape of You","Ed Sheeran",18169,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
12,"No Brainer","DJ Khaled",18080,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
13,"Wherever you are","ONE OK ROCK",17432,https://open.spotify.com/track/0YAMQSmHk6BSUGTYpaoqTJ
14,"My Boo","Shota Shimizu",17304,https://open.spotify.com/track/2gasr6aemUqZIBBN05EO03
15,"Ainokatachi (feat. HIDE (GReeeeN))",MISIA,16842,https://open.spotify.com/track/3YO08EfyAkr3WEba4xmWkS
16,Rise,"Jonas Blue",16417,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
17,Change,"ONE OK ROCK",15996,https://open.spotify.com/track/6KBj27Bko8gh71gpx0PzIG
18,DEJAVU,AAA,15698,https://open.spotify.com/track/4HxP6JOfuxnJUZY21zo4hF
19,ワタリドリ,[Alexandros],15646,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o
20,"In My Feelings",Drake,15112,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
21,愛唄,GReeeeN,14516,https://open.spotify.com/track/6ANQEKJui81dRMb6xD3XrO
