,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Love It (& Lil Pump)","Kanye West",7192,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
2,"In My Mind",Dynoro,5016,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
3,"Lucky You (feat. Joyner Lucas)",Eminem,4683,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
4,"Promises (with Sam Smith)","Calvin Harris",3932,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
5,"Zemes stunda",Ansis,3601,https://open.spotify.com/track/7MSS9mAqAHHkUCa7HL0RbA
6,Natural,"Imagine Dragons",2960,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
7,"Eastside (with Halsey & Khalid)","benny blanco",2923,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
8,Happier,Marshmello,2880,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
9,"Body (feat. brando)","Loud Luxury",2648,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
10,Fall,Eminem,2618,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
11,"Be Alright","Dean Lewis",2519,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
12,"SICKO MODE","Travis Scott",2507,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
13,"The Ringer",Eminem,2485,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
14,"Lucid Dreams","Juice WRLD",2427,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
15,"In My Feelings",Drake,2408,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
16,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,2404,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
17,"Wake Up in the Sky","Gucci Mane",2353,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
18,Nevermind,"Dennis Lloyd",2254,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
19,"Better Now","Post Malone",2192,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
20,SAD!,XXXTENTACION,2129,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
21,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",2098,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
22,"Self Care","Mac Miller",2094,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
23,"Praise The Lord (Da Shine)","A$AP Rocky",2064,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
24,breathin,"Ariana Grande",2061,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
25,"Electricity (with Dua Lipa)","Silk City",2048,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
26,"Thunderclouds with Sia, Diplo & Labrinth",Sia,2013,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
27,"Say My Name","David Guetta",2007,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
28,"Taste (feat. Offset)",Tyga,1951,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
