,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Love It (& Lil Pump)","Kanye West",6689,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
2,"Promises (with Sam Smith)","Calvin Harris",5665,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
3,"In My Mind",Dynoro,5160,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
4,"Lucky You (feat. Joyner Lucas)",Eminem,4377,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
5,"Eastside (with Halsey & Khalid)","benny blanco",3282,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
6,Happier,Marshmello,3261,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
7,"Be Alright","Dean Lewis",2972,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
8,Natural,"Imagine Dragons",2873,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
9,"Electricity (with Dua Lipa)","Silk City",2847,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
10,"Body (feat. brando)","Loud Luxury",2831,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
11,breathin,"Ariana Grande",2795,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
12,"Thunderclouds with Sia, Diplo & Labrinth",Sia,2712,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
13,"Say My Name","David Guetta",2589,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
14,Better,Khalid,2475,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
15,"In My Feelings",Drake,2420,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
16,"Wake Up in the Sky","Gucci Mane",2358,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
17,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",2325,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
18,"SICKO MODE","Travis Scott",2247,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
19,"Girls Like You (feat. Cardi B)","Maroon 5",2180,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
20,"The Ringer",Eminem,2152,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
21,Shotgun,"George Ezra",2086,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
22,Fall,Eminem,2054,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
23,"Mariners Apartment Complex","Lana Del Rey",2045,https://open.spotify.com/track/4UAW2gObi5o6sJla0qZpPn
24,Nevermind,"Dennis Lloyd",1933,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
25,"Beautiful (feat. Camila Cabello)",Bazzi,1907,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
26,"Burn Out (feat. Dewain Whitmore)","Martin Garrix",1906,https://open.spotify.com/track/7IWTIkiWGWNQyYfOLdMrGD
27,"Solo (feat. Demi Lovato)","Clean Bandit",1904,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
28,"SLOW DANCING IN THE DARK",Joji,1807,https://open.spotify.com/track/0UyljEbX9dqI1K0sqdv6B6
29,"Lucid Dreams","Juice WRLD",1806,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
30,"Happy Now",Zedd,1790,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
31,"One Kiss (with Dua Lipa)","Calvin Harris",1779,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
32,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,1772,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
33,Rise,"Jonas Blue",1762,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
34,Youngblood,"5 Seconds of Summer",1761,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
35,REMEDY,Alesso,1757,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
36,"No Brainer","DJ Khaled",1725,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
37,"Praise The Lord (Da Shine)","A$AP Rocky",1718,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
38,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",1706,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
39,Nonstop,Drake,1676,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
40,"Taste (feat. Offset)",Tyga,1665,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
