,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Vaina Loca",Ozuna,404329,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
2,"No Es Justo","J Balvin",381633,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
3,"Te Boté - Remix","Nio Garcia",338216,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
4,BEBE,6ix9ine,309623,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
5,"Amigos Con Derechos",Reik,308014,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
6,"Sin Pijama","Becky G",299754,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
7,"Mala Mía",Maluma,286296,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
8,"No Me Acuerdo",Thalía,267842,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
9,"Cuando Te Besé","Becky G",246203,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
10,Clandestino,Shakira,243683,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
11,"In My Feelings",Drake,220258,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
12,Culpables,"Manuel Turizo",218893,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn
13,"Ya No Tiene Novio","Sebastian Yatra",193974,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
14,Asesina,Brytiago,190576,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
15,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",188974,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
16,"La Player (Bandolera)","Zion & Lennox",181574,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
17,"Nunca Es Suficiente","Los Angeles Azules",179812,https://open.spotify.com/track/63USmok1OioBzKuWGW9wAg
18,"Por Perro","Sebastian Yatra",179003,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
19,"Me Niego",Reik,178878,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
20,"I Like It","Cardi B",177462,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
21,X,"Nicky Jam",169270,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
22,"In My Mind",Dynoro,168241,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
23,"Cuando Nadie Ve",Morat,167506,https://open.spotify.com/track/1Cxd4ZJJ9VOQQpNcpdcZEQ
24,"Girls Like You (feat. Cardi B)","Maroon 5",166499,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
25,"Promises (with Sam Smith)","Calvin Harris",164055,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
26,"Te Amo","Piso 21",154023,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
27,"One Kiss (with Dua Lipa)","Calvin Harris",153535,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
28,"Quiere Beber","Anuel Aa",152478,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
29,"Culpable O No - Miénteme Como Siempre","Luis Miguel",151726,https://open.spotify.com/track/7BwxbmYFy0l3ROHDjV2c14
30,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",151523,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
31,"Chica Paranormal","Paulo Londra",148573,https://open.spotify.com/track/2r77vqSZkOktTSgmAOoHsV
32,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",142614,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
33,"Ahora Te Puedes Marchar","Luis Miguel",142148,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E
34,"X - Remix","Nicky Jam",140571,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
35,"Dura - Remix","Daddy Yankee",140544,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
36,"Epa Wei","Danny Ocean",139401,https://open.spotify.com/track/2QmsKag0YaqhAbpR9Nwmpn
37,"No Hay Nadie Más","Sebastian Yatra",138858,https://open.spotify.com/track/3IPJg1sdqLj12kFIndaonN
38,"Me Rehúso","Danny Ocean",137565,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
39,"Mi Cama - Remix","Karol G",136141,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE
40,"El Color de Tus Ojos","Banda Sinaloense MS de Sergio Lizárraga",132782,https://open.spotify.com/track/1l77YWrGUp3qX3NS1rz7lq
41,"To My Love - Tainy Remix","Bomba Estéreo",127603,https://open.spotify.com/track/5LciLoxa1gK70yIUeoHgRx
42,Unica,Ozuna,126209,https://open.spotify.com/track/33b2wX9d0kxqxhi7lcsC1A
43,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,125783,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
44,"Electricity (with Dua Lipa)","Silk City",125705,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
45,"I Love It (& Lil Pump)","Kanye West",125613,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
46,"Mejor Me Alejo","Banda Sinaloense MS de Sergio Lizárraga",121658,https://open.spotify.com/track/5OUGSwa2eadrcAsMdUItmO
47,"En Donde Esta Tu Amor","Virlan Garcia",121187,https://open.spotify.com/track/3HGJyp3fbmd5ylCe3dvLiS
48,Dembow,"Danny Ocean",118957,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
49,Natural,"Imagine Dragons",118131,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
50,"La Mujer Perfecta",KURT,111637,https://open.spotify.com/track/0mAGeks6ns4FZWBPkjD9HR
51,"México En La Piel","Luis Miguel",111150,https://open.spotify.com/track/5BPq1UQa1NSN647R6IzD3n
