,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Bitch, hør her!","Melina Johnsen",125322,https://open.spotify.com/track/1vE38ibMSYKjDc82vY9pcq
2,"I Love It (& Lil Pump)","Kanye West",123170,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
3,"In My Mind",Dynoro,120681,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
4,Darkside,"Alan Walker",107094,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
5,"Eastside (with Halsey & Khalid)","benny blanco",103415,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
6,"Lucky You (feat. Joyner Lucas)",Eminem,96187,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
7,"Promises (with Sam Smith)","Calvin Harris",90371,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
8,"Be Alright","Dean Lewis",84366,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
9,"Ignite (feat. SEUNGRI)",K-391,69570,https://open.spotify.com/track/0UMLejbZXf7YVgnfxURvVr
10,Happier,Marshmello,68260,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
11,"Happy Now",Zedd,67166,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
12,Natural,"Imagine Dragons",65294,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
13,REMEDY,Alesso,61950,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
14,"Lucid Dreams","Juice WRLD",59993,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
15,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",54627,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
16,"Girls Like You (feat. Cardi B)","Maroon 5",54449,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
17,Better,Khalid,53796,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
18,"I'm a Mess","Bebe Rexha",52834,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
19,"In My Feelings",Drake,52551,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
20,"Love Someone","Lukas Graham",51800,https://open.spotify.com/track/6r3baE6njwU4aoJq6zPukG
21,"Beautiful (feat. Camila Cabello)",Bazzi,51147,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
22,"Say My Name","David Guetta",51115,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
23,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",50062,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
24,Mother,"Ina Wroldsen",49934,https://open.spotify.com/track/3nHtJ3HtqFomq1Qz7OzRR0
25,"The Ringer",Eminem,49187,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
26,"Solo (feat. Demi Lovato)","Clean Bandit",48333,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
27,Youngblood,"5 Seconds of Summer",48102,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
28,"Born To Be Yours",Kygo,47245,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
29,"The Half",Ruben,45267,https://open.spotify.com/track/0oBsVtrDebt26nMG1Rm9X5
30,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,44671,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
31,"Burn Out (feat. Dewain Whitmore)","Martin Garrix",44548,https://open.spotify.com/track/7IWTIkiWGWNQyYfOLdMrGD
32,"Better Now","Post Malone",44175,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
33,"Taste (feat. Offset)",Tyga,43443,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
34,"Ocean (feat. Khalid)","Martin Garrix",42702,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
35,Sommerkroppen,"Mads Hansen",42383,https://open.spotify.com/track/6HqobDaKcIiv7iRierChsK
36,"SICKO MODE","Travis Scott",42104,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
37,Favela,"Ina Wroldsen",42079,https://open.spotify.com/track/2JVbZEpewmqNlSzmXJTx2E
38,BlimE,"Freddy Kalas",41600,https://open.spotify.com/track/5ai9JSCJ6HE9ClW9CjFWcw
39,Fall,Eminem,41389,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
40,"Wake Up in the Sky","Gucci Mane",40696,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
41,"No Brainer","DJ Khaled",39453,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
42,"High Hopes","Panic! At The Disco",39221,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
43,SAD!,XXXTENTACION,38457,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
44,"Thunderclouds with Sia, Diplo & Labrinth",Sia,38036,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
45,"Body (feat. brando)","Loud Luxury",37819,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
46,"God is a woman","Ariana Grande",37533,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
47,"Electricity (with Dua Lipa)","Silk City",35966,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
48,Rise,"Jonas Blue",34830,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
49,"Føler Meg Bedre",OnklP,34775,https://open.spotify.com/track/5aj9YYWJXnO4h9E5qIGXNb
50,"Jackie Chan",Tiësto,34764,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
51,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",33594,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
52,"Say Love","James TW",33164,https://open.spotify.com/track/1csB4kgdyglOQdH0EyFIqy
53,IMPRINT,"FELIX SANDMAN",32934,https://open.spotify.com/track/10UXRzj0jS58wxFR0qVm3r
