,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Mind",Dynoro,74124,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
2,"I Love It (& Lil Pump)","Kanye West",65741,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
3,Początek,"Męskie Granie Orkiestra 2018",57822,https://open.spotify.com/track/6TfeSFGbqxGjIKuKLQOsKC
4,"Розовое вино",Allj,57152,https://open.spotify.com/track/4LDcQ9sLkKCie4XcKaEwJD
5,Małomiasteczkowy,"Dawid Podsiadlo",52803,https://open.spotify.com/track/4pzE97EZMDxnqO88y3YxAm
6,Natural,"Imagine Dragons",52043,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
7,Fiji,"Taco Hemingway",51621,https://open.spotify.com/track/2CdCs9y04oDuYCF4ewNzI7
8,"Promises (with Sam Smith)","Calvin Harris",50562,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
9,California,"White 2115",50263,https://open.spotify.com/track/2nFaT0t36H6UX3wN3Vxvjm
10,"Body (feat. brando)","Loud Luxury",47663,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
11,"Weź nie pytaj","Paweł Domagała",45489,https://open.spotify.com/track/4WgOhIHX0Ez6vJ7Efu9zbQ
12,"Sorry Dolores",Reto,44033,https://open.spotify.com/track/0yd4OCmrcqvsAMUJGCMEFQ
13,Rise,"Jonas Blue",43013,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
14,Shotgun,"George Ezra",39883,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
15,Nevermind,"Dennis Lloyd",39434,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
16,"One Last Time (feat. Jesper Jenset)",Gromee,37960,https://open.spotify.com/track/2fsUx17P1kqo8s5LZKO8oh
17,Wiking,Sarius,37211,https://open.spotify.com/track/1ef8jV2jElVL74JzBKo6K7
18,"Solo (feat. Demi Lovato)","Clean Bandit",36764,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
19,Youngblood,"5 Seconds of Summer",36043,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
20,Casablanca,BLACHA,34208,https://open.spotify.com/track/54NQP70Bn4nAspwZODu732
21,"Ignite (feat. SEUNGRI)",K-391,34085,https://open.spotify.com/track/0UMLejbZXf7YVgnfxURvVr
22,Darkside,"Alan Walker",33617,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
23,"In My Feelings",Drake,32900,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
24,"King Of The Jungle",Shanguy,32564,https://open.spotify.com/track/4wgiUYmfM37dcGhBwy0KZh
25,"Jackie Chan",Tiësto,31958,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
26,"Lucky You (feat. Joyner Lucas)",Eminem,31409,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
27,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",30758,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
28,Happier,Marshmello,28897,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
29,"Girls Like You (feat. Cardi B)","Maroon 5",28595,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
30,"Cały Świat",Miyo,27996,https://open.spotify.com/track/7KYbFAh1V93H0NWkFNAWTa
31,"One Kiss (with Dua Lipa)","Calvin Harris",27796,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
32,"Wszystko czego dziś chcę (z serialu Rojst na Showmax)",Brodka,27536,https://open.spotify.com/track/0FoR0PrLkw6t64waJX3qT5
33,Raj,"The Dumplings",27315,https://open.spotify.com/track/7IpWiH5wEeHhgCiStJiSJ8
34,Tamagotchi,TACONAFIDE,26843,https://open.spotify.com/track/3yI9jZu5AE7y7kUCqfBhCA
35,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,26418,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
36,UA,Reto,26280,https://open.spotify.com/track/3Vmq9lE9ayaO1wpcdxjn7c
37,SAD!,XXXTENTACION,25871,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
38,"8 kobiet - Remix",TACONAFIDE,25539,https://open.spotify.com/track/5s6jooT9ZcUjjD5qVx9B5K
39,"Dobry chłopak",Sarius,25019,https://open.spotify.com/track/1vY066qHEkkbd5WLb5XlxR
40,"I Like It","Cardi B",24062,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
41,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",23637,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
42,"Say My Name","David Guetta",23560,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
43,"Thunderclouds with Sia, Diplo & Labrinth",Sia,22903,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
44,"Happy Now",Zedd,22565,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
45,"Chcemy być wyżej [Projekt Tymczasem]",Sokół,22434,https://open.spotify.com/track/1srFSCDkg4EqIUaxvEbR9v
46,ZTM,"Taco Hemingway",21729,https://open.spotify.com/track/0kF9dFTuO9G2IpcDcPMKxQ
47,"Born To Be Yours",Kygo,21728,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
48,"Eastside (with Halsey & Khalid)","benny blanco",21635,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
49,"no tears left to cry","Ariana Grande",21539,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
50,Rockstar,"White 2115",21516,https://open.spotify.com/track/3VgpoGvUHhdiIvwjqMMacc
51,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",21122,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
52,"Shape of You","Ed Sheeran",20967,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
53,"God is a woman","Ariana Grande",20780,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
54,"Mariners Apartment Complex","Lana Del Rey",20562,https://open.spotify.com/track/4UAW2gObi5o6sJla0qZpPn
55,WIFI,Guzior,19879,https://open.spotify.com/track/0al5IxhkvzwfKaHytMKNHk
56,"Be Alright","Dean Lewis",19776,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
57,Outside,Kartky,19741,https://open.spotify.com/track/4SDdeq8HUaKPUGiE4WMASH
58,breathin,"Ariana Grande",19242,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
59,Trapollo,Żabson,19182,https://open.spotify.com/track/6rXG5o3QapxdoWtltSWWN3
