,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Devia Ir","Wet Bed Gang",41558,https://open.spotify.com/track/1ftBvRj542ol7LT1A0EtL7
2,"In My Feelings",Drake,24289,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
3,"Lucky You (feat. Joyner Lucas)",Eminem,23338,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
4,"Te Boté - Remix","Nio Garcia",23163,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
5,"Mafiosa (feat. Caroliina)",Lartiste,21639,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
6,"I Love It (& Lil Pump)","Kanye West",19959,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
7,"Lucid Dreams","Juice WRLD",19810,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
8,"Cafeína (feat. Plutónio)","Dj Dadda",18568,https://open.spotify.com/track/37tlhZnzXdF5en96O1j93w
9,"Amor de Verdade","MC Kekel",16828,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
10,"In My Mind",Dynoro,16548,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
11,"Girls Like You (feat. Cardi B)","Maroon 5",15945,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
12,"Eastside (with Halsey & Khalid)","benny blanco",15645,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
13,Natural,"Imagine Dragons",15550,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
14,SAD!,XXXTENTACION,15459,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
15,"NÓS2 (feat. Deezy)",Bispo,15256,https://open.spotify.com/track/4Pl3vnDKIJRQ1eXjeqimBR
16,"O Bebê","MC Kevinho",15010,https://open.spotify.com/track/51HrDv54pSe1IqynORNXBd
17,"Din Din Din (Participação especial de MC Pupio e MC Doguinha)",Ludmilla,14763,https://open.spotify.com/track/78Q2gghkt8iLJ7J0Uc4QYb
