,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Be Alright","Dean Lewis",41480,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
2,"Eastside (with Halsey & Khalid)","benny blanco",37666,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
3,"Beautiful (feat. Camila Cabello)",Bazzi,35334,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
4,Happier,Marshmello,33889,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
5,"Thunderclouds with Sia, Diplo & Labrinth",Sia,30630,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
6,Darkside,"Alan Walker",30132,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
7,"Girls Like You (feat. Cardi B)","Maroon 5",28094,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
8,"Happy Now",Zedd,26894,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
9,breathin,"Ariana Grande",26286,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
10,"8 Letters","Why Don't We",26123,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
11,"Lucky You (feat. Joyner Lucas)",Eminem,25368,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
12,"Promises (with Sam Smith)","Calvin Harris",23269,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
13,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",23115,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
14,"No Brainer","DJ Khaled",22674,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
15,"In My Feelings",Drake,22288,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
16,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,22246,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
17,"I'm a Mess","Bebe Rexha",20580,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
18,Rise,"Jonas Blue",20065,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
19,"Electricity (with Dua Lipa)","Silk City",19674,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
20,2002,Anne-Marie,19517,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
21,"God is a woman","Ariana Grande",19360,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
22,告白氣球,"Jay Chou",18668,https://open.spotify.com/track/1ivCIgrYZyE0BvItL4Z8lk
23,"Solo (feat. Demi Lovato)","Clean Bandit",17569,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
24,Superhero,Lauv,17505,https://open.spotify.com/track/1Fo4OvzP9PThFKMeMIAEYu
25,"I Love It (& Lil Pump)","Kanye West",17281,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
26,IDOL,BTS,17143,https://open.spotify.com/track/03iCbZaM4OkRR4We6wIzvx
27,"Love Someone","Lukas Graham",16960,https://open.spotify.com/track/6r3baE6njwU4aoJq6zPukG
28,體面(電影《前任3:再見前任》插曲),"Kelly Yu",16954,https://open.spotify.com/track/7cE5ehlKJ3L9Ejhzm3udcF
29,"Ocean (feat. Khalid)","Martin Garrix",16953,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
30,"Thru These Tears",LANY,16846,https://open.spotify.com/track/4gB61mP4tNChn4LgfquMhi
31,Natural,"Imagine Dragons",16749,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
32,"High Hopes","Panic! At The Disco",16427,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
33,那些你很冒險的夢,"JJ Lin",16126,https://open.spotify.com/track/5kZDxLcbqglZ2yYXg4Mkjc
34,"KILLING ME",iKON,15725,https://open.spotify.com/track/27kB4qLUCV8nZd2eOgj1Tk
35,"Lil’ Touch","Girls' Generation-Oh!GG",15309,https://open.spotify.com/track/4D5Ode2OfZMxIwQyvmhUe8
36,Talk,"Why Don't We",15101,https://open.spotify.com/track/6rsm9NTgl9kKPatf7S1yCS
37,等你下課,"Jay Chou",14807,https://open.spotify.com/track/76WthWB0v0KXUHZoAclMVV
38,Youngblood,"5 Seconds of Summer",14403,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
39,如果雨之後,"Eric Chou",14335,https://open.spotify.com/track/6kabSi7XCHHGThNme6J2tL
40,不愛我就拉倒,"Jay Chou",14213,https://open.spotify.com/track/4sQSweqHEeinUxoFBG3QeF
41,Siren,SUNMI,13903,https://open.spotify.com/track/2EK48RuuE8HHMDzD2rEDqL
42,"no tears left to cry","Ariana Grande",13395,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
43,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",13319,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
44,"Let Me Down Slowly","Alec Benjamin",13119,https://open.spotify.com/track/2uaiyLKnYvazyfR0Ky3Kbk
45,"你,好不好? - Ending Theme Song of TVBS Series ""Life List""","Eric Chou",13072,https://open.spotify.com/track/2gug6MRv4xQFYi9LA3PJCS
46,不為誰而作的歌,"JJ Lin",12778,https://open.spotify.com/track/0VqSdtXseb9khdZrnYVyM1
47,說散就散,"JC 陳泳彤",12747,https://open.spotify.com/track/3CE1HoJJ0FVKo7JHsWIuvC
48,Perfect,"Ed Sheeran",12733,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
49,IDOL,BTS,12715,https://open.spotify.com/track/2AIWoHr9DF6y4KALCBKWQS
50,Havana,"Camila Cabello",12679,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
51,可惜沒如果,"JJ Lin",12635,https://open.spotify.com/track/6WoQzK5Exbfcmow1AoNRkl
52,Better,Khalid,12133,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
53,"High On Life (feat. Bonn)","Martin Garrix",12085,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
54,晴天,"Jay Chou",11971,https://open.spotify.com/track/0F02KChKwbcQ3tk4q1YxLH
55,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",11787,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
56,"Shape of You","Ed Sheeran",11651,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
57,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",11575,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
58,"The Ringer",Eminem,11565,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
59,HURT,"Jasmine Sokko",11340,https://open.spotify.com/track/748ooJMZmrsPcQ3MdSZwsF
60,"FAKE LOVE",BTS,11071,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
61,"Only You (with Little Mix)","Cheat Codes",10756,https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
62,"Lucid Dreams","Juice WRLD",10751,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
63,不該,"Jay Chou",10688,https://open.spotify.com/track/7LyCtbxher5m97MImn5M3l
64,她說,"JJ Lin",10509,https://open.spotify.com/track/632VyMrvhsHIsO4zq9khts
65,"Side Effects","The Chainsmokers",10469,https://open.spotify.com/track/3OtQmFLS5b3pTgIf44GQFJ
66,"I Wouldn't Know Any Better Than You","Gentle Bones",10432,https://open.spotify.com/track/3K8tRD2Prik7FXbD8lZ6DC
67,"SICKO MODE","Travis Scott",10393,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
68,"In My Mind",Dynoro,10276,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
69,"New Rules","Dua Lipa",10186,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
70,"FOREVER YOUNG - KR Ver.",BLACKPINK,10116,https://open.spotify.com/track/57Enap29zKl7NGRdDJjkjA
71,"The Middle",Zedd,10055,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
72,"I Don't Wanna Love You Anymore",LANY,10049,https://open.spotify.com/track/1NEV2pt7AJSHWadhfCZ48t
73,修煉愛情,"JJ Lin",10008,https://open.spotify.com/track/190kU2WKyIzx9XaBjfWRPk
74,"LOVE SCENARIO",iKON,9966,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k
75,"Say You Won't Let Go","James Arthur",9879,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
76,"I Like Me Better",Lauv,9855,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
77,Fall,Eminem,9817,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
78,"You Are The Reason","Calum Scott",9780,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
79,Connection,OneRepublic,9760,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU
80,小幸運,"Hebe Tien",9633,https://open.spotify.com/track/1ZeVIrCWzEmsJexkrgvjFv
81,"Too Good At Goodbyes","Sam Smith",9463,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
82,"SLOW DANCING IN THE DARK",Joji,9333,https://open.spotify.com/track/0UyljEbX9dqI1K0sqdv6B6
83,Enemies,Lauv,9319,https://open.spotify.com/track/3JJYIoJ5FyY9E0DGjr7SXF
84,以後別做朋友,"Eric Chou",9242,https://open.spotify.com/track/7zyYmIdjqqiX6kLryb7QBx
85,"HANN (Alone)",(G)I-DLE,9192,https://open.spotify.com/track/7gr57cYekMWriyJYbT7oZ4
86,聽見下雨的聲音,"Jay Chou",9145,https://open.spotify.com/track/0nt1LAZjaTjrf30S8hdRDU
87,倒數,G.E.M.,9132,https://open.spotify.com/track/2HmM5p02Q2qrYZvXJRLVx3
