,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Love It (& Lil Pump)","Kanye West",8432,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
2,"In My Mind",Dynoro,7837,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
3,"Lucky You (feat. Joyner Lucas)",Eminem,6741,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
4,Natural,"Imagine Dragons",4778,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
5,"Promises (with Sam Smith)","Calvin Harris",4771,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
6,"The Ringer",Eminem,4162,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
7,Fall,Eminem,3857,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
8,"Eastside (with Halsey & Khalid)","benny blanco",3856,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
9,Happier,Marshmello,3745,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
10,"Electricity (with Dua Lipa)","Silk City",3280,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
11,"Girls Like You (feat. Cardi B)","Maroon 5",3248,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
12,"Be Alright","Dean Lewis",3190,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
13,Greatest,Eminem,3158,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
14,Rise,"Jonas Blue",3114,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
15,Kamikaze,Eminem,3065,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
16,"Solo (feat. Demi Lovato)","Clean Bandit",3047,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
17,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,3025,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
18,"Body (feat. brando)","Loud Luxury",2994,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
19,"In My Feelings",Drake,2850,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
20,"Not Alike (feat. Royce Da 5'9)",Eminem,2748,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
21,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",2695,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
22,"Say My Name","David Guetta",2679,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
23,"Thunderclouds with Sia, Diplo & Labrinth",Sia,2652,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
24,"Blah Blah Blah","Armin van Buuren",2604,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
25,"Pull Up",Samey,2585,https://open.spotify.com/track/6K9YoqvqvNe4V3VijEnL0w
26,breathin,"Ariana Grande",2575,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
27,"Jackie Chan",Tiësto,2529,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
28,Nevermind,"Dennis Lloyd",2526,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
29,"SICKO MODE","Travis Scott",2523,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
30,"No Brainer","DJ Khaled",2450,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
31,"Wake Up in the Sky","Gucci Mane",2422,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
32,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",2392,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
33,"Burn Out (feat. Dewain Whitmore)","Martin Garrix",2377,https://open.spotify.com/track/7IWTIkiWGWNQyYfOLdMrGD
34,Better,Khalid,2368,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
35,"Venom - Music From The Motion Picture",Eminem,2320,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
36,"One Kiss (with Dua Lipa)","Calvin Harris",2308,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
