,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Vaina Loca",Ozuna,370278,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
2,Mujeres,"Mozart La Para",308565,https://open.spotify.com/track/6xLvYhLOW2oETJoZv8ChU8
3,TELÉFONO,Aitana,297276,https://open.spotify.com/track/5h8VHxOBK1VWWj46T8fSly
4,"No Es Justo","J Balvin",290403,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
5,"No Me Acuerdo",Thalía,271156,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
6,BEBE,6ix9ine,268625,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
7,"Sin Pijama","Becky G",259488,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
8,"Ni La Hora","Ana Guerra",241874,https://open.spotify.com/track/1he4G9w0zh5GokInpOSINW
9,Usted,"Juan Magán",235964,https://open.spotify.com/track/79HTe42PihWUUq4BDjcuCq
10,"Ya No Quiero Ná","Lola Indigo",228939,https://open.spotify.com/track/2A2Q4CYBcVvBF2OqgJ3OWX
11,"Quiere Beber","Anuel Aa",225304,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
12,"Te Boté - Remix","Nio Garcia",214968,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
13,"Mala Mía",Maluma,207133,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
14,Asesina,Brytiago,198983,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
15,"Bien Duro","C. Tangana",197767,https://open.spotify.com/track/3joo84oco9CD4dBsKNWRRW
16,Clandestino,Shakira,186643,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
17,"Cuando Te Besé","Becky G",180917,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
18,"Déjala Que Baile",Melendi,168471,https://open.spotify.com/track/2KK9N6iBAisA0booTu3bGd
19,Ibiza,Ozuna,157127,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp
20,Celoso,"Lele Pons",153906,https://open.spotify.com/track/33zcmmElV1YbRZe57biUjg
21,"La Cintura","Alvaro Soler",152066,https://open.spotify.com/track/355kY0VYYf2AUOnUsU56Xq
22,"Mi Cama - Remix","Karol G",145651,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE
