,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Love It (& Lil Pump)","Kanye West",235078,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
2,"Be Alright","Dean Lewis",200148,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
3,"In My Mind",Dynoro,189646,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
4,"Promises (with Sam Smith)","Calvin Harris",159304,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
5,"Lucky You (feat. Joyner Lucas)",Eminem,157244,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
6,Happier,Marshmello,150807,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
7,"Auf wiedersehen",Hov1,144919,https://open.spotify.com/track/0VchObTqyNU0oWVBjLTSVh
8,Gäller,Z.E,132207,https://open.spotify.com/track/1U9TNHyH61eVXxR5BXls2v
9,"Sweet but Psycho","Ava Max",121213,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
10,"Eastside (with Halsey & Khalid)","benny blanco",119706,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
11,"Lucid Dreams","Juice WRLD",117175,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
12,"High With Somebody","Sandro Cavazza",108045,https://open.spotify.com/track/6IhosQhN1ayHO4XP72XFXy
13,"In My Feelings",Drake,107513,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
14,"Still - Recorded at Spotify Studios Stockholm",Hov1,99491,https://open.spotify.com/track/5CjIVxNTlIA1OuIAk7juR1
15,"Taste (feat. Offset)",Tyga,99203,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
16,"Say My Name","David Guetta",94750,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
17,"Mer för varandra","Norlie & KKV",93219,https://open.spotify.com/track/5GC6b6Ukc7PfwG8VfYO3ar
18,"Love Someone","Lukas Graham",92254,https://open.spotify.com/track/6r3baE6njwU4aoJq6zPukG
19,Darkside,"Alan Walker",90891,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
20,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",90430,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
21,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",88657,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
22,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,87722,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
23,Better,Khalid,87181,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
24,"Solo (feat. Demi Lovato)","Clean Bandit",86534,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
25,"Born To Be Yours",Kygo,80654,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
26,Bandolero,"Ricky Rich",79600,https://open.spotify.com/track/7ql5IcHI1062z5gZaJrNG8
27,"Girls Like You (feat. Cardi B)","Maroon 5",79558,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
28,Positiv,Z.E,78730,https://open.spotify.com/track/1KrOTm6E95kLrOsbwutlFe
29,"Hon dansar vidare i livet",Hov1,77676,https://open.spotify.com/track/1aEU7mcRDTYBB4ASpqbjYE
30,LOVISA,"FELIX SANDMAN",76529,https://open.spotify.com/track/5nvcuQM5GFY4tmaZPVMHWM
31,"Without You (feat. Sandro Cavazza)",Avicii,74642,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
32,REMEDY,Alesso,74052,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
33,Fall,Eminem,73227,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
34,"Burn Out (feat. Dewain Whitmore)","Martin Garrix",72464,https://open.spotify.com/track/7IWTIkiWGWNQyYfOLdMrGD
35,SAD!,XXXTENTACION,69999,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
36,"Aqua Aura",Fricky,68364,https://open.spotify.com/track/468ooECb1oRgt4gGfLeAoH
37,"The Ringer",Eminem,68180,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
38,"Dancing In The Moonlight (feat. NEIMY)",Jubel,68151,https://open.spotify.com/track/4Vs8RLrUdDXeaZbNeIOrtn
39,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",65941,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
40,"No Brainer","DJ Khaled",64696,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
41,Youngblood,"5 Seconds of Summer",64533,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
42,"High On Life (feat. Bonn)","Martin Garrix",64460,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
43,"Better Now","Post Malone",63289,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
44,"Förbjuden frukt","Nineb Youk",60892,https://open.spotify.com/track/1pzj4OmBLXAnolQYJckzAK
45,"Break Up a Bit","Peg Parnevik",60407,https://open.spotify.com/track/4i4ktHkSqZ8Ig3Vfr4kIIv
46,breathin,"Ariana Grande",59380,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
47,"Min Diamant","Ricky Rich",58760,https://open.spotify.com/track/5v3gBxtmgWSlTXGyytzphF
48,"Blah Blah Blah","Armin van Buuren",58292,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
49,Rise,"Jonas Blue",57995,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
50,"Electricity (with Dua Lipa)","Silk City",57628,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
51,"Jackie Chan",Tiësto,57260,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
52,"Ignite (feat. SEUNGRI)",K-391,56933,https://open.spotify.com/track/0UMLejbZXf7YVgnfxURvVr
53,"SICKO MODE","Travis Scott",55442,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
54,2002,Anne-Marie,55170,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
55,Flames,"David Guetta",50047,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
56,"God is a woman","Ariana Grande",49805,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
57,"Mariners Apartment Complex","Lana Del Rey",49323,https://open.spotify.com/track/4UAW2gObi5o6sJla0qZpPn
58,"Min Broder",Adel,48679,https://open.spotify.com/track/2TiwsBiQ709tleYaLXbApg
59,"Wake Me Up",Avicii,46882,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
60,"All For Love","Tungevaag & Raaban",45826,https://open.spotify.com/track/5VGBgPVFO3e0lWz4WHYntQ
61,"Remind Me to Forget",Kygo,43498,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
62,"Be Your Friend‬‬",Vigiland,42699,https://open.spotify.com/track/2mSIu1ZPo22Ihx3EwS4E6h
63,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,41974,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
64,Roads,"Vargas & Lagola",41747,https://open.spotify.com/track/7HdHOGbA7uyepn1jbPKqOx
65,"Body (feat. brando)","Loud Luxury",40484,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
66,"Jocelyn Flores",XXXTENTACION,40312,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
67,Natural,"Imagine Dragons",39748,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
68,Moonlight,XXXTENTACION,39588,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
69,"rockstar (feat. 21 Savage)","Post Malone",39550,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
70,"Hett kol",Movits!,38838,https://open.spotify.com/track/0vUekW7yVQytIdGJJS9Y3n
71,changes,XXXTENTACION,38180,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
72,"Pretty Little Fears (feat. J. Cole)",6LACK,37770,https://open.spotify.com/track/4at3d5QWnlibMVN75ECDrp
73,"Beautiful (feat. Camila Cabello)",Bazzi,37623,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
74,"One Kiss (with Dua Lipa)","Calvin Harris",37533,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
75,"RAP DEVIL","Machine Gun Kelly",37401,https://open.spotify.com/track/63TyoT9Ee03rQxv8xmdJ2l
76,IMPRINT,"FELIX SANDMAN",36272,https://open.spotify.com/track/10UXRzj0jS58wxFR0qVm3r
77,"Thunderclouds with Sia, Diplo & Labrinth",Sia,36030,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
78,Vacay,Macky,35854,https://open.spotify.com/track/6ZBXj3e8uBH5nYMmeoX5dS
79,"Bad Boy (feat. Luana Kiara)","Tungevaag & Raaban",35711,https://open.spotify.com/track/64p6ua7zpf66s62StC2QLv
80,"Shape of You","Ed Sheeran",35688,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
81,"Hon Få Mig",Fricky,35467,https://open.spotify.com/track/1Y6pL6kWGnQlPsxJaia7tY
82,"Don’t Matter To Me (with Michael Jackson)",Drake,35135,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
83,"Not Alike (feat. Royce Da 5'9)",Eminem,34981,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
84,"I Like It","Cardi B",34794,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
85,"Missing U",Robyn,34036,https://open.spotify.com/track/4Sn5B44sLfQ364FUL98jvN
86,"All My Life (feat. Burna Boy)","Major Lazer",33987,https://open.spotify.com/track/4w6E95q3Mlm1uIZfezDRXy
87,Greatest,Eminem,33850,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
88,"no tears left to cry","Ariana Grande",33736,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
89,Sand,"Molly Sandén",33549,https://open.spotify.com/track/7CYKovD8hNKg0w902IASMi
90,BEBE,6ix9ine,33521,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
91,"Like I Do","David Guetta",33230,https://open.spotify.com/track/4aBYzs8RxZMuqyOanNlf8I
92,"Ocean (feat. Khalid)","Martin Garrix",33223,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
93,"Allt e mitt",Z.E,31955,https://open.spotify.com/track/7xUgqjLiJ4O4qUANFUyurV
94,Vinner,"Ricky Rich",30962,https://open.spotify.com/track/2yThC5EcMmKY0iCZbw94Ad
95,Större,"Molly Sandén",30701,https://open.spotify.com/track/05kHxnnHprpntLT6mHT78m
96,"God's Plan",Drake,30684,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
97,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",30509,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
98,"Never Get Used To","Seinabo Sey",30122,https://open.spotify.com/track/4DIXkKtBY1UutnkWWuYnwz
99,"Praise The Lord (Da Shine)","A$AP Rocky",29949,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
100,"High Hopes","Panic! At The Disco",29872,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
101,"Happy Now",Zedd,29604,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
102,"Wake Up in the Sky","Gucci Mane",29381,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
103,"Wina Den","DON V",29298,https://open.spotify.com/track/4UntLd7KHXVRo0LXF3ukA8
104,Perfect,"Ed Sheeran",29182,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
105,Kamikaze,Eminem,29133,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
106,Zombie,"Bad Wolves",28683,https://open.spotify.com/track/1eadPrzB2P0ikQcqhKSAtv
107,"lovely (with Khalid)","Billie Eilish",28612,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
108,"Helt seriöst",Kaliffa,28436,https://open.spotify.com/track/6uucB29G6Y7LThzNfuRkiw
109,"Psycho (feat. Ty Dolla $ign)","Post Malone",28410,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
110,Pari,Hov1,28393,https://open.spotify.com/track/4cLVqhNOTUavKjorcU4TqN
111,Nonstop,Drake,27538,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
112,Happier,"Ed Sheeran",26567,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
113,"Creep On Me",GASHI,26185,https://open.spotify.com/track/1MUL6DO2gVimj2YrVedubd
114,Nevermind,"Dennis Lloyd",26140,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
115,"Don't Stop Believin'",Journey,26025,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
116,SWISH,Tyga,25907,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
117,"Paradise (feat. Benjamin Ingrosso)",Ofenbach,25732,https://open.spotify.com/track/50SEeQXOJgaXPv2S0v7ded
118,Believer,"Imagine Dragons",25722,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
119,Robbery,K27,25623,https://open.spotify.com/track/3pUrzUsCEa6lfg91ko2nQa
120,STARGAZING,"Travis Scott",25601,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
121,"Levels - Radio Edit",Avicii,25422,https://open.spotify.com/track/5B03nSG8pLE48jh7kmasuL
122,"I Wouldn't Know","Benjamin Ingrosso",25357,https://open.spotify.com/track/1xK5yPizRPUUsyInZSOc1i
123,Chagga,Imenella,25350,https://open.spotify.com/track/176F2zC28SlT1BBiITeiUs
124,BILLY,6ix9ine,25323,https://open.spotify.com/track/5KhFaq45chTw8RGfWo8T8J
125,"Stepping Stone",Eminem,24982,https://open.spotify.com/track/60Z57Wdrn0pEVpHI7d7GAX
126,Superhero,Lauv,24871,https://open.spotify.com/track/1Fo4OvzP9PThFKMeMIAEYu
127,Shuffla,"Samir & Viktor",24824,https://open.spotify.com/track/3bnS9O5Q9Zn9MD4Z3zDV62
128,"Good Guy (feat. Jessie Reyez)",Eminem,24311,https://open.spotify.com/track/4g32MdRoqwGKQd3NXIRhpU
129,Djadja,"Aya Nakamura",24168,https://open.spotify.com/track/3XfnssSD9HMQ9LhVOJvXTE
130,Shotgun,"George Ezra",24104,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
131,"Say Love","James TW",24057,https://open.spotify.com/track/1csB4kgdyglOQdH0EyFIqy
132,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",24056,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
133,"Lonely Together (feat. Rita Ora)",Avicii,23736,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
134,"More Than You Know","Axwell /\ Ingrosso",23673,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP
135,"Too Good At Goodbyes","Sam Smith",23522,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
136,California,"Hot Shade",23478,https://open.spotify.com/track/4hBcYYxffKQJXKEXzRC7ou
137,GTFO,"Mariah Carey",23433,https://open.spotify.com/track/3MBHhhVQiGLX28NolyIdY1
138,"Battle (feat. Faouzia)","David Guetta",23336,https://open.spotify.com/track/58adTUxM5N810ZVYuW9tmW
139,Selfish,SVEA,23268,https://open.spotify.com/track/7pUsF3yfASITMjBy5u3dBG
140,"Från och med Du","Oskar Linnros",23215,https://open.spotify.com/track/6sjGsKuInpaK3uoaWGe22W
141,"Say You Won't Let Go","James Arthur",23119,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
142,"Let It Be Me (feat. Ava Max)","David Guetta",23084,https://open.spotify.com/track/2F83FxNVkK6PPMHuYnwyVc
143,Thunder,"Imagine Dragons",23071,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
144,Halo,Beyoncé,23004,https://open.spotify.com/track/2CvOqDpQIMw69cCzWqr5yr
145,Africa,Toto,22999,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
146,"Put Your Hands Up för Sverige (feat. Anis Don Demina)","Samir & Viktor",22849,https://open.spotify.com/track/65Jv5ceVGQr9QHHKEqx8xm
147,"Tender Offerings","First Aid Kit",22834,https://open.spotify.com/track/5di2f9zz1LymDXUcuSopKe
148,"Gudarna på Västerbron",Hov1,22812,https://open.spotify.com/track/2sMBMXX43vpVOaqh6INXbV
149,Wasteland,JUNG,22775,https://open.spotify.com/track/4K115GgaOrUhQ9gL5Nq1Fq
