,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"BONNIE & CLYDE",Loredana,64531,https://open.spotify.com/track/5UtiebKGhsSce9gX1qCqic
2,Kokain,"Bonez MC",62316,https://open.spotify.com/track/1H3oIeKUEHpBhXUiso0IMH
3,Mephisto,Bushido,46781,https://open.spotify.com/track/5HZaPWkOHUioEbruRY8HnL
4,"In My Mind",Dynoro,45553,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
5,"I Love It (& Lil Pump)","Kanye West",42284,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
6,"Lucky You (feat. Joyner Lucas)",Eminem,36693,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
7,"Dior 2001",RIN,26440,https://open.spotify.com/track/2eNSyVH3sNPiAj9WpRYK73
8,"Promises (with Sam Smith)","Calvin Harris",25590,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
9,Risiko,"Bonez MC",23795,https://open.spotify.com/track/0mjbIwkdLPK5g2nGzhacjU
10,"Girls Like You (feat. Cardi B)","Maroon 5",23746,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
11,"Melodien (feat. Juju)","Capital Bra",23236,https://open.spotify.com/track/5d35jcJj7WjDQBOHCHPY6t
12,Natural,"Imagine Dragons",23123,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
13,Rise,"Jonas Blue",22308,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
14,"Amore e Capoeira","Takagi & Ketra",22285,https://open.spotify.com/track/5Vwqy3CS2aCB6jcgm1qWfk
15,"500 PS","Bonez MC",21843,https://open.spotify.com/track/641R77CBy4bOLGRcA9sgHy
16,"Eastside (with Halsey & Khalid)","benny blanco",21726,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
17,"In My Feelings",Drake,21550,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
18,Facetime,Dardan,21366,https://open.spotify.com/track/0oZyouBDStcJEUbTmSfys2
