,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Eastside (with Halsey & Khalid)","benny blanco",17174,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
2,Happier,Marshmello,16965,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
3,"Be Alright","Dean Lewis",16226,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
4,"Happy Now",Zedd,14314,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
5,"Promises (with Sam Smith)","Calvin Harris",13995,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
6,年少有為,"Ronghao Li",13665,https://open.spotify.com/track/4F189oz9W9JOV6ovuHsHYV
7,"Girls Like You (feat. Cardi B)","Maroon 5",13558,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
8,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",13284,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
9,"Beautiful (feat. Camila Cabello)",Bazzi,12821,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
10,"Electricity (with Dua Lipa)","Silk City",12650,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
11,倒數,G.E.M.,12441,https://open.spotify.com/track/2HmM5p02Q2qrYZvXJRLVx3
12,Darkside,"Alan Walker",11947,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
13,"Lucky You (feat. Joyner Lucas)",Eminem,11435,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
14,"Thunderclouds with Sia, Diplo & Labrinth",Sia,11318,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
15,breathin,"Ariana Grande",11305,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
16,體面(電影《前任3:再見前任》插曲),"Kelly Yu",11188,https://open.spotify.com/track/7cE5ehlKJ3L9Ejhzm3udcF
17,"In My Feelings",Drake,11117,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
18,浪子回頭,EggPlantEgg,11058,https://open.spotify.com/track/7J6wLr8qRqLPMeOZlR54NM
19,Natural,"Imagine Dragons",10902,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
20,"No Brainer","DJ Khaled",10834,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
