,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,อาวรณ์,Polycat,22017,https://open.spotify.com/track/2USX969yFQ250hBULh6Ope
2,ติดตลก,"Oat Pramote",17982,https://open.spotify.com/track/6YYcwUa7auypfzwUZoNEGY
3,มีผลต่อหัวใจ,"Non Tanon",15942,https://open.spotify.com/track/6LxsOkPSGBOsPhDKFAgYVM
4,หมอกร้าย,Lipta,15139,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
5,"บอกตัวเอง (feat. โป่ง หินเหล็กไฟ)","Room 39",14603,https://open.spotify.com/track/3WQe3r4R1lnJs75ty9UYDF
6,ภาพจำ,"Pop Pongkool",13059,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
7,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,12829,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
8,ความเงียบดังที่สุด,Getsunova,12730,https://open.spotify.com/track/49o9ToewyZywgB5KlaB3WN
9,"ภูเขาบังเส้นผม feat. TWOPEE",Stamp,12414,https://open.spotify.com/track/5kHLmBd3GTMIFhWdD3berA
10,"Good Luck feat. Maiyarap",Lipta,12181,https://open.spotify.com/track/3tMbwbZpYXGHeg0l45m7Tv
11,คนที่ไม่ใช่,O-Pavee,11857,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
12,Happier,Marshmello,11284,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
13,นอนได้แล้ว,"Fukking Hero",10779,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
14,ขอโทษ,"Burin Boonvisut",10479,https://open.spotify.com/track/6sCQmOY5k4BcjONYyVccaz
15,"Day 1 ◑",HONNE,10361,https://open.spotify.com/track/6ZzYETKetIfNUsZUb23jgG
16,"Good Morning Teacher","Atom Chanakan",10151,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
17,"OUU NA NA (feat. FIIXD)",Wonderframe,9964,https://open.spotify.com/track/5oqPT1KXfiCgFfGNc9f80H
18,"In My Feelings",Drake,9644,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
19,"Girls Like You (feat. Cardi B)","Maroon 5",9583,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
20,"Full Moon",Mild,9327,https://open.spotify.com/track/5SGcdWk5ROFgwSzlHJ9kCB
21,ถ้าเธอต้องเลือก,Illslick,9303,https://open.spotify.com/track/5Of65kRDivh4UHG3SG5Iad
22,วิชาตัวเบา,Bodyslam,9138,https://open.spotify.com/track/2j2NeZZJ0STZQy5Aw3oZLL
23,หากวันนั้น,"Room 39",8964,https://open.spotify.com/track/4hy03eg0PksOEJraNfqb1O
24,"Sincerity Is Scary","The 1975",8913,https://open.spotify.com/track/06Vthiq8nNDuT5nOcch535
25,"Thick And Thin",LANY,8452,https://open.spotify.com/track/7qIICzwgm3eu1Ic3ufPGJf
26,"I Don't Wanna Love You Anymore",LANY,8340,https://open.spotify.com/track/1NEV2pt7AJSHWadhfCZ48t
27,"Be Alright","Dean Lewis",8289,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
28,"Electricity (with Dua Lipa)","Silk City",8164,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
29,"FOREVER YOUNG - KR Ver.",BLACKPINK,8018,https://open.spotify.com/track/57Enap29zKl7NGRdDJjkjA
30,กำลังจะ,Illslick,7914,https://open.spotify.com/track/18kwPdB3Bx8n9Mk4YsO6LT
31,"Lil’ Touch","Girls' Generation-Oh!GG",7880,https://open.spotify.com/track/4D5Ode2OfZMxIwQyvmhUe8
32,รู้ทั้งรู้,OG-ANIC,7872,https://open.spotify.com/track/0KnDJSGxu03x8idlKLKKki
33,"Eastside (with Halsey & Khalid)","benny blanco",7764,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
34,"Galaxy (feat. Kob The X Factor)","D Gerrard",7706,https://open.spotify.com/track/0yO5RrszdEpqXhDwyhP6nX
35,พอจะรู้,meyou.,7684,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
36,"คิดถึงจัง (มาหาหน่อย)","Oat Pramote",7400,https://open.spotify.com/track/63quSq4p0NagZdZI3ttb4f
37,เอาไว้ค่อยคุย,Gliss,7317,https://open.spotify.com/track/7kPt9mmvufI8A99lvwlzAB
38,แผลในใจ,Gtk,7149,https://open.spotify.com/track/5DhVAdJiCSdTJn5A1ioKLb
39,ถ้าฉันหายไป(Skyline),"Earth Patravee",6945,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
40,เท่าไหร่ไม่จำ,Potato,6942,https://open.spotify.com/track/5zRMhQ21pWGN0rPxAS4QkI
41,IDOL,BTS,6934,https://open.spotify.com/track/03iCbZaM4OkRR4We6wIzvx
42,ใจเย็น,Image,6899,https://open.spotify.com/track/5HoTeTzdfAataCZ0piQyAv
43,คิดถึงขนาด,Somkiat,6647,https://open.spotify.com/track/6YBmlh2aJJTfnYp4jhQzFj
44,"Promises (with Sam Smith)","Calvin Harris",6419,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
45,"LOVE SCENARIO",iKON,6410,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k
46,Escape,"Moving and Cut",6332,https://open.spotify.com/track/3QNcZFnVawSjecRnWDd15O
47,มอง,DABOYWAY,6281,https://open.spotify.com/track/4tsebfF0OfM3A4GkytiGSf
48,"Lucky You (feat. Joyner Lucas)",Eminem,6176,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
49,"I Love It (& Lil Pump)","Kanye West",6155,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
50,2002,Anne-Marie,6045,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
51,"KILLING ME",iKON,5762,https://open.spotify.com/track/27kB4qLUCV8nZd2eOgj1Tk
52,breathin,"Ariana Grande",5723,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
53,เกลียด,"The Yers",5586,https://open.spotify.com/track/41vKbXPhcMVyb3WCWQwsfl
54,เพียงพอ,Potato,5578,https://open.spotify.com/track/5aqRHLvmPKmxkwCa4kXDEM
55,"No Brainer","DJ Khaled",5567,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
56,Superhero,Lauv,5549,https://open.spotify.com/track/1Fo4OvzP9PThFKMeMIAEYu
57,ฝันหวานอายจูบ,Stamp,5517,https://open.spotify.com/track/10DSYghyBjAYJa8iCvdRDv
58,"Lover Boy","Phum Viphurit",5435,https://open.spotify.com/track/2rd4FH1cSaWGc0ZiUaMbX9
59,"Thru These Tears",LANY,5427,https://open.spotify.com/track/4gB61mP4tNChn4LgfquMhi
60,"คนชั่ว 2018","The Parkinson",5310,https://open.spotify.com/track/7ei0VnJbGojtdCDCp2Mow1
61,"Power Up","Red Velvet",5298,https://open.spotify.com/track/381g0b6QZxC13SzA2HRMIc
62,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",5233,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
63,ฟัง,SIN,5226,https://open.spotify.com/track/6RjwqDSAllo8d9EfDEK5IV
64,เกาะสวาทหาดสวรรค์,"Gavin D",5221,https://open.spotify.com/track/193BjzeSedC42I3ydg1SyF
65,แอบบอกรัก,Jaonaay,5135,https://open.spotify.com/track/1xJP5BQBwQRl59B6EGcujF
66,Natural,"Imagine Dragons",5092,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
67,"Beautiful (feat. Camila Cabello)",Bazzi,5077,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
68,Darkside,"Alan Walker",5026,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
69,"Thunderclouds with Sia, Diplo & Labrinth",Sia,5003,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
70,"As If It's Your Last",BLACKPINK,4966,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
71,"8 Letters","Why Don't We",4721,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
72,Better,Khalid,4646,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
73,ฝืนตัวเองไม่เป็น,"Non Tanon",4529,https://open.spotify.com/track/0FlZM6SFefxfXzX68IpVxb
74,"Happy Now",Zedd,4512,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
75,"Love Someone","Lukas Graham",4511,https://open.spotify.com/track/6r3baE6njwU4aoJq6zPukG
76,"FAKE LOVE",BTS,4465,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
77,"We Go Up","NCT DREAM",4453,https://open.spotify.com/track/26vOBLHS116a4WNUVlvAUW
78,"HANN (Alone)",(G)I-DLE,4390,https://open.spotify.com/track/7gr57cYekMWriyJYbT7oZ4
79,"Say My Name","David Guetta",4337,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
80,FRIENDS,Marshmello,4324,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
81,"REALLY - KR Ver.",BLACKPINK,4315,https://open.spotify.com/track/7AWtaOSb7cgi16wJr3mkuf
82,ไม่มีเธอไม่ตาย,"Gam Wichayanee",4285,https://open.spotify.com/track/6mUclBcqOp65gflMeu2UWR
83,"Stupid Game","Aof Pongsak",4277,https://open.spotify.com/track/5TIJkc5qIT5inKAI39wYCv
84,ร้อยล้านวิว,Stamp,4252,https://open.spotify.com/track/2KKwNFzypGehPrAZCKc1HW
85,ผิดที่ฉัน,60Miles,4240,https://open.spotify.com/track/65SM4x81LohlqhSVFqITWd
86,แค่เราไม่ได้รักกัน,Indigo,4206,https://open.spotify.com/track/7Fi43HjA5FTTCPOj2wai00
87,"SEE U LATER - KR Ver.",BLACKPINK,4196,https://open.spotify.com/track/514mQDPkXmPzsYwGNmkBJZ
88,"Bad Boy","Red Velvet",3964,https://open.spotify.com/track/5GKwq4sO5ZHKuWaDmdwMQc
89,Listen,Maiyarap,3960,https://open.spotify.com/track/7N0vrJf1kHSzUItby4ZQr0
90,GTFO,"Mariah Carey",3888,https://open.spotify.com/track/3MBHhhVQiGLX28NolyIdY1
91,Siren,SUNMI,3868,https://open.spotify.com/track/2EK48RuuE8HHMDzD2rEDqL
92,ไม่บอก,Blackhead,3859,https://open.spotify.com/track/16mPYRBSZjaC3amxyVEPIO
93,04:00,"The Toys",3851,https://open.spotify.com/track/3h7TbK7x7yxJavEZydbOzX
94,มีแฟน'ยัง,"LOTTE Thakorn",3842,https://open.spotify.com/track/63ZR6CaIe8mYwgg8vEWxTQ
95,เจ็บจนไม่เข้าใจ,PORTRAIT,3774,https://open.spotify.com/track/4URCEQmgwuwaHiySIqGmIa
96,"I'm a Mess","Bebe Rexha",3647,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
97,อย่าทำอย่างนั้น,PORTRAIT,3639,https://open.spotify.com/track/1tMotuXLRwAZYpRfz4oAMx
98,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",3606,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
99,"PLAYING WITH FIRE - KR Ver.",BLACKPINK,3603,https://open.spotify.com/track/5OepnJhqZoyJN8qWo2LZzy
100,"BOOMBAYAH - KR Ver.",BLACKPINK,3591,https://open.spotify.com/track/1qAPA8TooLVEqAZ58fhcrt
101,Miyabi,Mindset,3564,https://open.spotify.com/track/4MqvgXzimRfZOqJkihjrqL
102,IDOL,BTS,3532,https://open.spotify.com/track/2AIWoHr9DF6y4KALCBKWQS
103,"God is a woman","Ariana Grande",3501,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
104,"In My Mind",Dynoro,3413,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
105,พอ,"Atom Chanakan",3411,https://open.spotify.com/track/72KOmS4Af9IEFsT87TK1VQ
106,"SICKO MODE","Travis Scott",3400,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
107,PLEASE,"Atom Chanakan",3394,https://open.spotify.com/track/60hF3gZXQ33xdAXXk6tE1x
108,"I Like Me Better",Lauv,3385,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
109,"Shape of You","Ed Sheeran",3348,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
110,Havana,"Camila Cabello",3338,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
111,"ช้ำคือเรา - Version สมอารมณ์",สมอารมณ์,3338,https://open.spotify.com/track/2RDD7HPe72Le3jkqR7Kt8f
112,จูบ,Illslick,3334,https://open.spotify.com/track/6RvSPE7NJCkzSrc7rn5OOC
113,"We Young",CHANYEOL,3285,https://open.spotify.com/track/0eilxZjVwGfcgzzDEbcFJP
114,ไม่เหมือนใคร,"D Gerrard",3282,https://open.spotify.com/track/39Mg8slCqS2tyaZUZ1cQ1M
115,"Wake Up in the Sky","Gucci Mane",3262,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
116,Rise,"Jonas Blue",3261,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
117,ไม่ตอบ,UrboyTJ,3256,https://open.spotify.com/track/2MezCXpLYYWcShseflM6NB
118,รถคันเก่า,"Atom Chanakan",3250,https://open.spotify.com/track/5tYSThnYOKQCEjtvFiGcL0
119,"What is Love?",TWICE,3226,https://open.spotify.com/track/5Ek40FyMPprcvtyZDjqylX
120,อ่อนโยนต่อจุดซ่อนเร้น,"Aeh Syndrome",3182,https://open.spotify.com/track/6LUrtbDpGwrr0X8Stec03k
121,"New Rules","Dua Lipa",3159,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
122,BAAM,MOMOLAND,3156,https://open.spotify.com/track/4Is1b37KJY9XVCgzp81FBW
123,"Better Now","Post Malone",3153,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
124,"Tie Me Down (with Elley Duhé)",Gryffin,3115,https://open.spotify.com/track/4QVS8YCpK71R4FsxSMCjhP
125,"no tears left to cry","Ariana Grande",3104,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
126,"Want To","Dua Lipa",3083,https://open.spotify.com/track/0CBFOvHlyqy30Q5tbyNHfQ
127,"Strawberries & Cigarettes","Troye Sivan",3071,https://open.spotify.com/track/2z7UKVsBdbA7HFPunDKDP4
128,"WHISTLE - KR Ver.",BLACKPINK,3068,https://open.spotify.com/track/67BbMuItfrHmaNqDxBPF7c
129,เป็นทุกอย่าง,"Room 39",3065,https://open.spotify.com/track/09zqmrjQokoAfQJ1WeLkFK
130,"BBoom BBoom",MOMOLAND,3053,https://open.spotify.com/track/3BPoSr2pO34Aan6alFfVto
131,"Dance The Night Away",TWICE,3041,https://open.spotify.com/track/281tmNk46TBQS9ACYMLYyA
132,Narcissist,"No Rome",3009,https://open.spotify.com/track/4Zft1h1zRfkBqlAo4qEPqp
133,"ปล่อย (Miss)","Clockwork Motionless",2966,https://open.spotify.com/track/7ihijRsdyrrQQR2iwSdibF
134,"The Middle",Zedd,2959,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
135,"ไม่มีคำสัญญา (เพลงประกอบละคร The Gifted นักเรียนพลังกิฟต์)","Chart Suchart",2955,https://open.spotify.com/track/5uaOLfOwag7ICZuezD4H7X
136,"Young Dumb & Broke",Khalid,2953,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
