,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mary Jane (Radio Edit)","Burry Soprano",128620,https://open.spotify.com/track/51agJccRxKI5dqGJFkTojo
2,"Elbet Bir Gün","Canbay & Wolker",105297,https://open.spotify.com/track/1PJ1BbGaVmLogYicLKoZix
3,Geceler,Ezhel,69515,https://open.spotify.com/track/0R0o8uOkDz40XsR6uwThfQ
4,"Bileklerime Kadar Acıyo",İdotatlıses,60870,https://open.spotify.com/track/5MS3WBYfG0ESHzc6WnB9aZ
5,"Kazıdık Tırnaklarla",Ezhel,58433,https://open.spotify.com/track/27OWNTEEtJCFVejrh5mqgv
6,"Dibine Dibine","Ece Seçkin",55916,https://open.spotify.com/track/5GmOQzK89STZgfjwBlwrui
7,"Thunderclouds with Sia, Diplo & Labrinth",Sia,53441,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
8,"In My Feelings",Drake,52925,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
9,Güzelliğine,Edis,52835,https://open.spotify.com/track/69J8H2ujqGkJ4KSqp2YpRu
10,"Boş Gemiler","Yüzyüzeyken Konuşuruz",51135,https://open.spotify.com/track/5xOAQ5o5mPI2FZZEOu1NZL
11,"In My Mind",Dynoro,50768,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
12,"Beni Sev","Hande Yener",48580,https://open.spotify.com/track/0bE8X3KwUifITMaibVR9eD
13,Tavşan,Contra,46950,https://open.spotify.com/track/3wdHYmGpUpBtdGtKhbQMQ1
14,"Yalnız Çiçek","Aleyna Tilki",46133,https://open.spotify.com/track/4CCYUYAzFBvD2omNu9EGPI
15,Vuracak,"Merve Özbey",46022,https://open.spotify.com/track/1jCv5QxEnfPyup6Kha3hNh
16,Kibir,Contra,44441,https://open.spotify.com/track/5EzaGJdyyvIekeLFdWA7iY
17,"Solo (feat. Demi Lovato)","Clean Bandit",43975,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
18,"Tamam Tamam","Summer Cem",43795,https://open.spotify.com/track/2eRq2jwsZtb0uGH4qUsvT1
19,Uyan,Velet,42893,https://open.spotify.com/track/5jpgdY7oK3z09QCLZwPM3o
20,"Yak Yak Yak",Şehinşah,42187,https://open.spotify.com/track/4GjIoWGPLf7C8LcjK1UNlS
21,İmkansızım,Ezhel,42052,https://open.spotify.com/track/5Y3ZTBwRNrgj3AlXYASvDe
22,Natural,"Imagine Dragons",39768,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
23,Yalan,Edis,37592,https://open.spotify.com/track/1qCjcG3qbzUxdA0wt1Zvea
24,Vermedin,"Umut Timur",36809,https://open.spotify.com/track/0UmrWrJNzY8wSTFdjtiKUw
25,"Pavyon (feat. Ezhel)","DJ Artz",36393,https://open.spotify.com/track/1ilFULm3dQtAPMpNIQz5RJ
26,"One Kiss (with Dua Lipa)","Calvin Harris",35903,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
27,"Sensiz Ben Ne Olayım",Yalın,35208,https://open.spotify.com/track/7lxdCKq3vq2r9vVTdSUTk7
28,"Lucky You (feat. Joyner Lucas)",Eminem,35005,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
29,"Ben Bazen",Simge,34823,https://open.spotify.com/track/27lKzu8eKwNUxtTUvSDpBN
30,"Boza Boza","Soner Sarıkabadayı",34336,https://open.spotify.com/track/6AFgvYxOfnjcSsJgxkVpot
31,"Mary Jane (Ilkay Şencan Remix)","Burry Soprano",33667,https://open.spotify.com/track/4XE6trUWUlZqQ2wqrk0vJe
32,"Promises (with Sam Smith)","Calvin Harris",33518,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
33,"Heyecanı Yok",Gazapizm,33485,https://open.spotify.com/track/4sa0pXDdQkBZ1r5NZWQJyV
34,"Takdir-i İlahi","Oğuzhan Koç",32567,https://open.spotify.com/track/5DtRoFFNian2XZlxRWorpF
35,"Dinle Beni Bi'","Yüzyüzeyken Konuşuruz",31510,https://open.spotify.com/track/11PO9iu6PtpgL1JK4QNUEJ
36,"Şehrimin Tadı",Ezhel,31507,https://open.spotify.com/track/5JaXKUIcNxwSuUyD4CsphL
37,"A Canım","Mabel Matiz",30283,https://open.spotify.com/track/6GxaMyQYnqqASQKNYY4Tub
38,"God is a woman","Ariana Grande",30124,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
39,"I Like It","Cardi B",28541,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
40,"Electricity (with Dua Lipa)","Silk City",27357,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
41,Alo,Ezhel,27110,https://open.spotify.com/track/3hdXIz9eY9u5QoEUkBs5yN
42,"Bazen (feat. Emel)",Ezhel,26976,https://open.spotify.com/track/6qkXhA5mVvG1DLyliRS1Yf
43,"I Love It (& Lil Pump)","Kanye West",26886,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
44,"Girls Like You (feat. Cardi B)","Maroon 5",26642,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
45,Lafügüzaf,"Gökhan Türkmen",26485,https://open.spotify.com/track/3pZDZloBhUwlKA5O6JzXXa
46,"Düşün ki",Sancak,26174,https://open.spotify.com/track/58N360dQMsyXxgU8pA5vxb
47,Catla,Velet,26086,https://open.spotify.com/track/7xLuitKqUvy1854AiGaLY0
48,"Para Vermem",Metth,24778,https://open.spotify.com/track/52ivKJba96Z72ed5UaNMtf
49,Bodrum,"Yüzyüzeyken Konuşuruz",24720,https://open.spotify.com/track/7DarbtpxRUG5POF3ifwu61
50,Believer,"Imagine Dragons",24451,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
51,"Ne Farkeder","Yüzyüzeyken Konuşuruz",23317,https://open.spotify.com/track/23KSyhPMqyUVrrLo300YiW
52,FRIENDS,Marshmello,22994,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
53,Flames,"David Guetta",22830,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
54,Reset,"Mustafa Sandal",22560,https://open.spotify.com/track/23zOJFmA6AyMeqTBWafyc5
55,"Mahallemiz Esmer","Ben Fero",22516,https://open.spotify.com/track/4dVq7rEV6AozzDX9fh9vVH
56,Sandal,"Yüzyüzeyken Konuşuruz",22156,https://open.spotify.com/track/7ouMGV7ScnMUGXKFGAGjXe
57,"Çekmeceden Yıldızlara",Misha,22140,https://open.spotify.com/track/09gv1XYrHshxcqGSju2Xtt
58,SAD!,XXXTENTACION,22138,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
59,Yosun,"Kenan Doğulu",21839,https://open.spotify.com/track/449yvBzJL6iR7LPUvLKfin
60,"Ay Tenli Kadın","Ufuk Beydemir",21834,https://open.spotify.com/track/5CaKpl8JB1FMCbsgh0sgO8
61,Suspus,Ceza,21644,https://open.spotify.com/track/1JvUmKSl9Mg6mQnmbjLYyz
62,"Eastside (with Halsey & Khalid)","benny blanco",21577,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
63,"Jocelyn Flores",XXXTENTACION,21350,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
64,"Bu Gece",Ceg,21325,https://open.spotify.com/track/2DTLzghmLMDNvTYe67ffuD
65,"Say My Name","David Guetta",21267,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
66,"One Thing",LYAN,21202,https://open.spotify.com/track/5ZTT9RjXbHfKiAy6X4G49G
67,"Katliam 2",Massaka,21199,https://open.spotify.com/track/6oaXwwoCtIOSCCEHkP9YHF
68,"Yalnızlar Treni",Tarkan,20834,https://open.spotify.com/track/18B5WaPKyinPLTzjFOCdFH
69,Sen,Eypio,20796,https://open.spotify.com/track/2ZD1eSCt25MR1Nhj9dG71V
70,"Hiç Işık Yok",No.1,20608,https://open.spotify.com/track/2noHL0PeH7WjRSLBjWxU4Q
71,"Bu Benim Öyküm","Eli Türkoğlu",20593,https://open.spotify.com/track/0OyfyAIHIdERPduy0omDj4
72,"rockstar (feat. 21 Savage)","Post Malone",20583,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
73,"Mariners Apartment Complex","Lana Del Rey",20119,https://open.spotify.com/track/4UAW2gObi5o6sJla0qZpPn
74,"Gamzendeki Çukur","Kubilay Aka",19931,https://open.spotify.com/track/5b4RSoj4amz8NiWtT00UiC
75,Zehir,Hidra,19814,https://open.spotify.com/track/42VwTxfJSoYUsuYYXUrqnN
76,Moonlight,XXXTENTACION,19793,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
77,Sen,İdotatlıses,19739,https://open.spotify.com/track/4D0VkzOK8b4fzaCDX0KvGl
78,Nevermind,"Dennis Lloyd",19206,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
79,"Buz Kırağı",Edis,19065,https://open.spotify.com/track/2nS376iNMq34rq6WB9tggb
80,OL,Hayki,18928,https://open.spotify.com/track/6kwNcGxYaFkTfDVt1yv1ed
81,Loco,"Yung Felix",18811,https://open.spotify.com/track/0DCxNJg7yquzAHORClrP3e
82,"Mad Love","Sean Paul",18573,https://open.spotify.com/track/4dSoDnmR9opAQ8KxUc9SbC
83,"New Rules","Dua Lipa",18476,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
84,"Aşksa Gel","Tan Taşçı",18436,https://open.spotify.com/track/6XGMx3Qf1d1Xj9y20avmxY
85,"God's Plan",Drake,18384,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
86,Yol,"Fikri Karayel",18221,https://open.spotify.com/track/5b06F0e1Z6hzFMcMrzcCzL
87,"Beni Vur - Akustik","Deniz Tekin",17298,https://open.spotify.com/track/3CPBzUohQI0fVoFFMSZouO
88,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,17073,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
89,"Yaramızda Kalsın","Onur Can Özcan",17051,https://open.spotify.com/track/0OTmkHR256dTdFVI7KWoPm
90,breathin,"Ariana Grande",16760,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
91,"6 Days","Mahmut Orhan",16731,https://open.spotify.com/track/5ilKR6ucV43TXQFLoLVpsb
92,"Beni Sen İnandır",Pinhani,16643,https://open.spotify.com/track/1rY4UYyZ3PcuYgWIddkcnL
93,"The Ringer",Eminem,16409,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
94,Fall,Eminem,16331,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
95,"Bir Derdim Var","mor ve ötesi",16286,https://open.spotify.com/track/5oecOcmSEHs7MZiB0NPbFu
96,"Deli Divanenim","Ziynet Sali",16076,https://open.spotify.com/track/1t6Rh6MDMYnVUIpaBFYcby
97,"Kime Ne",Khontkar,15983,https://open.spotify.com/track/50YKf0ihsb4D1vWb48Tr7C
98,changes,XXXTENTACION,15970,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
99,Havana,"Camila Cabello",15800,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
100,"Bu Havada Gidilmez","Manuş Baba",15499,https://open.spotify.com/track/4ajGA8mtD6R2JylEbRLp5n
101,Thunder,"Imagine Dragons",15475,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
102,IDGAF,"Dua Lipa",15397,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
103,"Sıfır Sıkıntı","Istanbul Trip",15322,https://open.spotify.com/track/2gCZGzOm3XP7WlQH0IzmYX
104,"SICKO MODE","Travis Scott",15320,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
105,"Öyle Kolaysa","Mabel Matiz",15288,https://open.spotify.com/track/18MGgjSmKP7971VFFgJU94
106,"Kalbim Çukurda",Gazapizm,15259,https://open.spotify.com/track/4JGbgwywXpX5CYHwq1VT1S
107,"Şehrin Yolu","Feride Hilal Akın",14953,https://open.spotify.com/track/4YZf64vLfwur2XfRzwPvGQ
108,Manzara,"Aylin Coşkun",14887,https://open.spotify.com/track/1VJrXWb9hjCEdCDGx2q9RO
109,Sevmemeliyiz,"Sena Sener",14727,https://open.spotify.com/track/2JEOc9AyetyCtLKco6o5p5
110,"La Câlin","Serhat Durmus",14513,https://open.spotify.com/track/4wm54RgVLbAtk5v4A9I9x5
