,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Kokain,"Bonez MC",72043,https://open.spotify.com/track/1H3oIeKUEHpBhXUiso0IMH
2,"In My Mind",Dynoro,37558,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
3,"BONNIE & CLYDE",Loredana,35678,https://open.spotify.com/track/5UtiebKGhsSce9gX1qCqic
4,"500 PS","Bonez MC",31377,https://open.spotify.com/track/641R77CBy4bOLGRcA9sgHy
5,Risiko,"Bonez MC",29085,https://open.spotify.com/track/0mjbIwkdLPK5g2nGzhacjU
6,Mephisto,Bushido,28803,https://open.spotify.com/track/5HZaPWkOHUioEbruRY8HnL
7,"Dior 2001",RIN,27783,https://open.spotify.com/track/2eNSyVH3sNPiAj9WpRYK73
8,"I Love It (& Lil Pump)","Kanye West",26787,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
9,"Melodien (feat. Juju)","Capital Bra",25899,https://open.spotify.com/track/5d35jcJj7WjDQBOHCHPY6t
10,Facetime,Dardan,22878,https://open.spotify.com/track/0oZyouBDStcJEUbTmSfys2
11,Happier,Marshmello,22838,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
12,Shotgun,"George Ezra",21803,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
13,"Body (feat. brando)","Loud Luxury",21105,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
14,"Lucky You (feat. Joyner Lucas)",Eminem,20443,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
15,Rise,"Jonas Blue",19380,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
16,"Promises (with Sam Smith)","Calvin Harris",18134,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
17,Casanova,"Summer Cem",17986,https://open.spotify.com/track/0jB0RNZIfaihaDKNmdrI40
18,"Bella ciao - HUGEL Remix","El Profesor",17677,https://open.spotify.com/track/1MFSD0AkPk8Yq7TDEhrHcb
19,"Eastside (with Halsey & Khalid)","benny blanco",17663,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
20,BlaBla,"Azzi Memo",17399,https://open.spotify.com/track/4ZkM6R7P3vGJ3O4ezCGnpy
21,"Girls Like You (feat. Cardi B)","Maroon 5",17298,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
22,"Solo (feat. Demi Lovato)","Clean Bandit",16055,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
23,2002,Anne-Marie,15665,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
24,"Cordula Grün",Josh.,15153,https://open.spotify.com/track/483ykNWhSQXYprueXUMNeo
25,Mercedes,Eno,15061,https://open.spotify.com/track/0VNlBq4JKqvlIlveSwC4WJ
26,"Blah Blah Blah","Armin van Buuren",14690,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
27,"High Hopes","Panic! At The Disco",14685,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
28,"Jackie Chan",Tiësto,13936,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
29,"Born To Be Yours",Kygo,13280,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
30,Neymar,"Capital Bra",13175,https://open.spotify.com/track/7ecGSqT8Ulbzhs5QwgWGVN
31,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,12929,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
32,"Be Alright","Dean Lewis",12866,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
33,"Cane Cane",Eno,12812,https://open.spotify.com/track/4leY6qRRp1GGnv5gvMMYVr
34,Nevermind,"Dennis Lloyd",12765,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
35,"Nike Pullover",Azet,12679,https://open.spotify.com/track/4rAN7PfOWxyR9MAeUd7wLy
36,Copacabana,"Leon Machère",12641,https://open.spotify.com/track/214Mx6MSJhtaO1uPtZGqLH
37,"In My Feelings",Drake,12368,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
38,Natural,"Imagine Dragons",12083,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
39,"One Night Stand","Capital Bra",11992,https://open.spotify.com/track/3AXtDUSO78KrGa9Rq8rWUS
40,"Better Now","Post Malone",11796,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
41,Unterwegs,"AK Ausserkontrolle",11748,https://open.spotify.com/track/7k6sTmc6wuOnvelPcOMyf1
42,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",11661,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
43,"Für Euch alle (feat. Samra & Capital Bra)",Bushido,11625,https://open.spotify.com/track/78CLZUWhsxIDwObCKOh1fh
44,"Only Thing We Know","Alle Farben",11603,https://open.spotify.com/track/77YLeSEI8unMbZVWNUqioQ
45,"No Brainer","DJ Khaled",11526,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
46,"Oh Child","Robin Schulz",11492,https://open.spotify.com/track/2xw9PXlt8IaCWZjfpJ2HPL
47,Fall,Eminem,11345,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
48,Safe,"Nico Santos",11288,https://open.spotify.com/track/5B7AL4ZcRVNsUzR8WUVxmT
49,"The Ringer",Eminem,11280,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
50,"Toto (feat. RAF Camora)",Noizy,11178,https://open.spotify.com/track/1fyvQWmRbW81M0xXKI1Rrk
51,10419,Cro,11103,https://open.spotify.com/track/3irKuchN2iCEcFQKPGOBNx
52,"Taste (feat. Offset)",Tyga,10869,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
53,"Change Your Mind",ELI,10774,https://open.spotify.com/track/4kOlyvj9WiPrI4zpmzKAeA
54,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",10713,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
55,"I Like It","Cardi B",10173,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
56,Testarossa,"Miami Yacine",9984,https://open.spotify.com/track/5f6Bft94CPc7caZuqywckE
57,"Say My Name","David Guetta",9405,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
58,"Lucid Dreams","Juice WRLD",9056,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
59,Youngblood,"5 Seconds of Summer",8511,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
60,"Berlin lebt","Capital Bra",8334,https://open.spotify.com/track/1zl1smQ584EZKCfLVeYWNq
61,"Burn Out (feat. Dewain Whitmore)","Martin Garrix",8265,https://open.spotify.com/track/7IWTIkiWGWNQyYfOLdMrGD
62,"One Kiss (with Dua Lipa)","Calvin Harris",8101,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
63,"Kennzeichen B-TK","Capital Bra",7941,https://open.spotify.com/track/4kAIdBQEmb1M9ryd9tNSCD
64,Vagabund,Bausa,7712,https://open.spotify.com/track/3yhaXZury9ZUpfXvdvuWiB
65,Habibo,Veysel,7712,https://open.spotify.com/track/194IS9NnPN3clG6v3BakTR
66,"GIGI (ZKITTLEZ)",Gringo,7651,https://open.spotify.com/track/0w7Yk16SqMY7BioZktmcYm
67,Ballin,Luciano,7601,https://open.spotify.com/track/1ZxBGZ7pxkh0VwFRp6biXk
68,Primo,"RAF Camora",7518,https://open.spotify.com/track/7y5chiQbuvviOYUfUmOPqo
69,SAD!,XXXTENTACION,7463,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
70,"Wann dann","Capital Bra",7378,https://open.spotify.com/track/3LMQL9CSxvUP2m8FeFszP6
71,"SICKO MODE","Travis Scott",7307,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
72,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",7273,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
73,"Happy Now",Zedd,7236,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
74,Beinebrechen,Alligatoah,7174,https://open.spotify.com/track/4FD1sv2CDjz9ktp0bxdZIS
75,Eksi,Mert,7025,https://open.spotify.com/track/3MhCFPbAnGEboerYtltiPk
76,breathin,"Ariana Grande",6910,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
77,"High On Life (feat. Bonn)","Martin Garrix",6810,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
78,Penthouse,Eno,6786,https://open.spotify.com/track/43aHoeHvYOBBvzZdopsA4e
79,"Ein Problem mit Alkohol",Alligatoah,6710,https://open.spotify.com/track/7rsE2eXXUbekAmpHkpiKxM
80,"Ohne mein Team","Bonez MC",6608,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
81,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",6601,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
82,Sonnenbrille,Loredana,6464,https://open.spotify.com/track/14kafeLy8vQRvGhA9nQnC8
83,"Tamam Tamam","Summer Cem",6464,https://open.spotify.com/track/2eRq2jwsZtb0uGH4qUsvT1
84,"Jennie (feat. R. City, Bori)","Felix Jaehn",6453,https://open.spotify.com/track/1iBOPEE6fIMsl7GMMcEyCF
85,Greatest,Eminem,6254,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
86,Paradies,Ufo361,6177,https://open.spotify.com/track/2kx7rcukcL50UysnBiWJxf
87,"Not Alike (feat. Royce Da 5'9)",Eminem,6138,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
88,"Electricity (with Dua Lipa)","Silk City",6100,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
89,"I'm a Mess","Bebe Rexha",6090,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
90,"Thunderclouds with Sia, Diplo & Labrinth",Sia,6088,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
91,40K,Ufo361,6084,https://open.spotify.com/track/5xnKRr7fCLm0Gew1TBou7e
92,FRIENDS,Marshmello,5925,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
93,Alli-Alligatoah,Alligatoah,5889,https://open.spotify.com/track/6i7N2P5oPwqJ6tnh6BUIoQ
94,Better,Khalid,5850,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
95,"Hubba Bubba",Massiv,5834,https://open.spotify.com/track/5JmBRZy6cXuqJntsAjcGhC
96,Darkside,"Alan Walker",5647,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
97,"rockstar (feat. 21 Savage)","Post Malone",5632,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
98,"Wake Up in the Sky","Gucci Mane",5629,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
99,Moonlight,XXXTENTACION,5613,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
100,Kamikaze,Eminem,5605,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
101,"Beautiful (feat. Camila Cabello)",Bazzi,5550,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
102,"Santorini (feat. Veysel)","Summer Cem",5547,https://open.spotify.com/track/1ZQhnmtZ2tq1t3TzguTciR
103,"Je ne parle pas français - Beatgees Remix",Namika,5450,https://open.spotify.com/track/0LH2h4pwiX1iY3KDuONOb6
104,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,5335,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
105,"Ocean (feat. Khalid)","Martin Garrix",5321,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
106,"RAP DEVIL","Machine Gun Kelly",5265,https://open.spotify.com/track/63TyoT9Ee03rQxv8xmdJ2l
107,"Praise The Lord (Da Shine)","A$AP Rocky",5183,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
108,"God is a woman","Ariana Grande",5166,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
109,BEBE,6ix9ine,5130,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
110,Hass,Alligatoah,5097,https://open.spotify.com/track/5gZEJ0sYazk0aOfheH11To
111,"Need A Face",Alligatoah,5080,https://open.spotify.com/track/2pzZYQwdwK2XUAmyQcxrxZ
112,"5 Songs in einer Nacht","Capital Bra",5078,https://open.spotify.com/track/72gemWtPeCOrRnX4PhjNNk
113,Flames,"David Guetta",5032,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
114,"no tears left to cry","Ariana Grande",5030,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
115,Verändert,Ufo361,5009,https://open.spotify.com/track/0JyiveD2YWsxJWAJmlrCNS
116,"Gotham City","RAF Camora",4978,https://open.spotify.com/track/2axf5shPhjS8qdaGr5MWaS
117,SWISH,Tyga,4923,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
118,"Remind Me to Forget",Kygo,4905,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
119,"Was Du Liebe nennst",Bausa,4843,https://open.spotify.com/track/2hIY4sjfMeKwXXh2LvhrMo
120,"Sex Tape","Katja Krasavice",4802,https://open.spotify.com/track/1zOMSnF631rlPHlS4hH9rV
121,"God's Plan",Drake,4802,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
122,"Fame (feat. RAF Camora)","Kontra K",4790,https://open.spotify.com/track/1imtCbjVIxYIkurjkye7Dg
123,"Dominique - Bernasconi Single Mix","Monja Mari Achi",4789,https://open.spotify.com/track/0dAKW4uCBlmvjGYQPoWpjp
124,Kontrollieren,"RAF Camora",4765,https://open.spotify.com/track/1uGERQ2DVv7j9WSsWzOHVp
125,"Füttern verboten",Alligatoah,4742,https://open.spotify.com/track/3V6EyixZDS1x48sTwpFs8i
126,STARGAZING,"Travis Scott",4643,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
127,"Palmen aus Plastik","Bonez MC",4561,https://open.spotify.com/track/6wHRm1KR8pzVDPdmR6Qovj
128,Happier,"Ed Sheeran",4558,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
129,"Chinchilla (feat. KC Rebell & Capital Bra)","Summer Cem",4542,https://open.spotify.com/track/3a5qsP4xawpweFRXgzG6VP
130,"Shape of You","Ed Sheeran",4509,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
131,Maserati,"RAF Camora",4451,https://open.spotify.com/track/6Ey4u2VsUbBz52l2cPvuxa
132,"La Cintura","Alvaro Soler",4439,https://open.spotify.com/track/355kY0VYYf2AUOnUsU56Xq
133,changes,XXXTENTACION,4341,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
134,"Wo kann man das kaufen",Alligatoah,4335,https://open.spotify.com/track/07ow7Aog78Gb0OnavPf8i9
135,"Die grüne Regenrinne I",Alligatoah,4332,https://open.spotify.com/track/1SNPOtkbItjwaLERMBsAkz
136,Nonstop,Drake,4275,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
137,"Jocelyn Flores",XXXTENTACION,4269,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
138,"Stepping Stone",Eminem,4253,https://open.spotify.com/track/60Z57Wdrn0pEVpHI7d7GAX
139,"30 km/h","PA Sports",4225,https://open.spotify.com/track/0fRoN30HIQ9pju3O6HLsTz
140,Meinungsfrei,Alligatoah,4212,https://open.spotify.com/track/6n2472uMganlsCMqVWLGat
141,"Qa bone",Azet,4166,https://open.spotify.com/track/5mqjWAb4xWdoIr6IZdHpqS
142,"Freie Liebe",Alligatoah,4151,https://open.spotify.com/track/2h42lqXCWJLwc7Ru5EE2Va
143,"Like I Do","David Guetta",4106,https://open.spotify.com/track/4aBYzs8RxZMuqyOanNlf8I
144,"The Middle",Zedd,4086,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
145,"Zusammen feat. Clueso","Die Fantastischen Vier",4047,https://open.spotify.com/track/35Ma4j9sPWhUAJ471naHV3
146,"Venom - Music From The Motion Picture",Eminem,4015,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
147,Paradise,"George Ezra",3965,https://open.spotify.com/track/38zwkK6TtTjIW9tpYBfZ3D
148,Normal,Eminem,3934,https://open.spotify.com/track/0evt4UZbdhnHtcAnxkm6A1
149,Believer,"Imagine Dragons",3899,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
150,"Andere Liga","RAF Camora",3868,https://open.spotify.com/track/2NWZiXyRdKEolP8QrjBGmp
151,Africa,Toto,3840,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
152,"Olé Olé","Capital Bra",3831,https://open.spotify.com/track/4v4ZuW2tjSyyci2BcE5bTp
153,Havana,"Camila Cabello",3827,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
154,"Psycho (feat. Ty Dolla $ign)","Post Malone",3827,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
155,Magisch,Olexesh,3826,https://open.spotify.com/track/4gnuy9VBU2GGrN60UMB79t
156,Fuego,Veysel,3818,https://open.spotify.com/track/5FnVTit5CWHIou1GHWVGoO
157,"Molotov (feat. RAF Camora)","Summer Cem",3789,https://open.spotify.com/track/4OIvBxO2bUD2J9L1hD7IpV
158,Melody,"Lost Frequencies",3760,https://open.spotify.com/track/5r49JKf2vWBF0CQjZewJ0O
159,"Y. HURN wieso?","Yung Hurn",3724,https://open.spotify.com/track/2J6Lnt71tZ7WEjWz5n7CiA
160,"Good Guy (feat. Jessie Reyez)",Eminem,3702,https://open.spotify.com/track/4g32MdRoqwGKQd3NXIRhpU
161,"We Can Do Better","Matt Simons",3699,https://open.spotify.com/track/1hLjLWrzO18acdCFcccFWk
162,Thunder,"Imagine Dragons",3672,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
163,VVS,Ufo361,3648,https://open.spotify.com/track/3Dz60wNYgx77kkCPlTR6AM
164,"KMN Member","KMN Gang",3647,https://open.spotify.com/track/3Cw0IAdjDgjyD4AEY4o2ZW
165,Knöcheltief,Trettmann,3631,https://open.spotify.com/track/7AwPgamlOy97TfTIXDvb4S
166,Terrorangst,Alligatoah,3616,https://open.spotify.com/track/3V3Nl4qQV8hHUCkyjlo0qT
167,"Don't Stop Believin'",Journey,3614,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
168,Mörder,"Bonez MC",3583,https://open.spotify.com/track/6v6xHeuMLbCuddN0ETrGhs
169,"Self Care","Mac Miller",3554,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
170,"Immer wenn wir uns sehn (""Das schönste Mädchen der Welt"", Soundtrack)",LEA,3512,https://open.spotify.com/track/5psDugCQ2V8uayDeSuTvdD
171,Eisblock,"Yung Hurn",3499,https://open.spotify.com/track/2khyQMO05KJtPMuHgdj5XR
172,Columbo,Wanda,3486,https://open.spotify.com/track/2mhwX8vAz2l3i2wlrG8Av1
173,#janeinvielleicht,"Pizzera & Jaus",3472,https://open.spotify.com/track/1WQ9KkwNxESP9RR9MpP5b4
174,"I'm Yours","Jason Mraz",3466,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
175,IDGAF,"Dua Lipa",3463,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
176,Bros,RIN,3436,https://open.spotify.com/track/0mG6upCcUF0Qvq08FnjRDZ
177,"All I Am","Jess Glynne",3425,https://open.spotify.com/track/6X6SdJzxyw7GzxwP2fr9WV
178,Avirex,RIN,3418,https://open.spotify.com/track/75do9XnLzMDDkeDYRY75FV
179,"eine ins leben","Pizzera & Jaus",3399,https://open.spotify.com/track/25V3y1lVPuZ09ZcmliMAmQ
180,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,3398,https://open.spotify.com/track/7w9bgPAmPTtrkt2v16QWvQ
181,"More Than You Know","Axwell /\ Ingrosso",3397,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP
182,"Mariners Apartment Complex","Lana Del Rey",3394,https://open.spotify.com/track/4UAW2gObi5o6sJla0qZpPn
183,BILLY,6ix9ine,3372,https://open.spotify.com/track/5KhFaq45chTw8RGfWo8T8J
184,Safari,Maxwell,3365,https://open.spotify.com/track/6hjck7ERXicpsW51UkdHCA
185,"Like I Love You","Lost Frequencies",3335,https://open.spotify.com/track/2ZrM2IfZelBZMZoBq9y4kj
186,"Side Effects","The Chainsmokers",3333,https://open.spotify.com/track/3OtQmFLS5b3pTgIf44GQFJ
187,"Let You Go",Nightcall,3300,https://open.spotify.com/track/3MdXljQymY43YwHw1N0lOd
188,Superhero,Lauv,3298,https://open.spotify.com/track/1Fo4OvzP9PThFKMeMIAEYu
189,"Meine Hoe",Alligatoah,3268,https://open.spotify.com/track/75ReXzQ5Aw3k5GnA2xDXol
190,"So gut wie neu",Alligatoah,3256,https://open.spotify.com/track/3F23UghPZhrix9SXebUuWY
191,"Sick Boy","The Chainsmokers",3254,https://open.spotify.com/track/0Lc741JBJ6QVVXBOOofSiC
192,Perfect,"Ed Sheeran",3247,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
193,"Burn the House Down",AJR,3239,https://open.spotify.com/track/7ozYT2gIHVbE9MBzFyzoIK
194,REMEDY,Alesso,3237,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
195,"Halb so viel",LEA,3232,https://open.spotify.com/track/0fM7Oxv1I8DsOI6VcmLYlr
196,"¿ Warum ?",Gzuz,3227,https://open.spotify.com/track/0MCuJk4KeBnweGeMZXc6Br
197,"Wonderwall - Remastered",Oasis,3212,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
198,Silence,Marshmello,3202,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
199,"Wie Zuhause",Alligatoah,3198,https://open.spotify.com/track/213yMMrzyTRAa2Ko28WSfg
200,"Here I Am - from the Dumplin' Original Motion Picture Soundtrack","Dolly Parton",3193,https://open.spotify.com/track/55CZpjiHsHAMJURSA8OtsO
