,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Be Alright","Dean Lewis",274498,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
2,"I Love It (& Lil Pump)","Kanye West",265338,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
3,"Eastside (with Halsey & Khalid)","benny blanco",263955,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
4,Shotgun,"George Ezra",195918,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
5,Happier,Marshmello,176851,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
6,"Promises (with Sam Smith)","Calvin Harris",175531,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
7,"Lucky You (feat. Joyner Lucas)",Eminem,174641,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
8,"In My Feelings",Drake,169432,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
9,"Electricity (with Dua Lipa)","Silk City",162264,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
10,"No Brainer","DJ Khaled",155684,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
11,Rise,"Jonas Blue",146390,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
12,"SICKO MODE","Travis Scott",145558,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
13,Youngblood,"5 Seconds of Summer",141071,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
14,"Girls Like You (feat. Cardi B)","Maroon 5",133439,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
15,"Taste (feat. Offset)",Tyga,123938,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
16,"Lucid Dreams","Juice WRLD",121776,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
17,"High Hopes","Panic! At The Disco",118380,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
18,"Ocean (feat. Khalid)","Martin Garrix",114677,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
19,"In My Mind",Dynoro,113091,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
20,"God is a woman","Ariana Grande",111360,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
21,breathin,"Ariana Grande",110882,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
22,Fall,Eminem,108693,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
23,"Jackie Chan",Tiësto,107619,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
24,"Beautiful (feat. Camila Cabello)",Bazzi,104638,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
25,REMEDY,Alesso,103520,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
26,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,102980,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
27,"Never Ever (feat. Sarah)","The Rubens",99825,https://open.spotify.com/track/4E2s2lCNKxbWJMwHPMzOfq
28,"The Ringer",Eminem,99731,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
29,SAD!,XXXTENTACION,95359,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
30,"Better Now","Post Malone",94424,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
31,"Body (feat. brando)","Loud Luxury",92815,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
32,"Happy Now",Zedd,90528,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
33,SWISH,Tyga,88753,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
34,"Praise The Lord (Da Shine)","A$AP Rocky",88043,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
35,Fire,"Peking Duk",82577,https://open.spotify.com/track/3BZkEOJwKUYRlkLWZB1izC
36,Natural,"Imagine Dragons",82569,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
37,"Healing Hands","Conrad Sewell",81414,https://open.spotify.com/track/1LwnqPolBLuhZKp8zAwaIz
38,"Not Alike (feat. Royce Da 5'9)",Eminem,79691,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
39,Nonstop,Drake,78776,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
40,"God's Plan",Drake,75316,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
41,"Thunderclouds with Sia, Diplo & Labrinth",Sia,74375,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
42,"lovely (with Khalid)","Billie Eilish",74281,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
43,"I Like It","Cardi B",73174,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
44,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",71039,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
45,"Say My Name","David Guetta",70742,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
