,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Mind",Dynoro,46131,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
2,"Verleden Tijd",Frenna,35762,https://open.spotify.com/track/4kuexchmxuc5NXmokfo1WH
3,"I Love It (& Lil Pump)","Kanye West",34704,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
4,"Promises (with Sam Smith)","Calvin Harris",34616,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
5,"Be Alright","Dean Lewis",30922,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
6,Shotgun,"George Ezra",30731,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
7,"In My Feelings",Drake,27738,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
8,"Lucky You (feat. Joyner Lucas)",Eminem,27185,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
9,"Eastside (with Halsey & Khalid)","benny blanco",24535,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
10,Rise,"Jonas Blue",23898,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
11,Happier,Marshmello,23888,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
12,"Girls Like You (feat. Cardi B)","Maroon 5",23527,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
13,Natural,"Imagine Dragons",23053,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
14,"One Kiss (with Dua Lipa)","Calvin Harris",22018,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
15,Djadja,"Aya Nakamura",21962,https://open.spotify.com/track/3XfnssSD9HMQ9LhVOJvXTE
16,"Solo (feat. Demi Lovato)","Clean Bandit",21097,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
17,Youngblood,"5 Seconds of Summer",20737,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
18,"Body (feat. brando)","Loud Luxury",20684,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
19,Ellie,Regi,20091,https://open.spotify.com/track/2NPiBHafyMwJXvSemJ2S0F
20,"Jackie Chan",Tiësto,19910,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
21,"Blah Blah Blah","Armin van Buuren",19545,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
22,"Electricity (with Dua Lipa)","Silk City",18748,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
23,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",17996,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
24,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",17940,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
25,"No Brainer","DJ Khaled",17744,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
26,"Lucid Dreams","Juice WRLD",17737,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
27,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",17414,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
28,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,17191,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
29,SAD!,XXXTENTACION,16805,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
30,"I Like It","Cardi B",16221,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
31,"When I Grow Up (feat. Wiz Khalifa)","Dimitri Vegas & Like Mike",15900,https://open.spotify.com/track/3LK452TFyApuFN9jjg3THO
32,"Miljonair (feat. SBMG, Lil' Kleine, Boef & Ronnie Flex)",$hirak,15560,https://open.spotify.com/track/77wz2VtAwxAwYOGTJrZBKT
33,"Praise The Lord (Da Shine)","A$AP Rocky",15472,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
34,"SICKO MODE","Travis Scott",14671,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
35,breathin,"Ariana Grande",14539,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
