,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Cizí zeď","ONEMANSHOW Foundation",46287,https://open.spotify.com/track/7nLZ336nDC44S0CCXcCBJm
2,"In My Mind",Dynoro,19923,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
3,"I Love It (& Lil Pump)","Kanye West",17183,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
4,Natural,"Imagine Dragons",14633,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
5,"Lucky You (feat. Joyner Lucas)",Eminem,12444,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
6,"Promises (with Sam Smith)","Calvin Harris",11459,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
7,Rise,"Jonas Blue",10828,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
8,"Eastside (with Halsey & Khalid)","benny blanco",9785,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
9,Happier,Marshmello,9721,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
10,"Solo (feat. Demi Lovato)","Clean Bandit",9563,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
11,"Emma Smetana","Robin Zoot",8924,https://open.spotify.com/track/3sEdFCqhm6qwN0ncMpPDqD
12,"Be Alright","Dean Lewis",8813,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
13,"Girls Like You (feat. Cardi B)","Maroon 5",8806,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
14,"In My Feelings",Drake,7934,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
15,"Body (feat. brando)","Loud Luxury",7712,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
16,"Born To Be Yours",Kygo,7156,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
17,"Jackie Chan",Tiësto,7151,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
18,"Blah Blah Blah","Armin van Buuren",7008,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
19,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",6977,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
20,Nevermind,"Dennis Lloyd",6912,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
21,"The Ringer",Eminem,6871,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
22,"Thunderclouds with Sia, Diplo & Labrinth",Sia,6869,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
23,"Say My Name","David Guetta",6775,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
24,"Electricity (with Dua Lipa)","Silk City",6659,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
25,Fall,Eminem,6658,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
26,Darkside,"Alan Walker",6625,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
27,"Happy Now",Zedd,6460,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
28,"One Kiss (with Dua Lipa)","Calvin Harris",6246,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
29,Believer,"Imagine Dragons",6056,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
30,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",6055,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
31,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",5999,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
32,"Burn Out (feat. Dewain Whitmore)","Martin Garrix",5908,https://open.spotify.com/track/7IWTIkiWGWNQyYfOLdMrGD
33,Thunder,"Imagine Dragons",5904,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
34,breathin,"Ariana Grande",5894,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
35,"No Brainer","DJ Khaled",5890,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
