,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Kokain,"Bonez MC",954961,https://open.spotify.com/track/1H3oIeKUEHpBhXUiso0IMH
2,"BONNIE & CLYDE",Loredana,574444,https://open.spotify.com/track/5UtiebKGhsSce9gX1qCqic
3,"In My Mind",Dynoro,517670,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
4,"500 PS","Bonez MC",509870,https://open.spotify.com/track/641R77CBy4bOLGRcA9sgHy
5,"Dior 2001",RIN,496758,https://open.spotify.com/track/2eNSyVH3sNPiAj9WpRYK73
6,Mephisto,Bushido,480487,https://open.spotify.com/track/5HZaPWkOHUioEbruRY8HnL
7,"Melodien (feat. Juju)","Capital Bra",453961,https://open.spotify.com/track/5d35jcJj7WjDQBOHCHPY6t
8,Facetime,Dardan,444782,https://open.spotify.com/track/0oZyouBDStcJEUbTmSfys2
9,Risiko,"Bonez MC",409142,https://open.spotify.com/track/0mjbIwkdLPK5g2nGzhacjU
10,"I Love It (& Lil Pump)","Kanye West",395111,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
11,BlaBla,"Azzi Memo",321516,https://open.spotify.com/track/4ZkM6R7P3vGJ3O4ezCGnpy
12,"Cane Cane",Eno,299100,https://open.spotify.com/track/4leY6qRRp1GGnv5gvMMYVr
13,Casanova,"Summer Cem",296109,https://open.spotify.com/track/0jB0RNZIfaihaDKNmdrI40
14,"Promises (with Sam Smith)","Calvin Harris",293726,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
15,"Body (feat. brando)","Loud Luxury",282130,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
16,"Lucky You (feat. Joyner Lucas)",Eminem,271400,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
17,Happier,Marshmello,270198,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
18,"Eastside (with Halsey & Khalid)","benny blanco",263790,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
19,Copacabana,"Leon Machère",259648,https://open.spotify.com/track/214Mx6MSJhtaO1uPtZGqLH
