,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Love Someone","Lukas Graham",134147,https://open.spotify.com/track/6r3baE6njwU4aoJq6zPukG
2,"I Love It (& Lil Pump)","Kanye West",123993,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
3,"Chopper Tale (feat. Branco & Gilli)",ATYPISK,107925,https://open.spotify.com/track/6vOwDZnFovhiJiQEgiePTE
4,"Su Casa",KESI,91178,https://open.spotify.com/track/4yF9erb9bMUIRXr6QdPgP4
5,"Eastside (with Halsey & Khalid)","benny blanco",85202,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
6,"Promises (with Sam Smith)","Calvin Harris",82578,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
7,"Body (feat. brando)","Loud Luxury",74265,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
8,AMG,MellemFingaMuzik,73520,https://open.spotify.com/track/12upFOLFbpQ5nTENWm2Glj
9,Shotgun,"George Ezra",71711,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
10,"In My Mind",Dynoro,69954,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
11,"Tjep (feat. Kesi)","Benny Jamz",65954,https://open.spotify.com/track/6Xc6N2ptIEj8z77KDLlj9g
12,"Be Alright","Dean Lewis",59356,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
13,"Rum Bum Bum",NAVID,59251,https://open.spotify.com/track/0QzldbZnd9gLpor4S2EzJc
14,"No Romantico (feat. si_el_bien)",NODE,56905,https://open.spotify.com/track/2bvLpM4LmYaTGK2AI5ENCk
15,"Lucky You (feat. Joyner Lucas)",Eminem,56324,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
16,"Lucid Dreams","Juice WRLD",50357,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
17,"Desert Eagle",ZK,49934,https://open.spotify.com/track/02vZaMYB8dM8lF9AN1KzJs
18,Youngblood,"5 Seconds of Summer",49742,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
19,Better,Khalid,49247,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
20,Oui,Sivas,46348,https://open.spotify.com/track/7j8K8PE1tO2TvhY15E8ZcD
21,"Blah Blah Blah","Armin van Buuren",45833,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
22,"Taste (feat. Offset)",Tyga,44229,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
23,"In My Feelings",Drake,43303,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
24,"No Brainer","DJ Khaled",43228,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
25,Happier,Marshmello,42828,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
26,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",42253,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
27,Fall,Eminem,41424,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
28,"Kom Over",KESI,37835,https://open.spotify.com/track/6Lu7LCf7t7V6X7i4NQywcT
29,Ekstra,KESI,36801,https://open.spotify.com/track/3G3mTTR1EDmce8zZIdapM6
30,"Girls Like You (feat. Cardi B)","Maroon 5",36091,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
31,Rise,"Jonas Blue",34595,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
32,"SICKO MODE","Travis Scott",34165,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
33,"The Ringer",Eminem,33666,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
34,"Solo (feat. Demi Lovato)","Clean Bandit",33301,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
35,"Better Now","Post Malone",32614,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
36,"Jackie Chan",Tiësto,31817,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
37,SAD!,XXXTENTACION,30051,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
38,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,29766,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
39,"Thunderclouds with Sia, Diplo & Labrinth",Sia,27493,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
40,Worry,FOOL,27399,https://open.spotify.com/track/1HbdS6DUrJbxWj1vnrXHsD
41,"Electricity (with Dua Lipa)","Silk City",27361,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
42,"Praise The Lord (Da Shine)","A$AP Rocky",27206,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
43,"One Kiss (with Dua Lipa)","Calvin Harris",27050,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
44,"IK BAR HÆNGE",AMAL,27024,https://open.spotify.com/track/7s21h1MImeqAazeNmOxk9b
45,"Wake Up in the Sky","Gucci Mane",26280,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
46,breathin,"Ariana Grande",26130,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
47,"UH UH",Toko,25166,https://open.spotify.com/track/2MLqN9tiN3JE3z0MhBqOFl
48,"Say My Name","David Guetta",24336,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
49,"God is a woman","Ariana Grande",24035,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
50,"Beautiful (feat. Camila Cabello)",Bazzi,23749,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
51,Glad,Bro,22981,https://open.spotify.com/track/7IswsfMQkmjm1FQ2iT3sbw
52,VARM,TopGunn,22926,https://open.spotify.com/track/4zIonNNfOMBWfTww8LWuFu
53,Sydpå,Bro,22802,https://open.spotify.com/track/1lahfyqBPVvBIxf3XgmQmZ
54,"Sun In Our Eyes",MØ,22740,https://open.spotify.com/track/5vsRm2aCBl5T2qdpvwtrf6
55,Spark,"Benny Jamz",22269,https://open.spotify.com/track/7J6jiiXOgqm7z5AeKo32Nn
56,"Mi Lulu",Gilli,22091,https://open.spotify.com/track/0F9Ouh8UWNVqIBrI6FNLM2
57,"Kan Ikk' Gå Mere","DON x LEE x BARBER",22044,https://open.spotify.com/track/1bNVMj38v74AqKmTvnwYKq
58,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",21995,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
59,"Burn Out (feat. Dewain Whitmore)","Martin Garrix",21862,https://open.spotify.com/track/7IWTIkiWGWNQyYfOLdMrGD
60,Technopiik,Pattesutter,20754,https://open.spotify.com/track/5ggSjDAcxZWkNiqXzr1DWA
61,Opa,NODE,20468,https://open.spotify.com/track/4NB09rIzIhxxLBwdXx1ZTY
62,Wild,"Hugo Helmig",20344,https://open.spotify.com/track/0kTUf60V9AQTqNVKZAmJKc
63,"I Like It","Cardi B",20330,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
64,Natural,"Imagine Dragons",19840,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
65,"High Hopes","Panic! At The Disco",19829,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
66,"New Eyes","Nicklas Sahl",19329,https://open.spotify.com/track/5nvPhsgDEqEHQ3bLTfqDsd
67,"Happy Now",Zedd,19218,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
68,"Holder Fast",Hennedub,19011,https://open.spotify.com/track/0yJshzyh9qjjtiyLBbPglQ
69,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",18767,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
70,Moonlight,XXXTENTACION,18486,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
71,"Ocean (feat. Khalid)","Martin Garrix",18461,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
72,STARGAZING,"Travis Scott",17701,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
73,Strapped,FOOL,17648,https://open.spotify.com/track/3o6VhtL6rH2rBzsN8XvfWg
74,"Jocelyn Flores",XXXTENTACION,17523,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
75,Greatest,Eminem,17482,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
76,"Gimade (feat. AMRO)",RH,17095,https://open.spotify.com/track/3jCwMe0LD0OWk6iN53JgRD
77,"rockstar (feat. 21 Savage)","Post Malone",16833,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
78,"Don’t Matter To Me (with Michael Jackson)",Drake,16505,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
79,"Not Alike (feat. Royce Da 5'9)",Eminem,16460,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
80,2002,Anne-Marie,16303,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
81,"Creep On Me",GASHI,16167,https://open.spotify.com/track/1MUL6DO2gVimj2YrVedubd
82,changes,XXXTENTACION,15909,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
83,Umage,Hennedub,15640,https://open.spotify.com/track/4RR1B32xyiyWUk7NfIEb94
84,"Abu Debe",Jamaika,15303,https://open.spotify.com/track/6KG9Aicu7YKyez7H6CQ1vh
85,"RAP DEVIL","Machine Gun Kelly",15204,https://open.spotify.com/track/63TyoT9Ee03rQxv8xmdJ2l
86,Nonstop,Drake,15053,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
87,Nevermind,"Dennis Lloyd",15035,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
88,"Under Sædet (feat. Gio)",Murro,14772,https://open.spotify.com/track/2kElqjqqo4POG5inmpp6Bh
89,"Højre Og Venstre (feat. Ericka Jane)",Skinz,14383,https://open.spotify.com/track/610KxSt2HNjczZ2ic2Yr9q
90,Kamikaze,Eminem,14376,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
91,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,14345,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
92,"If You're Over Me","Years & Years",14333,https://open.spotify.com/track/1oc3jna2ablnfIKLYbKujl
93,SWISH,Tyga,14226,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
94,"God's Plan",Drake,14190,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
95,MARIJA,AMAL,14059,https://open.spotify.com/track/2b0ISj3QEgIKpmeZ46mSWQ
96,Flames,"David Guetta",14055,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
97,"Psycho (feat. Ty Dolla $ign)","Post Malone",13962,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
98,"no tears left to cry","Ariana Grande",13920,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
99,"Like I Do","David Guetta",13901,https://open.spotify.com/track/4aBYzs8RxZMuqyOanNlf8I
100,Monogamy,Christopher,13501,https://open.spotify.com/track/4CTZcAXWa0XFdyLSKSCheh
101,"Varme Tider",ATYPISK,13331,https://open.spotify.com/track/7Kxvkt1HYrCvHOJcKR3BpR
102,"Mon P'tit Loup",Gilli,13316,https://open.spotify.com/track/4KzpgkWZvobrSk9z63tvNS
103,Langsom,Gilli,13140,https://open.spotify.com/track/5fQiM6oa6M00dBNNcS6pSc
104,"Dancing In The Moonlight (feat. NEIMY)",Jubel,13138,https://open.spotify.com/track/4Vs8RLrUdDXeaZbNeIOrtn
105,"8 Letters","Why Don't We",12983,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
