,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Vaina Loca",Ozuna,13444,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
2,"Quiere Beber","Anuel Aa",12274,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
3,Hipócrita,"Anuel Aa",10845,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
4,"Toda - Remix","Alex Rose",10776,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
5,Culpables,"Manuel Turizo",9644,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn
6,BEBE,6ix9ine,9593,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
7,"Te Boté - Remix","Nio Garcia",8951,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
8,Ibiza,Ozuna,8796,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp
9,Asesina,Brytiago,8627,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
10,"Estamos Bien","Bad Bunny",8352,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
11,"Mala Mía",Maluma,8331,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
12,"Un Buen Dia",Amenazzy,8294,https://open.spotify.com/track/6H1cT49sJlHTdhjnPbsF7D
13,"No Es Justo","J Balvin",8258,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
14,Brindemos,"Anuel Aa",8094,https://open.spotify.com/track/7LeQ55Z5jPBB0ggYJtAiYO
15,Triste,"Bryant Myers",6864,https://open.spotify.com/track/5MNS5FF4LrTX0jIaI0gory
16,Unica,Ozuna,6859,https://open.spotify.com/track/33b2wX9d0kxqxhi7lcsC1A
17,"Madura (feat. Bad Bunny)",Cosculluela,6740,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
18,"La Player (Bandolera)","Zion & Lennox",6736,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
19,"litEral viEja","Milo K",6630,https://open.spotify.com/track/4kf42CUPMv3kVMAVporQhj
20,Culpables,"Karol G",6269,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
21,"Me Dijeron",Ozuna,6268,https://open.spotify.com/track/17UUYZ290omPaJY4wKeyHh
22,"Sin Pijama","Becky G",5977,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
23,"¿Cual es tu plan?","Bad Bunny",5953,https://open.spotify.com/track/4HRDBtek0ayfLQ6uc7rjO9
24,"Suave (Remix)","El Alfa",5716,https://open.spotify.com/track/0alWUvsJHk83HVWCnyCG51
25,"I Like It","Cardi B",5577,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
26,Devuelveme,Ozuna,4932,https://open.spotify.com/track/5uvucCRBTkxv7VxIDLOqe7
27,"In My Feelings",Drake,4925,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
28,"Todo Va Estar Bien","Mark B.",4750,https://open.spotify.com/track/42sMYgin1f4iFDzo47LyOE
29,"Pasado y Presente",Ozuna,4609,https://open.spotify.com/track/6NPjHwhEG7eQUQBoPFBrnz
30,"Me Niego",Reik,4521,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
31,"No Me Acuerdo",Thalía,4510,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
32,"Donde Estan","Tito ""El Bambino""",4480,https://open.spotify.com/track/1StjQHjCyI6xmC0Mihqmkl
33,"X - Remix","Nicky Jam",4439,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
