,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mala Mía",Maluma,26600,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
2,"Vaina Loca",Ozuna,26529,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
3,"Ya No Tiene Novio","Sebastian Yatra",25688,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
4,"Cuando Te Besé","Becky G",23888,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
5,"No Es Justo","J Balvin",23720,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
6,"Quiere Beber","Anuel Aa",20342,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
7,BEBE,6ix9ine,20001,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
8,"Sin Pijama","Becky G",18274,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
9,"Te Boté - Remix","Nio Garcia",18211,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
10,Culpables,"Manuel Turizo",17709,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn
11,Justicia,"Silvestre Dangond",16907,https://open.spotify.com/track/6ipp8Dhs33KinlF4BStgca
12,Asesina,Brytiago,16520,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
13,"Por Perro","Sebastian Yatra",16414,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
14,"Amigos Con Derechos",Reik,16337,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
15,"La Player (Bandolera)","Zion & Lennox",16179,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
16,"No Me Acuerdo",Thalía,15180,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
17,"Toda - Remix","Alex Rose",14436,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
18,Clandestino,Shakira,13799,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
19,"Me Niego",Reik,12191,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
20,"Te Amo","Piso 21",11488,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
21,Hipócrita,"Anuel Aa",10982,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
22,Mocca,"Lalo Ebratt",10889,https://open.spotify.com/track/0NKoPGc72yUKTIneVhFfg1
23,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",10822,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
24,Calypso,"Luis Fonsi",10819,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
25,"I Like It","Cardi B",10216,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
26,"Cuando Nadie Ve",Morat,10156,https://open.spotify.com/track/1Cxd4ZJJ9VOQQpNcpdcZEQ
27,"X - Remix","Nicky Jam",10022,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
28,"Chica Paranormal","Paulo Londra",9971,https://open.spotify.com/track/2r77vqSZkOktTSgmAOoHsV
29,"Madura (feat. Bad Bunny)",Cosculluela,9274,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
30,Celoso,"Lele Pons",9064,https://open.spotify.com/track/33zcmmElV1YbRZe57biUjg
31,"Ni Gucci Ni Prada","Kenny Man",8885,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ
32,"Epa Wei","Danny Ocean",8841,https://open.spotify.com/track/2QmsKag0YaqhAbpR9Nwmpn
33,"Mi Cama - Remix","Karol G",8600,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE
34,"Dura - Remix","Daddy Yankee",8516,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
35,Unica,Ozuna,8487,https://open.spotify.com/track/33b2wX9d0kxqxhi7lcsC1A
36,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",8476,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
37,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",8425,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
38,"Duro y Suave","Leslie Grace",8359,https://open.spotify.com/track/31M5m42C3EGlbydf9XB5to
39,"Estamos Bien","Bad Bunny",8357,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
40,"Zum Zum","Daddy Yankee",8232,https://open.spotify.com/track/7lEhOiFtcLXY4P7cuTKuQ8
41,Culpables,"Karol G",7841,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
42,"No Hay Nadie Más","Sebastian Yatra",7812,https://open.spotify.com/track/3IPJg1sdqLj12kFIndaonN
43,"Girls Like You (feat. Cardi B)","Maroon 5",7523,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
44,"In My Feelings",Drake,7508,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
45,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",7450,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
46,PPP,"Kevin Roldan",7258,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS
47,"Me Dijeron",Ozuna,7210,https://open.spotify.com/track/17UUYZ290omPaJY4wKeyHh
48,"One Kiss (with Dua Lipa)","Calvin Harris",7166,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
49,"El Clavo - Remix","Prince Royce",7154,https://open.spotify.com/track/6bI00brFpeprqCDqKouEJS
50,Ambiente,"J Balvin",7097,https://open.spotify.com/track/6VrBWh90BiwWmwKtvwWFcq
51,"Bella - Remix",Wolfine,7096,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
52,Amantes,Greeicy,6771,https://open.spotify.com/track/3IyPnNX142pvWx6D5CiimD
53,Casualidad,Nacho,6542,https://open.spotify.com/track/08rwXPBZ2DHOwnL7xaz044
54,"El Préstamo",Maluma,6415,https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz
55,Dembow,"Danny Ocean",6306,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
56,"Se Vuelve Loca",CNCO,5897,https://open.spotify.com/track/2PYmyMAMlhX1eVevLo5A6n
57,X,"Nicky Jam",5886,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
58,"¿Cual es tu plan?","Bad Bunny",5651,https://open.spotify.com/track/4HRDBtek0ayfLQ6uc7rjO9
59,"To My Love - Tainy Remix","Bomba Estéreo",5506,https://open.spotify.com/track/5LciLoxa1gK70yIUeoHgRx
60,"Robarte un Beso","Carlos Vives",5477,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k
61,"Síguelo Bailando",Ozuna,5442,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
62,"Me Rehúso","Danny Ocean",5294,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
63,"El Embrujo",Morat,5184,https://open.spotify.com/track/6GM7WCa0accugI9b2JTeix
