,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,öölaps!,Nublu,7756,https://open.spotify.com/track/70qZhu8T6VHpeugYFZCnVk
2,"I Love It (& Lil Pump)","Kanye West",5994,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
3,"Mina Ka",Nublu,5709,https://open.spotify.com/track/4WTIwGBQobHLNo320RhOWW
4,"Promises (with Sam Smith)","Calvin Harris",4614,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
5,"In My Mind",Dynoro,4569,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
6,"2 Quick Start",Nublu,4242,https://open.spotify.com/track/60mPI11SKSZFlLKzt3KXv5
7,"Lucky You (feat. Joyner Lucas)",Eminem,3563,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
8,"Eastside (with Halsey & Khalid)","benny blanco",2968,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
9,Happier,Marshmello,2708,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
10,"Rulli Rulli Rulli - Nublu Remix",Öed,2619,https://open.spotify.com/track/5qdzvhnYpGt6rogTlOcJe3
11,"Body (feat. brando)","Loud Luxury",2555,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
12,"In My Feelings",Drake,2482,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
13,"Lucid Dreams","Juice WRLD",2434,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
14,"Be Alright","Dean Lewis",2351,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
15,"Better Now","Post Malone",2281,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
16,"Say My Name","David Guetta",2145,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
17,"I Got Love","MiyaGi & Эндшпиль",2087,https://open.spotify.com/track/5rwsJbBNa8SfPW4oFA1GjP
18,"Electricity (with Dua Lipa)","Silk City",2007,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
19,Natural,"Imagine Dragons",2001,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
20,"Burn Out (feat. Dewain Whitmore)","Martin Garrix",1971,https://open.spotify.com/track/7IWTIkiWGWNQyYfOLdMrGD
21,"Girls Like You (feat. Cardi B)","Maroon 5",1963,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
22,Nevermind,"Dennis Lloyd",1912,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
23,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",1871,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
24,SAD!,XXXTENTACION,1844,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
25,breathin,"Ariana Grande",1840,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
26,Better,Khalid,1840,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
27,"Thunderclouds with Sia, Diplo & Labrinth",Sia,1838,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
28,"The Ringer",Eminem,1838,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
29,"Beautiful (feat. Camila Cabello)",Bazzi,1822,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
30,Fall,Eminem,1784,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
31,Rise,"Jonas Blue",1734,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
32,Youngblood,"5 Seconds of Summer",1728,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
33,"Wake Up in the Sky","Gucci Mane",1700,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
34,"Happy Now",Zedd,1684,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
35,"SICKO MODE","Travis Scott",1679,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
36,"Mariners Apartment Complex","Lana Del Rey",1652,https://open.spotify.com/track/4UAW2gObi5o6sJla0qZpPn
37,"Jackie Chan",Tiësto,1645,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
38,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",1622,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
39,Trenažöör,5MIINUST,1617,https://open.spotify.com/track/6CUrRWNO3KlHuvuw8yESSU
40,Darkside,"Alan Walker",1615,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
41,REMEDY,Alesso,1598,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
42,"High On Life (feat. Bonn)","Martin Garrix",1563,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
43,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",1503,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
44,Moonlight,XXXTENTACION,1451,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
45,"Solo (feat. Demi Lovato)","Clean Bandit",1450,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
46,"rockstar (feat. 21 Savage)","Post Malone",1450,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
47,"Not Alike (feat. Royce Da 5'9)",Eminem,1411,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
48,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,1403,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
49,Shotgun,"George Ezra",1398,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
50,"No Brainer","DJ Khaled",1366,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
51,"SLOW DANCING IN THE DARK",Joji,1362,https://open.spotify.com/track/0UyljEbX9dqI1K0sqdv6B6
52,"Born To Be Yours",Kygo,1341,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
53,"Jocelyn Flores",XXXTENTACION,1299,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
54,"Survive (feat. Emeli Sandé, Gucci Mane)","Don Diablo",1298,https://open.spotify.com/track/0ZK4SbP0mgjTlvLiSBbhsd
55,"Ocean (feat. Khalid)","Martin Garrix",1295,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
56,Greatest,Eminem,1281,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
57,"God is a woman","Ariana Grande",1276,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
58,"One Kiss (with Dua Lipa)","Calvin Harris",1262,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
59,"Taste (feat. Offset)",Tyga,1258,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
60,Kamikaze,Eminem,1249,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
61,"Praise The Lord (Da Shine)","A$AP Rocky",1228,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
62,"Like I Love You","Lost Frequencies",1201,https://open.spotify.com/track/2ZrM2IfZelBZMZoBq9y4kj
63,"Sincerity Is Scary","The 1975",1198,https://open.spotify.com/track/06Vthiq8nNDuT5nOcch535
64,"Pretty Little Fears (feat. J. Cole)",6LACK,1152,https://open.spotify.com/track/4at3d5QWnlibMVN75ECDrp
65,"I Like It","Cardi B",1122,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
66,"Self Care","Mac Miller",1083,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
67,"Psycho (feat. Ty Dolla $ign)","Post Malone",1072,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
68,"Blah Blah Blah","Armin van Buuren",1051,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
69,Nonstop,Drake,1051,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
70,"God's Plan",Drake,1048,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
71,"no tears left to cry","Ariana Grande",1046,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
72,"Ignite (feat. SEUNGRI)",K-391,1020,https://open.spotify.com/track/0UMLejbZXf7YVgnfxURvVr
