,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Love It (& Lil Pump)","Kanye West",73432,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
2,"Kyynelten virta","Reino Nordin",70884,https://open.spotify.com/track/363JrcPMzb2x6lHCTjf9WM
3,"In My Mind",Dynoro,65736,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
4,"Funeral Song (Vain elämää kausi 9)",Ellinoora,57555,https://open.spotify.com/track/7KCQCgw903m8P7PEbHrOZi
5,"Lucky You (feat. Joyner Lucas)",Eminem,57081,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
6,"F-F-F-Falling - Vain Elämää Kausi 9",Evelina,57056,https://open.spotify.com/track/7yh8f6LSOjlDww2MrA9W0n
7,XTC,"Lukas Leon",49894,https://open.spotify.com/track/17OUBczN4xbjuCDcx0xmXL
8,"Made in Heaven","Jenni Vartiainen",49211,https://open.spotify.com/track/5V7QO5EdUB91ksf7FgBcCc
9,"Rakkauslaulu - Vain Elämää Kausi 9",Pyhimys,48458,https://open.spotify.com/track/4LQk0DmiAiV5VD0qMgBvSj
10,Darkside,"Alan Walker",44487,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
11,"Say My Name","David Guetta",42526,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
12,"Promises (with Sam Smith)","Calvin Harris",42141,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
13,"Valot sammuu",Cheek,42072,https://open.spotify.com/track/39J7BoHrpoR9V3vUBIj1wK
14,"Forza Italia",Spekti,41390,https://open.spotify.com/track/7JEv9Hj3qJbFqcNqwsVMUh
15,"Mitä Mä Malagas?",Gasellit,41045,https://open.spotify.com/track/5xv2Mp3X6DeMaO0do5Xh99
16,"Lucid Dreams","Juice WRLD",40058,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
17,"Mun sydän","Kaija Koo",39418,https://open.spotify.com/track/1wPQdWUqzqCRKjdP5zOXQy
18,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",37865,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
19,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,36923,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
20,Aallot,Kymppilinja,36142,https://open.spotify.com/track/05GbDEn0ORuEzBUgUJKWiQ
21,"Naarmuja (feat. IBE)",Benjamin,32676,https://open.spotify.com/track/4uAFn0BeYwIkALu1ObuzXA
22,"Yhen elämän juttu",ABREU,31461,https://open.spotify.com/track/0IXLyheDMnOQ4mmTrScjAR
23,"Ignite (feat. SEUNGRI)",K-391,31064,https://open.spotify.com/track/0UMLejbZXf7YVgnfxURvVr
24,"Eastside (with Halsey & Khalid)","benny blanco",30595,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
25,Happier,Marshmello,30483,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
26,"The Ringer",Eminem,30459,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
27,Joutsenet,Brädi,30421,https://open.spotify.com/track/0kvjpXrQygsHmimfk6TcTZ
28,"Majesty (with Labrinth & feat. Eminem)","Nicki Minaj",29115,https://open.spotify.com/track/38TgLPNHsPzgqri5G4SPun
