,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Ramenez la coupe à la maison",Vegedream,360741,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
2,"Air Max",Rim'K,300309,https://open.spotify.com/track/2XESFfYekQ0mRau2GXjT3E
3,"Ma 6t a craqué (feat. Ninho)",Kpoint,262459,https://open.spotify.com/track/2NUIWpL6IsYGkwfSN7basS
4,91's,PNL,228410,https://open.spotify.com/track/58st6r10Ze6QomHs0BMUA8
5,Copines,"Aya Nakamura",216606,https://open.spotify.com/track/3AZg5nZgMquXJ67KgpngKX
6,"In My Mind",Dynoro,179077,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
7,W.L.G,Niska,173756,https://open.spotify.com/track/13E2wgUjmdunrlq3Vbxv8T
8,Mana,Vald,165430,https://open.spotify.com/track/4MbYBTarkGoFO0CBzL3Ij6
9,Bella,MHD,165378,https://open.spotify.com/track/0SJRHDAStlsrXIXeFZZStK
10,"Feu de bois",Damso,149691,https://open.spotify.com/track/4L0Iwsk1s8cbdBcEgdm8K5
11,Otto,SCH,146436,https://open.spotify.com/track/5TMvoLmSvPk4pmWKcWfzTz
12,"Non stop",Vald,145867,https://open.spotify.com/track/2YZdMTtqmDpXRKnvKlQCyg
13,"Billets verts",Maes,141087,https://open.spotify.com/track/61SYuUg9rokbvIPxzrhxd0
14,"Qui je suis",RK,138706,https://open.spotify.com/track/0uE2BUVUdc0cZFBND8jTLZ
15,Alright,Jain,136424,https://open.spotify.com/track/44ahv3Zj4FOJoy8gJLZF9B
16,"Promises (with Sam Smith)","Calvin Harris",132765,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
17,Taga,"Hornet La Frappe",131354,https://open.spotify.com/track/4xrIWVwDYmJ5KFXinj82TG
18,Oyé,"Koba LaD",128223,https://open.spotify.com/track/1wAkwrrlP3j4X49YoS5tpq
19,YAX3,Vald,125869,https://open.spotify.com/track/09Dyb4iPQNMZRc1Nn2aCBo
20,"La C","Koba LaD",124180,https://open.spotify.com/track/4A6V8yOXo7oz6oYhdfHrLl
21,"Girls Like You (feat. Cardi B)","Maroon 5",120292,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
22,Rise,"Jonas Blue",116809,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
23,"Solo (feat. Demi Lovato)","Clean Bandit",115733,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
24,Berflam,Vald,115106,https://open.spotify.com/track/1TRPCgtAgm4R74V5dU4x5K
25,"In My Feelings",Drake,113640,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
26,"Complètement sonné",KeBlack,112824,https://open.spotify.com/track/4bZOVCf1wiNELuCH34rFDl
27,"Bad boy","Marwa Loud",112502,https://open.spotify.com/track/0N90EmHdOXLnTYDoeLwsmr
28,"I Love It (& Lil Pump)","Kanye West",110962,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
29,"Bucci Night",Yaro,110568,https://open.spotify.com/track/03O32oEi0jJsbmcHMjCPBD
30,Dalida,Soolking,110475,https://open.spotify.com/track/4J7XN3KBqVH0ftG52SpkRf
31,"Dis moi tout BB","Suikon Blaz AD",110418,https://open.spotify.com/track/1YkcoJwdoXElwDIaheI4xY
32,"Train de vie","Koba LaD",109345,https://open.spotify.com/track/3Tm8FfsoIgqk1gXHrOION9
33,"Sur le drapeau","Suprême NTM",107938,https://open.spotify.com/track/42Xesu4U4nM3CCjMk5X3kM
34,"#DansLeTierquar (Nantes)",RK,107737,https://open.spotify.com/track/26NPCbYyALFIhFlqRziqnG
35,Rhumance,Vald,107630,https://open.spotify.com/track/56YLNejnyHdf3yiJg8fDUp
36,Luna,"Moha La Squale",104076,https://open.spotify.com/track/55PyQALchJn43CGeN6XHAN
37,Woah,Sofiane,102557,https://open.spotify.com/track/196cSZjrDdgaJILT3cpfYl
38,"Foie gras",Vald,102317,https://open.spotify.com/track/2PGhWKvTDnP0l0w0ASMOls
39,"Juste pour voir","S.Pri Noir",101418,https://open.spotify.com/track/0JOJx8jx0dWZk33MsvRZrB
40,Smog,Damso,100191,https://open.spotify.com/track/1h1wmYG39fp6ZTgwlJ3Cv3
41,Django,Dadju,96623,https://open.spotify.com/track/14hLSMLJ86sHRklJ62tH58
42,"Adieu bientôt",Columbine,94652,https://open.spotify.com/track/0nauWQtOaFKUtpLUMPyxmG
43,Djadja,"Aya Nakamura",94299,https://open.spotify.com/track/3XfnssSD9HMQ9LhVOJvXTE
44,"No Tube Zone",Vald,92233,https://open.spotify.com/track/4AAuHpqSjH9B0SENHuqzIw
45,Guerilla,Soolking,92030,https://open.spotify.com/track/6pJMDcYj8jHDGdEVWNwBMH
46,Habitué,Dosseh,90829,https://open.spotify.com/track/76HlSm9QxyXxpks5HTYS0F
47,"Demain - Bigflo & Oli X Petit Biscuit","Bigflo & Oli",89300,https://open.spotify.com/track/79m95shJaTK0aSogeQQTyD
48,Santana,Alonzo,89102,https://open.spotify.com/track/0G0WC5ghZRRH6LJNNXtK1W
49,"Blah Blah Blah","Armin van Buuren",89024,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
50,Nevermind,"Dennis Lloyd",87144,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
51,"24 carats",RK,86746,https://open.spotify.com/track/44r4eL5Uct0hC5vYH7Ph2N
52,Tierquar,RK,86285,https://open.spotify.com/track/4V7F7rldtFEjuSTzTPYB13
53,Vlad,Vald,85093,https://open.spotify.com/track/55kcOG4X9C5QduLXEXx7mg
54,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,84907,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
55,"A l'Ammoniaque",PNL,82864,https://open.spotify.com/track/6aH3QgooXRmx8k8jzrSm3V
56,"Toto et Ninetta",Jul,82768,https://open.spotify.com/track/4DMSNaJcSirQN31BSf2BeZ
57,"Lucky You (feat. Joyner Lucas)",Eminem,82714,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
58,"Entre les murs (feat. Ninho)","DA Uzi",82124,https://open.spotify.com/track/3eiuxHgjBs0ZHYgyapxD4d
59,"Tout est bon","DJ Babs",80923,https://open.spotify.com/track/5pIo87IJw1JsyLqF0ETO6q
60,"Praise The Lord (Da Shine)","A$AP Rocky",80248,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
61,MacDo,Vald,78914,https://open.spotify.com/track/7e8aMwYe0EuycV6vtZLSp3
62,SAD!,XXXTENTACION,78270,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
63,"Bep Bep",Sadek,77498,https://open.spotify.com/track/0eDU1adKo7MrIvsD3MjAHv
64,"Baby Squirt",Vald,75924,https://open.spotify.com/track/60eGKTJsvDndvt0JrMx6Vg
65,"Audio - with Sia, Diplo & Labrinth",Sia,75449,https://open.spotify.com/track/7boPPE857KEqCIHNwFkDop
66,"Answerphone (feat. Yxng Bane)","Banx & Ranx",75028,https://open.spotify.com/track/1HagMz5nWk1HmevNCBOxF3
67,"Ténébreux #1","Koba LaD",74924,https://open.spotify.com/track/13AUrZzDjQujeXMh8kTVIU
68,Rechute,Vald,74220,https://open.spotify.com/track/5uRPvrM1xZwy4B0TSHTh3s
69,"One Kiss (with Dua Lipa)","Calvin Harris",73377,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
70,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",72718,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
71,"Jackie Chan",Tiësto,72229,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
72,Moonlight,XXXTENTACION,71692,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
