,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Promises (with Sam Smith)","Calvin Harris",525626,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
2,"I Love It (& Lil Pump)","Kanye West",518910,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
3,"Eastside (with Halsey & Khalid)","benny blanco",493876,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
4,"Body (feat. brando)","Loud Luxury",404606,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
5,Happier,Marshmello,356665,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
6,"In My Feelings",Drake,356578,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
7,"Lucky You (feat. Joyner Lucas)",Eminem,334379,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
8,"Electricity (with Dua Lipa)","Silk City",332585,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
9,"Taste (feat. Offset)",Tyga,301373,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
10,Shotgun,"George Ezra",299510,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
11,"No Brainer","DJ Khaled",279605,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
12,"Lucid Dreams","Juice WRLD",273607,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
13,"In My Mind",Dynoro,267936,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
14,"God is a woman","Ariana Grande",256558,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
15,Rise,"Jonas Blue",234755,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
16,"The Ringer",Eminem,230423,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
17,breathin,"Ariana Grande",229854,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
18,"SICKO MODE","Travis Scott",221816,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
19,Fall,Eminem,209036,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
20,"Jackie Chan",Tiësto,206752,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
21,"All I Am","Jess Glynne",204658,https://open.spotify.com/track/6X6SdJzxyw7GzxwP2fr9WV
22,"Girls Like You (feat. Cardi B)","Maroon 5",202663,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
23,"If You're Over Me","Years & Years",201950,https://open.spotify.com/track/1oc3jna2ablnfIKLYbKujl
24,"Be Alright","Dean Lewis",201273,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
25,"Ring Ring (feat. Mabel & Rich The Kid)","Jax Jones",182666,https://open.spotify.com/track/3pSfoP1xZllxEuZ6Oh6ebn
26,"Better Now","Post Malone",174582,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
27,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",169989,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
28,Youngblood,"5 Seconds of Summer",168440,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
29,"High Hopes","Panic! At The Disco",166208,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
30,SAD!,XXXTENTACION,164462,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
31,Nevermind,"Dennis Lloyd",160191,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
32,"Only You (with Little Mix)","Cheat Codes",158349,https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
33,"One Kiss (with Dua Lipa)","Calvin Harris",157900,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
34,"Not Alike (feat. Royce Da 5'9)",Eminem,154569,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
35,"Solo (feat. Demi Lovato)","Clean Bandit",154195,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
36,"Praise The Lord (Da Shine)","A$AP Rocky",154182,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
37,Greatest,Eminem,151955,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
38,079ME,"B Young",151800,https://open.spotify.com/track/5f14ylFBAuwqVHXvafqtmd
39,"Best Life","Hardy Caprio",151645,https://open.spotify.com/track/3wAyZwtyyLMsJNG7Mb17ky
40,"I Like It","Cardi B",147392,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
41,Butterflies,"AJ Tracey",146899,https://open.spotify.com/track/6DMXPshekQJR7uOMj0103y
42,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,142903,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
43,"Sincerity Is Scary","The 1975",141488,https://open.spotify.com/track/06Vthiq8nNDuT5nOcch535
44,Nonstop,Drake,139668,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
45,"Nice For What",Drake,139428,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
46,Kamikaze,Eminem,136757,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
47,"no tears left to cry","Ariana Grande",134493,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
48,"Thunderclouds with Sia, Diplo & Labrinth",Sia,133738,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
49,"Say My Name","David Guetta",133019,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
50,"Don’t Matter To Me (with Michael Jackson)",Drake,124631,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
51,"This Is Me","Keala Settle",123422,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
52,"God's Plan",Drake,114383,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
53,"Stepping Stone",Eminem,113889,https://open.spotify.com/track/60Z57Wdrn0pEVpHI7d7GAX
54,"Wake Up in the Sky","Gucci Mane",110938,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
55,2002,Anne-Marie,109077,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
56,Moonlight,XXXTENTACION,108886,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
57,"Beautiful (feat. Camila Cabello)",Bazzi,107043,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
58,Normal,Eminem,105085,https://open.spotify.com/track/0evt4UZbdhnHtcAnxkm6A1
59,"RAP DEVIL","Machine Gun Kelly",104736,https://open.spotify.com/track/63TyoT9Ee03rQxv8xmdJ2l
60,"Ay Caramba",Fredo,103114,https://open.spotify.com/track/0mfEHC4z5a7533o7VNOH2c
61,"Fine Girl",ZieZie,102666,https://open.spotify.com/track/2H9zpvV33I48HE5jnNvWVB
62,"Venom - Music From The Motion Picture",Eminem,101792,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
63,"rockstar (feat. 21 Savage)","Post Malone",101423,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
64,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",101182,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
65,"Shape of You","Ed Sheeran",99265,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
66,"Panic Room",Au/Ra,99137,https://open.spotify.com/track/3MkuFR7t25mu7Iscp6GGiV
67,Paradise,"George Ezra",97842,https://open.spotify.com/track/38zwkK6TtTjIW9tpYBfZ3D
68,TOOTIMETOOTIMETOOTIME,"The 1975",97658,https://open.spotify.com/track/6wvlEKW2qxucJSBXYpMV2P
69,Flames,"David Guetta",97046,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
70,"Ocean (feat. Khalid)","Martin Garrix",97000,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
71,Better,Khalid,96416,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
72,"First Time",M-22,96025,https://open.spotify.com/track/25Mf35cnnFalpVNFp0g3hW
73,LO(V/S)ER,"AJ Tracey",95166,https://open.spotify.com/track/0DvTfAgZvGkIOiKYSmHpIo
74,SWISH,Tyga,95058,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
75,"Jocelyn Flores",XXXTENTACION,94620,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
76,"Good Guy (feat. Jessie Reyez)",Eminem,93301,https://open.spotify.com/track/4g32MdRoqwGKQd3NXIRhpU
77,Natural,"Imagine Dragons",90899,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
78,"Mariners Apartment Complex","Lana Del Rey",90825,https://open.spotify.com/track/4UAW2gObi5o6sJla0qZpPn
79,"Oh My",Dappy,88670,https://open.spotify.com/track/5lTBFpNkKWu8nRy3qzEw2h
80,STARGAZING,"Travis Scott",86506,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
81,6:30,Geko,85799,https://open.spotify.com/track/6lU7kJ6k1oUew36PbPl15E
82,"Psycho (feat. Ty Dolla $ign)","Post Malone",85788,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
83,"Mr. Brightside","The Killers",84316,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
84,"Happy Now",Zedd,84092,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
85,"The Greatest Show","Hugh Jackman",82819,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM
86,London,"AJ x Deno",81820,https://open.spotify.com/track/0lstGz2advSx5VqY8olvzt
87,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,81013,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
88,"I'll Be There","Jess Glynne",80673,https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn
89,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",80235,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
90,"Man Down (feat. AlunaGeorge)",Shakka,79842,https://open.spotify.com/track/1keIwLlHg0VZhoQQiTb0Xi
91,"Bed (feat. Ariana Grande)","Nicki Minaj",78090,https://open.spotify.com/track/3L4GsGLgxpHieVQH86H8bv
92,"New Rules","Dua Lipa",77970,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
93,"Rewrite The Stars","Zac Efron",77128,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
94,"Lost Without You","Freya Ridings",77080,https://open.spotify.com/track/3QlF2ExmrRP0RM7ffv7y0Q
95,Africa,Toto,77029,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
96,Havana,"Camila Cabello",76864,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
97,"Bad Vibe",M.O,75830,https://open.spotify.com/track/70eehEqNug7oAhozjhG21t
98,"Money Right","Dizzee Rascal",75482,https://open.spotify.com/track/4m08vFKrKbjEklzRIBwllU
99,changes,XXXTENTACION,75227,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
100,"Nice Guy (with Jessie Reyez)",Eminem,74977,https://open.spotify.com/track/09FfQO3PqHO4HIJL511Ksi
101,"I Fall Apart","Post Malone",73953,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
102,German,EO,73160,https://open.spotify.com/track/7cwLbWHs42c8JmrW9BJZos
103,"Paul - Skit","Paul Rosenberg",72887,https://open.spotify.com/track/0Uv5Kp8sEnriJjkX4oLfNI
104,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",71990,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
105,"Your Lovin' (feat. MØ & Yxng Bane)","Steel Banglez",71688,https://open.spotify.com/track/1p6Sc7zeA9dMIDT1mIpCJ1
106,"Never Enough","Loren Allred",71575,https://open.spotify.com/track/0Gl5s8IhMmQE5YQwM8Qx1J
107,"A Million Dreams","Ziv Zaifman",71457,https://open.spotify.com/track/0RoA7ObU6phWpqhlC9zH4Z
108,"I'm Yours","Jason Mraz",71318,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
109,"Back & Forth",MK,70949,https://open.spotify.com/track/4M8x1TR36VMQMFMbGCdoyA
110,"Look Alive (feat. Drake)","BlocBoy JB",70864,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
111,"Leave a Light On","Tom Walker",70129,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
112,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",69946,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
113,"Just Got Paid",Sigala,69178,https://open.spotify.com/track/0v3BMLcwUmAwyqJaf5997o
114,Boasy,Avelino,68615,https://open.spotify.com/track/68YYKjdbD8VfGHPhXZaPsB
115,"Love Lies (with Normani)",Khalid,68216,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
116,Crazy,"Gnarls Barkley",67226,https://open.spotify.com/track/1vxw6aYJls2oq3gW0DujAo
117,"Freaky Friday (feat. Chris Brown)","Lil Dicky",67062,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
118,"Wonderwall - Remastered",Oasis,67055,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
119,"Feel It Still","Portugal. The Man",67036,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
120,"Do I Wanna Know?","Arctic Monkeys",66931,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
121,Anywhere,Sigma,66768,https://open.spotify.com/track/6lD9nDl7jBUSIPDMAMZjuD
122,sweetener,"Ariana Grande",66611,https://open.spotify.com/track/70khXICDeTTxgYtw3EysKH
123,"Pretty Little Fears (feat. J. Cole)",6LACK,65158,https://open.spotify.com/track/4at3d5QWnlibMVN75ECDrp
124,"I'm a Mess","Bebe Rexha",62276,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
125,"The Middle",Zedd,62274,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
126,"The Other Side","Hugh Jackman",61701,https://open.spotify.com/track/2cKovq3l6OJjhVVDbVKOsr
127,"Em Calls Paul - Skit",Eminem,61600,https://open.spotify.com/track/6B3zy3LOKHndqsviCr2z15
128,IDGAF,"Dua Lipa",61149,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
129,"Homerton B","Unknown T",61146,https://open.spotify.com/track/64jbR9VfylQM4i3xpxgsfN
130,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,61009,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
131,Unforgettable,"French Montana",60422,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
132,"Wake Me Up",Avicii,59633,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
133,"Beat 54 (All Good Now)",Jungle,59544,https://open.spotify.com/track/6qX4gWRXTRPIrEfNuNaYye
134,"One Shot",Mabel,59095,https://open.spotify.com/track/1uSXWgU7H957sDwQZqFlw1
