,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Love It (& Lil Pump)","Kanye West",9501,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
2,"Lucky You (feat. Joyner Lucas)",Eminem,9126,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
3,"In My Feelings",Drake,6272,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
4,"Promises (with Sam Smith)","Calvin Harris",5138,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
5,"SICKO MODE","Travis Scott",5112,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
6,"The Ringer",Eminem,4651,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
7,breathin,"Ariana Grande",4600,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
8,"In My Mind",Dynoro,4286,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
9,Fall,Eminem,4272,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
10,"Eastside (with Halsey & Khalid)","benny blanco",4208,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
11,"Not Alike (feat. Royce Da 5'9)",Eminem,4182,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
12,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,4175,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
13,"Wake Up in the Sky","Gucci Mane",4106,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
14,Happier,Marshmello,4027,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
15,Nonstop,Drake,4006,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
16,"Be Alright","Dean Lewis",3938,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
17,Natural,"Imagine Dragons",3777,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
18,"God is a woman","Ariana Grande",3760,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
19,"Electricity (with Dua Lipa)","Silk City",3642,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
20,"Taste (feat. Offset)",Tyga,3544,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
21,"I Like It","Cardi B",3528,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
22,"Girls Like You (feat. Cardi B)","Maroon 5",3445,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
23,Greatest,Eminem,3353,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
24,"Thunderclouds with Sia, Diplo & Labrinth",Sia,3243,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
25,Kamikaze,Eminem,3154,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
26,"no tears left to cry","Ariana Grande",3101,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
27,"Say My Name","David Guetta",3074,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
28,"Body (feat. brando)","Loud Luxury",3010,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
29,Better,Khalid,2967,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
30,"Mariners Apartment Complex","Lana Del Rey",2949,https://open.spotify.com/track/4UAW2gObi5o6sJla0qZpPn
31,"Lucid Dreams","Juice WRLD",2815,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
32,STARGAZING,"Travis Scott",2802,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
33,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",2731,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
34,"No Brainer","DJ Khaled",2713,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
35,"Beautiful (feat. Camila Cabello)",Bazzi,2643,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
36,Moonlight,XXXTENTACION,2558,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
37,SAD!,XXXTENTACION,2519,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
38,"Venom - Music From The Motion Picture",Eminem,2406,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
39,"God's Plan",Drake,2398,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
40,"Solo (feat. Demi Lovato)","Clean Bandit",2387,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
41,"One Kiss (with Dua Lipa)","Calvin Harris",2351,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
42,"Praise The Lord (Da Shine)","A$AP Rocky",2296,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
43,"Better Now","Post Malone",2291,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
44,"rockstar (feat. 21 Savage)","Post Malone",2283,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
45,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",2226,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
46,"Stepping Stone",Eminem,2216,https://open.spotify.com/track/60Z57Wdrn0pEVpHI7d7GAX
47,"RAP DEVIL","Machine Gun Kelly",2211,https://open.spotify.com/track/63TyoT9Ee03rQxv8xmdJ2l
48,"Happy Now",Zedd,2168,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
