,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,83542,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
2,Jangan,"Marion Jola",80738,https://open.spotify.com/track/0hXshgMyFiHVNlnSzMikGn
3,"Dengan Caraku","Arsy Widianto",78967,https://open.spotify.com/track/6zZMfagNj5Nr8rSdJ9KLqq
4,2002,Anne-Marie,75903,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
5,"Meraih Bintang","Via Vallen",72371,https://open.spotify.com/track/4yRiSND7cTKbivGz7wk4Hc
6,"Girls Like You (feat. Cardi B)","Maroon 5",70326,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
7,"Happy Now",Zedd,68550,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
8,"Thunderclouds with Sia, Diplo & Labrinth",Sia,66972,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
9,"Berpisah Itu Mudah","Rizky Febian",64980,https://open.spotify.com/track/52AWJPKuELTY9TjwHzXuhl
10,Labirin,Tulus,64009,https://open.spotify.com/track/0pDmW5AOpl1Wi58Ob0xXB8
11,"Eastside (with Halsey & Khalid)","benny blanco",63366,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
12,Pupus,"Hanin Dhiya",63350,https://open.spotify.com/track/4za8UJq7JI99ilRYQXVrkm
13,"Zona Nyaman (From ""Filosofi Kopi 2: Ben & Jody"")",Fourtwnty,57935,https://open.spotify.com/track/4lfAvFv8roumWVKXhHF8uN
14,"Teman Bahagia",Jaz,55847,https://open.spotify.com/track/0KeK6xqEcTT1VWhHf5iw2d
15,Happier,Marshmello,55815,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
16,"LOVE SCENARIO",iKON,55605,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k
17,"Can't Take My Eyes Off You","Joseph Vincent",54053,https://open.spotify.com/track/4mf6HE25CkxeezcdWyfUGO
18,"You Are The Reason","Calum Scott",52564,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
