,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Love It (& Lil Pump)","Kanye West",14092,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
2,"Upp Til Hópa","Herra Hnetusmjör",10116,https://open.spotify.com/track/3bM0moaEM1h0qpuFhD08FY
3,"In My Mind",Dynoro,8187,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
4,"Promises (with Sam Smith)","Calvin Harris",7067,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
5,"Clubbed Up",ClubDub,6849,https://open.spotify.com/track/44W4kdPFIt6tRy4cw1mUA6
6,"Chuggedda (feat. Bergur Leó)","Aron Can",5893,https://open.spotify.com/track/59SApXnguIQX9gSQVH2Mhl
7,Afhverju,Birnir,5617,https://open.spotify.com/track/0H7viQFF4UbrZYLwH373nL
8,OMG,Floni,5260,https://open.spotify.com/track/54aOgpcb6kLIIrpdy5Ea0d
9,"Lucky You (feat. Joyner Lucas)",Eminem,5223,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
10,"Í Átt Að Tunglinu",JóiPé,4874,https://open.spotify.com/track/4wBY9TNUoxtKiRh4JjAS7x
11,"Lucid Dreams","Juice WRLD",4457,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
12,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,4004,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
13,"Lætur mig",GDRN,3964,https://open.spotify.com/track/0bnCxmktCsoiwb1Witnnrd
14,"In My Feelings",Drake,3865,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
15,"SICKO MODE","Travis Scott",3858,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
16,STARGAZING,"Travis Scott",3545,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
17,"Dauður (feat. JFDR & Arnar)",Birnir,3427,https://open.spotify.com/track/1a0d2rqvR0ae6tLVa5PIjR
18,"Taste (feat. Offset)",Tyga,3274,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
19,"Aftan (feat. Herra Hnetusmjör)",Huginn,3274,https://open.spotify.com/track/6AWw9zP5MtKiSnxUZ9KIpC
20,C3po,ClubDub,2976,https://open.spotify.com/track/3W2KhWpNoJ1DZOdGGsMYeq
21,Þráhyggja,JóiPé,2960,https://open.spotify.com/track/1jgN7Uraxy2UgwAsGm5yo0
22,"Hetjan (feat. Herra Hnetusmjör)",Huginn,2948,https://open.spotify.com/track/7GM3D2CyLuQ3QwsO7ZIee6
23,"Hætti Ekki",Huginn,2916,https://open.spotify.com/track/1nkbdWUnxpxc7dFuxqzfjD
24,breathin,"Ariana Grande",2858,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
25,"No Brainer","DJ Khaled",2843,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
26,"Praise The Lord (Da Shine)","A$AP Rocky",2833,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
27,"Eastside (with Halsey & Khalid)","benny blanco",2773,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
28,"Út í geim",Birnir,2740,https://open.spotify.com/track/5Cf5TGPdkKeicSchZ4O7C9
29,SAD!,XXXTENTACION,2714,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
30,"God is a woman","Ariana Grande",2679,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
31,"Better Now","Post Malone",2678,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
32,"I Like It","Cardi B",2673,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
33,Party,Floni,2544,https://open.spotify.com/track/7n1zPrqGyMqNIpzFb9y1wC
34,Fýlaða,Svanur,2475,https://open.spotify.com/track/4sqD9XT0PJeBE7J38EaKAB
35,"Solo (feat. Demi Lovato)","Clean Bandit",2462,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
36,"Body (feat. brando)","Loud Luxury",2452,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
37,"Leiðinni Til Þín (feat. Þórdís Björk)",Huginn,2436,https://open.spotify.com/track/3XKRHmRCUvu5uc3S6KG2U0
38,"Don’t Matter To Me (with Michael Jackson)",Drake,2433,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
39,"Milljón (feat. Floni)",Birnir,2374,https://open.spotify.com/track/6w5tU82UEkB1w8QUWmnUeN
40,Heimaey,"Friðrik Dór",2347,https://open.spotify.com/track/2nTC8shptYGD61YGUX6loJ
41,"Á sama tíma, á sama stað","Friðrik Dór",2344,https://open.spotify.com/track/1fhIiRojcUDnYk5NLGlnYL
42,"Girls Like You (feat. Cardi B)","Maroon 5",2265,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
43,Nonstop,Drake,2263,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
44,Moonlight,XXXTENTACION,2259,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
45,"Drykk 3x",ClubDub,2252,https://open.spotify.com/track/7yKebrMVwiRrGvrEkqRgp7
46,Happier,Marshmello,2237,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
47,"The Ringer",Eminem,2225,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
48,"Be Alright","Dean Lewis",2208,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
49,"One Kiss (with Dua Lipa)","Calvin Harris",2178,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
50,"Jackie Chan",Tiësto,2168,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
51,Fáviti,Birnir,2160,https://open.spotify.com/track/5Q15D5lTanuwT2ou3tVE5m
52,"Manstu Ekki Eftir Mér? (Remix)",SZK,1984,https://open.spotify.com/track/3YCvM66mVzyyscuMibOBQI
53,"Ungir Strákar - Deep Mix",Floni,1947,https://open.spotify.com/track/5q4wkqDLqnvPy1nMrOvRz7
54,"Já ég veit",Birnir,1925,https://open.spotify.com/track/527GqNC4mcZ45iNhkAxwSm
55,"Aldrei Heim","Aron Can",1901,https://open.spotify.com/track/7DqZo3cXlPZRxdQcDu56mw
56,"Wake Up in the Sky","Gucci Mane",1851,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
57,Fall,Eminem,1841,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
58,"Jocelyn Flores",XXXTENTACION,1813,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
59,Feimin(n),BRÍET,1757,https://open.spotify.com/track/3vzAXUZHQCiuHTOUeG5pKC
60,"Nei við því","Aron Can",1735,https://open.spotify.com/track/0SqTInI9z20BJoMqGjlZbZ
61,"no tears left to cry","Ariana Grande",1719,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
62,Natural,"Imagine Dragons",1716,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
63,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",1677,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
64,"Farinn Með Þér",Huginn,1613,https://open.spotify.com/track/0pHz43PnqkjBfn4bT0ROX2
65,Better,Khalid,1582,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
66,"Beautiful (feat. Camila Cabello)",Bazzi,1580,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
67,Flames,"David Guetta",1571,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh
68,Youngblood,"5 Seconds of Summer",1563,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
69,Nevermind,"Dennis Lloyd",1560,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
70,Efast,JóiPé,1529,https://open.spotify.com/track/19CXlWSSQNtPAJP310krkV
71,Trappa,Floni,1528,https://open.spotify.com/track/6S0Ukjsva2CIm8YwoOrJS1
72,"rockstar (feat. 21 Savage)","Post Malone",1513,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
73,"Nephew (feat. Lil Pump)",Smokepurpp,1510,https://open.spotify.com/track/0ibOcbkp2XG46Do8jcy0bL
74,B.O.B.A.,JóiPé,1503,https://open.spotify.com/track/0YvK56iC9rz1cW1FC3DepD
75,"lovely (with Khalid)","Billie Eilish",1495,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
76,"Mo Bamba","Sheck Wes",1493,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
77,"Not Alike (feat. Royce Da 5'9)",Eminem,1483,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
78,"Dúfan mín","Logi Pedro",1476,https://open.spotify.com/track/23aoHLxcussReeVkhPXr8f
79,Rise,"Jonas Blue",1455,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
80,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",1449,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
81,Leika,Floni,1436,https://open.spotify.com/track/5Ua1qmD9au2QsyAZAAOAMn
82,Greatest,Eminem,1435,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
83,changes,XXXTENTACION,1416,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
84,Perfect,"Ed Sheeran",1407,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
85,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",1394,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
86,"Vor í Vaglaskógi",Kaleo,1386,https://open.spotify.com/track/2OdpZeTpnbqPqBrclk2pib
87,"Lean Wit Me","Juice WRLD",1367,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
88,"Leiðin okkar allra",Hjálmar,1351,https://open.spotify.com/track/49QU7ilDChdLjgopx4rzax
89,"Say My Name","David Guetta",1335,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
90,"Electricity (with Dua Lipa)","Silk City",1330,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
91,"RAP DEVIL","Machine Gun Kelly",1320,https://open.spotify.com/track/63TyoT9Ee03rQxv8xmdJ2l
92,"Shape of You","Ed Sheeran",1304,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
93,"O Shit",JóiPé,1299,https://open.spotify.com/track/4nMlbJLNC8tBfkuYUW6qmF
94,"New Light","John Mayer",1288,https://open.spotify.com/track/40FLJc17FMZaPmCQEEZgB0
95,"Self Care","Mac Miller",1285,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
96,Sósa,JóiPé,1256,https://open.spotify.com/track/23mSS5VRynhYRs5TKOkoe5
97,"Thunderclouds with Sia, Diplo & Labrinth",Sia,1254,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
98,"Balenciaga Challenge (feat. Offset)",6LACK,1251,https://open.spotify.com/track/6Zisja44KqMZj4GM4UY6Yv
99,Kamikaze,Eminem,1249,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
100,"God's Plan",Drake,1234,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
101,Africa,Toto,1222,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
102,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",1198,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
103,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,1198,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
104,"Gleymdu því (feat. Bleache)",Birnir,1188,https://open.spotify.com/track/7zUu9bgCAtaWzs4UEKTqmW
105,"All Girls Are The Same","Juice WRLD",1179,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
106,Shotgun,"George Ezra",1176,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
107,Sending,"Birgir Hákon",1173,https://open.spotify.com/track/45SvPw6ARQfxxxLyTcVhzY
108,2002,Anne-Marie,1171,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
109,"Why Did It Have To Be Me?","Josh Dylan",1160,https://open.spotify.com/track/6rekLbbb3i42gCgFIXOFvE
110,"Too Good At Goodbyes","Sam Smith",1159,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
111,Noticed,"Lil Mosey",1156,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC
112,"Psycho (feat. Ty Dolla $ign)","Post Malone",1144,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
113,"Nice For What",Drake,1142,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
114,"Rómeó og Júlía","Bubbi Morthens",1141,https://open.spotify.com/track/0IdsoEg5mjXNqlrskkzWjl
115,"Spurðu Um Mig (Ingi Bauer Remix)","Herra Hnetusmjör",1131,https://open.spotify.com/track/3b4nDw0EJPpYQVDBAFKcLx
