,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Borsello (feat. Sfera Ebbasta & DrefGold)","Gue Pequeno",638786,https://open.spotify.com/track/6gAySqc7QK27KEASxmc7Ag
2,"Claro (feat. Tony Effe & Prynce)","Gue Pequeno",478684,https://open.spotify.com/track/56f4pUF10wZMmGtjtw569u
3,"Trap Phone (feat. Capo Plaza)","Gue Pequeno",446906,https://open.spotify.com/track/50Vy6DvEWNLDaQV5j9TdDS
4,"Modalità Aereo (feat. Luchè & Marracash)","Gue Pequeno",414403,https://open.spotify.com/track/6rvSAESqueLmDe00pudWtr
5,"Bastardi Senza Gloria (feat. Noyz Narcos)","Gue Pequeno",411977,https://open.spotify.com/track/2ssOc4e6FAIneETAB2fQZK
6,"2% (feat. Frah Quintale)","Gue Pequeno",394275,https://open.spotify.com/track/1GZPzAyqLxOu9ANPIKMlCs
7,"Bling Bling (Oro)","Gue Pequeno",281766,https://open.spotify.com/track/0UyV3ehXT0z3wzkuW7fSxo
8,Balla,Zoda,267990,https://open.spotify.com/track/1ex3YwDpPLF2JeA8ZgPBto
9,"Hugh Guefner","Gue Pequeno",254541,https://open.spotify.com/track/5KzavSDoVYWdxH3qGt3dFg
10,Hotel,"Gue Pequeno",242460,https://open.spotify.com/track/36Hq9MRDTBi2XY4SBJ7rM8
11,"D'estate non vale (feat. Ana Mena)","Fred De Palma",239933,https://open.spotify.com/track/3dCEtkAfWhk15bLAWZAKLy
12,"Bam Bam (feat. Cosculluela & El Micha)","Gue Pequeno",237231,https://open.spotify.com/track/6MfHDf64Y35vw1JXoOC0Jw
13,"Sobrio (feat. Elodie)","Gue Pequeno",220042,https://open.spotify.com/track/7H2qxzM4pGKMMrCpStB8yS
14,Pablo,Rvssian,219768,https://open.spotify.com/track/0l8vhDaEztxLCQsFOAX64d
15,Babysitter,"Gue Pequeno",214625,https://open.spotify.com/track/6D7Xdzwg49z8JNZowJc1B2
16,Nera,Irama,211037,https://open.spotify.com/track/6Lc0La3OwOmAouQjbID4uX
17,"Amore e Capoeira","Takagi & Ketra",210271,https://open.spotify.com/track/5Vwqy3CS2aCB6jcgm1qWfk
18,"Da zero a cento","Baby K",186983,https://open.spotify.com/track/4cQR1R25cpABjPMzpybNSQ
19,Rollercoaster,"Emis Killa",186636,https://open.spotify.com/track/2Qe5XpRwGHFmMkZim0gRye
20,"Tesla (feat. Sfera Ebbasta & DrefGold)","Capo Plaza",178331,https://open.spotify.com/track/093RgZ7RXHZwIrxZhZYX4Q
21,"Girls Like You (feat. Cardi B)","Maroon 5",175132,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
22,"Guarda Come Flexo 2",MamboLosco,166691,https://open.spotify.com/track/6PX2GtCt8YJzOQ4ulJM41k
23,"Davide (feat. Coez)",Gemitaiz,163060,https://open.spotify.com/track/1Lq5ApqhIWUXzlryFX2K6J
24,"Te Boté - Remix","Nio Garcia",160004,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
25,"Felicità puttana",Thegiornalisti,158120,https://open.spotify.com/track/7iyhPEsF6Ea83e3eR87UjY
26,"Fotografia (feat. Francesca Michielin & Fabri Fibra)","Carl Brave",156138,https://open.spotify.com/track/3fw3W15QK6a9UxJGgndtYu
27,"I Love It (& Lil Pump)","Kanye West",150527,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
28,"Nero Bali",Elodie,148670,https://open.spotify.com/track/2hygc41DOo6dGocHEk6Jx1
29,"In My Mind",Dynoro,145998,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
30,"Moscow Mule","Benji & Fede",140249,https://open.spotify.com/track/1Lfjom9CoL5hIyvjYey9zs
31,"In My Feelings",Drake,137456,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
32,Italiana,J-AX,137320,https://open.spotify.com/track/0ptaq4BSl6jrXfGyLzJjYE
