,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Eastside (with Halsey & Khalid)","benny blanco",32194,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
2,"Beautiful (feat. Camila Cabello)",Bazzi,31938,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
3,"Be Alright","Dean Lewis",29346,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
4,Happier,Marshmello,27946,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
5,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,26328,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
6,"Girls Like You (feat. Cardi B)","Maroon 5",25585,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
7,"Happy Now",Zedd,25412,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
8,Darkside,"Alan Walker",24351,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
9,"Lucky You (feat. Joyner Lucas)",Eminem,22862,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
10,"Kisah Antara Kita","One Avenue Band",21963,https://open.spotify.com/track/4i69rFBMTOOucN2QE5bSbq
11,breathin,"Ariana Grande",21412,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
12,"No Brainer","DJ Khaled",21331,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
13,"You Are The Reason","Calum Scott",21257,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
14,"I'm a Mess","Bebe Rexha",21227,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
15,"Solo (feat. Demi Lovato)","Clean Bandit",20667,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
16,"Promises (with Sam Smith)","Calvin Harris",20512,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
17,"Thunderclouds with Sia, Diplo & Labrinth",Sia,20463,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
18,"8 Letters","Why Don't We",18667,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
19,2002,Anne-Marie,17591,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
20,"In My Feelings",Drake,17453,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
21,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",17286,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
22,"Electricity (with Dua Lipa)","Silk City",16394,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
23,"Hikayat Benladin","Ben Ladin",16350,https://open.spotify.com/track/7eGaynemjJX4nr2C5OD49d
24,Rise,"Jonas Blue",16012,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
25,"I Love It (& Lil Pump)","Kanye West",15918,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
26,Bukti,Virgoun,15817,https://open.spotify.com/track/0O2GtSCle8Eujbc1Voh2VY
27,Youngblood,"5 Seconds of Summer",15451,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
28,IDOL,BTS,15221,https://open.spotify.com/track/03iCbZaM4OkRR4We6wIzvx
29,"Love Someone","Lukas Graham",15189,https://open.spotify.com/track/6r3baE6njwU4aoJq6zPukG
30,"Sampai Bila","Misha Omar",15066,https://open.spotify.com/track/3cvpEmLI6MbnDqZstyqWxK
31,"KILLING ME",iKON,15052,https://open.spotify.com/track/27kB4qLUCV8nZd2eOgj1Tk
32,"God is a woman","Ariana Grande",14896,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
33,"Real Friends","Camila Cabello",14727,https://open.spotify.com/track/5vnpANH92iEajvGwE2oQ6r
34,"Ocean (feat. Khalid)","Martin Garrix",14704,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
35,Superhero,Lauv,14550,https://open.spotify.com/track/1Fo4OvzP9PThFKMeMIAEYu
36,Better,Khalid,14355,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
37,"SLOW DANCING IN THE DARK",Joji,13469,https://open.spotify.com/track/0UyljEbX9dqI1K0sqdv6B6
38,"lovely (with Khalid)","Billie Eilish",13192,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
39,"Di Matamu","Sufian Suhaimi",12932,https://open.spotify.com/track/3vESKvFu212T8QajZM2BCK
40,"no tears left to cry","Ariana Grande",12728,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
41,Natural,"Imagine Dragons",12648,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
42,"Thru These Tears",LANY,12471,https://open.spotify.com/track/4gB61mP4tNChn4LgfquMhi
43,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",12273,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
44,"Sampai Ke Hari Tua","Aizat Amdan",11997,https://open.spotify.com/track/5tHorpjAhmQBpLSz4TZVkn
45,"Lil’ Touch","Girls' Generation-Oh!GG",11774,https://open.spotify.com/track/4D5Ode2OfZMxIwQyvmhUe8
46,"Better Now","Post Malone",11771,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
47,"High Hopes","Panic! At The Disco",11201,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
48,"FAKE LOVE",BTS,11171,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
49,IDOL,BTS,10993,https://open.spotify.com/track/2AIWoHr9DF6y4KALCBKWQS
50,"The Ringer",Eminem,10853,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
51,"Selamat Tinggal Sayang","Haqiem Rusli",10802,https://open.spotify.com/track/58c6US9oMx1ld3C6VoQdfZ
52,"I Don't Wanna Love You Anymore",LANY,10612,https://open.spotify.com/track/1NEV2pt7AJSHWadhfCZ48t
53,Hajat,"Hael Husaini",10524,https://open.spotify.com/track/6HnDvlxQIzUoTvsUvuICgK
54,Siren,SUNMI,10374,https://open.spotify.com/track/2EK48RuuE8HHMDzD2rEDqL
55,"Tak Pernah Hilang",Amylea,9805,https://open.spotify.com/track/660QKIJb3hlFApG5utwUcn
56,"SICKO MODE","Travis Scott",9688,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
57,Happier,"Ed Sheeran",9673,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
58,"I Like Me Better",Lauv,9619,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
