,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Amorfoda,"Bad Bunny",6290,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF
2,Dura,"Daddy Yankee",4978,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
3,Sensualidad,"Bad Bunny",3203,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
4,"Quiero Repetir",Ozuna,3202,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri
5,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",3140,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l
6,Solita,Ozuna,2814,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
7,Criminal,"Natti Natasha",2581,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
8,"Dime Si Te Acuerdas","Bad Bunny",2535,https://open.spotify.com/track/49VSioK272TASR4r9vRTuP
9,"Síguelo Bailando",Ozuna,2459,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
10,Corazón,Maluma,2425,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou
11,"Échame La Culpa","Luis Fonsi",2324,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
12,Chambea,"Bad Bunny",2166,https://open.spotify.com/track/6ElmxV9B2mSNscEjP27M7i
13,Vuelve,"Daddy Yankee",2109,https://open.spotify.com/track/0lJCqIx5BhZtf6QtYI2fbv
14,Downtown,Anitta,2021,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
15,"God's Plan",Drake,1990,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
16,"Se Preparó",Ozuna,1981,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
17,X,"Nicky Jam",1865,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
18,Dembow,"Danny Ocean",1822,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
19,"Que Va","Alex Sensation",1774,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O
20,Mine,Bazzi,1733,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
21,Bella,Wolfine,1716,https://open.spotify.com/track/4R55IUi2x7S5ek2SpebOiE
22,"Báilame - Remix",Nacho,1669,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr
23,"EL BAÑO","Enrique Iglesias",1627,https://open.spotify.com/track/2vvdTrdryjsl8DmPIMDWZU
24,"Bum Bum Tam Tam","MC Fioti",1563,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr
25,IDGAF,"Dua Lipa",1504,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
26,"Me Rehúso","Danny Ocean",1489,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
27,"Amantes de una Noche","Natti Natasha",1484,https://open.spotify.com/track/2iCOdoyDmWG3hWkbtH1KB2
28,"Me Niego",Reik,1477,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
29,Esperándote,"Manuel Turizo",1451,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj
30,Machika,"J Balvin",1435,https://open.spotify.com/track/6MNGxu8MprKGkchUchkJsy
31,"Robarte un Beso","Carlos Vives",1434,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k
32,rockstar,"Post Malone",1336,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
33,"Suena El Dembow","Joey Montana",1333,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI
34,Mayores,"Becky G",1310,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
35,Perfect,"Ed Sheeran",1310,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
36,"New Rules","Dua Lipa",1298,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
37,"Shape of You","Ed Sheeran",1292,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
38,"Escápate Conmigo (feat. Ozuna)",Wisin,1268,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc
39,"La Modelo",Ozuna,1268,https://open.spotify.com/track/2m2ZGfJcs3lHWNPzhWH3XH
40,"Olha a Explosão","MC Kevinho",1262,https://open.spotify.com/track/6m2LNopVJKsvBB9l7Z1rwn
41,"El Farsante",Ozuna,1258,https://open.spotify.com/track/5EId1m4DNwTf3at31w8bPJ
42,"El Farsante - Remix",Ozuna,1212,https://open.spotify.com/track/7uYgVgRSgqluZclLS7wpp4
43,Havana,"Camila Cabello",1203,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
44,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",1193,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
45,"Bella y Sensual","Romeo Santos",1124,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3
