,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Verleden Tijd",Frenna,792869,https://open.spotify.com/track/4kuexchmxuc5NXmokfo1WH
2,Djadja,"Aya Nakamura",327803,https://open.spotify.com/track/3XfnssSD9HMQ9LhVOJvXTE
3,"In My Mind",Dynoro,242297,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
4,Shotgun,"George Ezra",238798,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
5,"Miljonair (feat. SBMG, Lil' Kleine, Boef & Ronnie Flex)",$hirak,211409,https://open.spotify.com/track/77wz2VtAwxAwYOGTJrZBKT
6,"Promises (with Sam Smith)","Calvin Harris",203929,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
7,"wine slow - Remix",Idaly,191135,https://open.spotify.com/track/4sfdFMNDcc0Aw9DuwEksAn
8,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",184624,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
9,Rise,"Jonas Blue",166180,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
10,"lil mama",Idaly,163516,https://open.spotify.com/track/3aMI0cu9YaZfyJTJMS89Ey
11,"I Love It (& Lil Pump)","Kanye West",161501,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
12,"Stap Voor Stap","Kav Verhouzer",154218,https://open.spotify.com/track/11kUvSPQThp2rjB3tAs3W9
13,"Ik Zweer Het Je","Young Ellens",152432,https://open.spotify.com/track/5tyKjCpbeWHXEfXH6bMz0C
14,Drama,Bizzey,147776,https://open.spotify.com/track/7iQKG3ZjRF4EEhUulo514R
15,"In My Feelings",Drake,146402,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
16,"J'ai Déconné",Latifah,141222,https://open.spotify.com/track/51PcB5453BMTM18V0hru79
17,"Lucky You (feat. Joyner Lucas)",Eminem,135825,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
18,Youngblood,"5 Seconds of Summer",134195,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
19,Happier,Marshmello,132416,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
20,LIT,SBMG,128369,https://open.spotify.com/track/76OfzNtY3nG5hCnh5COSjt
21,"Mag Het ff Lekker Gaan","Sevn Alias",124450,https://open.spotify.com/track/2n7fkh5vi033U3ZIxyqXGx
22,Natural,"Imagine Dragons",122268,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
23,"Happy Now",Zedd,117563,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
24,"High On Life (feat. Bonn)","Martin Garrix",116381,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
25,"Eastside (with Halsey & Khalid)","benny blanco",115804,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
26,"Jackie Chan",Tiësto,110823,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
27,"Lief Zoals Je Bent",Maan,107969,https://open.spotify.com/track/2dQRE94tqhBoxpe9tGcRrq
28,"Body (feat. brando)","Loud Luxury",106522,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
29,"Hoe Je Bent",Broederliefde,105399,https://open.spotify.com/track/2a01mRS1QctP7EvmMFoPee
30,"Be Alright","Dean Lewis",104496,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
31,"Lucid Dreams","Juice WRLD",103193,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
32,"Liefde In De Lucht","Kraantje Pappie",102785,https://open.spotify.com/track/3xbLeZAtP6yVnsgP3EGlie
33,"My Money (feat. Bokoesam, Bizzey & Dopebwoy)",$hirak,102734,https://open.spotify.com/track/0X46CPFsAMAPobzEgEhQAm
34,"No Brainer","DJ Khaled",102105,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
35,"Chemistry (feat. Mula B)",Architrackz,99201,https://open.spotify.com/track/32KaEzzoNXtjTyMT55ZT7y
36,"Solo (feat. Demi Lovato)","Clean Bandit",97672,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
37,"One Kiss (with Dua Lipa)","Calvin Harris",96498,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
38,Nightvision,Broederliefde,95765,https://open.spotify.com/track/4cHAdwWmhk4muLMNUAKAqg
39,"Hurt Somebody","Noah Kahan",95591,https://open.spotify.com/track/7apizLyhMRutg3ccXvr2qv
40,Maria,Bizzey,92932,https://open.spotify.com/track/6F3KVKjrgcxsSsZyUNuRAA
41,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",90147,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
42,"Girls Like You (feat. Cardi B)","Maroon 5",90042,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
43,Darkside,"Alan Walker",88279,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
44,L.I.A.B.,"Sevn Alias",83696,https://open.spotify.com/track/2KxIjyw0qrQ2u2TclurJC8
45,breathin,"Ariana Grande",82357,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
46,"Omarm Me","Ronnie Flex",79663,https://open.spotify.com/track/1lWBPQBghFHdpLbE6UnNc6
47,"Taste (feat. Offset)",Tyga,78590,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
48,"Blah Blah Blah","Armin van Buuren",77803,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
49,"We Can Do Better","Matt Simons",77544,https://open.spotify.com/track/1hLjLWrzO18acdCFcccFWk
50,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",75322,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
51,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,75057,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
52,"Say My Name","David Guetta",74982,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
