,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Love It (& Lil Pump)","Kanye West",59416,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
2,"Eastside (with Halsey & Khalid)","benny blanco",50661,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
3,"Be Alright","Dean Lewis",44977,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
4,"Lucky You (feat. Joyner Lucas)",Eminem,41305,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
5,Shotgun,"George Ezra",38316,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
6,"No Brainer","DJ Khaled",36146,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
7,Happier,Marshmello,35885,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
8,"Promises (with Sam Smith)","Calvin Harris",34400,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
9,"Girls Like You (feat. Cardi B)","Maroon 5",33522,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
10,"SICKO MODE","Travis Scott",32808,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
11,"In My Feelings",Drake,32387,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
12,"Taste (feat. Offset)",Tyga,30979,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
13,Vibes,Six60,30324,https://open.spotify.com/track/5EKITWJXROxWdc0bcRrMLy
14,Youngblood,"5 Seconds of Summer",30212,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
15,"The Ringer",Eminem,29185,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
16,Rise,"Jonas Blue",28116,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
17,"Body (feat. brando)","Loud Luxury",27330,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
18,"Lucid Dreams","Juice WRLD",26223,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
19,Fall,Eminem,26125,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
20,"Electricity (with Dua Lipa)","Silk City",25971,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
21,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,25901,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
22,"God is a woman","Ariana Grande",24491,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
23,"Jackie Chan",Tiësto,23743,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
24,"Better Now","Post Malone",21320,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
25,"Praise The Lord (Da Shine)","A$AP Rocky",21296,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
26,SAD!,XXXTENTACION,21260,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
27,breathin,"Ariana Grande",21040,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
28,"In My Mind",Dynoro,20545,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
29,Trip,"Ella Mai",20207,https://open.spotify.com/track/7noud145AHZGg74vpWOsCa
30,"Not Alike (feat. Royce Da 5'9)",Eminem,19977,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
31,"I Like It","Cardi B",19836,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
32,"Ocean (feat. Khalid)","Martin Garrix",19684,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
33,"lovely (with Khalid)","Billie Eilish",19633,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
34,"RAP DEVIL","Machine Gun Kelly",19554,https://open.spotify.com/track/63TyoT9Ee03rQxv8xmdJ2l
35,"High Hopes","Panic! At The Disco",19478,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
36,"Beautiful (feat. Camila Cabello)",Bazzi,18353,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
37,"Thunderclouds with Sia, Diplo & Labrinth",Sia,17560,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
38,Moonlight,XXXTENTACION,17334,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
39,2002,Anne-Marie,17298,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
40,Greatest,Eminem,17062,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
41,"Born To Be Yours",Kygo,16999,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
