,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,BEBE,6ix9ine,14429,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
2,"Vaina Loca",Ozuna,13590,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
3,Mocca,"Lalo Ebratt",13430,https://open.spotify.com/track/0NKoPGc72yUKTIneVhFfg1
4,"Quiere Beber","Anuel Aa",12640,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
5,"Toda - Remix","Alex Rose",10887,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
6,Ibiza,Ozuna,10715,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp
7,"No Es Justo","J Balvin",9585,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
8,"Te Boté - Remix","Nio Garcia",8766,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
9,Hipócrita,"Anuel Aa",8309,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
10,"Ni Gucci Ni Prada","Kenny Man",8150,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ
11,Culpables,"Manuel Turizo",7450,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn
12,"Te Gusta Hacerla","Eddy Lover",7147,https://open.spotify.com/track/2o2gdSF4k51YO18WEWY40v
13,Unica,Ozuna,6914,https://open.spotify.com/track/33b2wX9d0kxqxhi7lcsC1A
14,"La Player (Bandolera)","Zion & Lennox",6675,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
15,Culpables,"Karol G",6665,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
16,Asesina,Brytiago,6535,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
17,"Sin Pijama","Becky G",6394,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
18,"Mala Mía",Maluma,6153,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
19,"Estamos Bien","Bad Bunny",6061,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
20,Devuelveme,Ozuna,5770,https://open.spotify.com/track/5uvucCRBTkxv7VxIDLOqe7
21,"Madura (feat. Bad Bunny)",Cosculluela,5693,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
22,Brindemos,"Anuel Aa",5567,https://open.spotify.com/track/7LeQ55Z5jPBB0ggYJtAiYO
23,"DJ Pon La Plena De Danger",Japanese,5308,https://open.spotify.com/track/5TtG2bwHQFfsB6NrGMGB2L
24,"Cuando Te Besé","Becky G",5191,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
25,"Me Niego",Reik,5169,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
26,"Me Dijeron",Ozuna,5096,https://open.spotify.com/track/17UUYZ290omPaJY4wKeyHh
27,Desenfreno,Boza,5079,https://open.spotify.com/track/373CLPJGyPpYLWBFr7125j
28,"Meneo sucio",Dubosky,4943,https://open.spotify.com/track/6S5afc3XfXp2FYhRqzbXvC
29,"I Like It","Cardi B",4928,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
30,"Amigos Con Derechos",Reik,4821,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
31,Clandestino,Shakira,4674,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
