,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Cuando Te Besé","Becky G",106358,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
2,"Vaina Loca",Ozuna,96276,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
3,"No Es Justo","J Balvin",84150,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
4,"Sin Pijama","Becky G",79427,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
5,"Mala Mía",Maluma,78391,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
6,"Por Perro","Sebastian Yatra",78174,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
7,"Te Boté - Remix","Nio Garcia",77597,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
8,"Amigos Con Derechos",Reik,68980,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
9,"No Me Acuerdo",Thalía,68087,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
10,"La Player (Bandolera)","Zion & Lennox",61811,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
11,"Te Amo","Piso 21",59862,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
12,BEBE,6ix9ine,57557,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
13,Clandestino,Shakira,57330,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
14,Culpables,"Manuel Turizo",52118,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn
15,"Me Niego",Reik,51851,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
16,"Chica Paranormal","Paulo Londra",50590,https://open.spotify.com/track/2r77vqSZkOktTSgmAOoHsV
17,Asesina,Brytiago,50009,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
18,"X - Remix","Nicky Jam",49655,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
19,"Ya No Tiene Novio","Sebastian Yatra",49561,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
20,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",48337,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
21,"Duro y Suave","Leslie Grace",48117,https://open.spotify.com/track/31M5m42C3EGlbydf9XB5to
22,"Quiere Beber","Anuel Aa",48081,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
23,"Dura - Remix","Daddy Yankee",45473,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
24,"I Like It","Cardi B",43653,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
25,"Toda - Remix","Alex Rose",43222,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
26,"Mi Cama - Remix","Karol G",42646,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE
27,"Madura (feat. Bad Bunny)",Cosculluela,41901,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
28,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",40261,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
29,Probablemente,"Daniela Darcourt",39326,https://open.spotify.com/track/1CrjakXhVx50ESX6XW4iX3
30,"El Clavo - Remix","Prince Royce",37864,https://open.spotify.com/track/6bI00brFpeprqCDqKouEJS
31,"Zum Zum","Daddy Yankee",36788,https://open.spotify.com/track/7lEhOiFtcLXY4P7cuTKuQ8
