,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Kung 'Di Rin Lang Ikaw","December Avenue",167645,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
2,"Thru These Tears",LANY,153592,https://open.spotify.com/track/4gB61mP4tNChn4LgfquMhi
3,"Kathang Isip",Ben&Ben,147987,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
4,"Sa Ngalan Ng Pag-Ibig","December Avenue",145894,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
5,"Girls Like You (feat. Cardi B)","Maroon 5",134773,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
6,Mundo,"IV Of Spades",131715,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
7,"'Di Na Muli","Janine Teñoso",124551,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
8,"Beautiful (feat. Camila Cabello)",Bazzi,123994,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
9,"Eastside (with Halsey & Khalid)","benny blanco",117811,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
10,"No Brainer","DJ Khaled",114576,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
11,"In My Feelings",Drake,111438,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
12,IDGAF,"Dua Lipa",107410,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
13,2002,Anne-Marie,102754,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
14,"I Don't Wanna Love You Anymore",LANY,102152,https://open.spotify.com/track/1NEV2pt7AJSHWadhfCZ48t
15,Tagpuan,"Moira Dela Torre",96437,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
16,"Be Alright","Dean Lewis",93609,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
17,Happier,Marshmello,88722,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
18,"Electricity (with Dua Lipa)","Silk City",84063,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
19,Akala,Marion,84001,https://open.spotify.com/track/2Gh039ZAfydrM5IjiGlvEj
20,"Happy Now",Zedd,83991,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
21,"Kahit Maputi Na Ang Buhok ko - From ""The Hows Of Us""","Moira Dela Torre",80385,https://open.spotify.com/track/7aW2GrNlteWTwQZxX6LNjT
22,Sana,"I Belong to the Zoo",77995,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
23,BAAM,MOMOLAND,77206,https://open.spotify.com/track/4Is1b37KJY9XVCgzp81FBW
24,"Thick And Thin",LANY,75178,https://open.spotify.com/track/7qIICzwgm3eu1Ic3ufPGJf
25,breathin,"Ariana Grande",74380,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
26,Rise,"Jonas Blue",73747,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
27,"Midnight Sky",UNIQUE,73251,https://open.spotify.com/track/5eFzCfsj3d0yWumdEldZwL
28,"Freaky Friday (feat. Chris Brown)","Lil Dicky",72628,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
29,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,70566,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
30,"8 Letters","Why Don't We",70437,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
31,"God is a woman","Ariana Grande",66194,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
32,"Love Someone","Lukas Graham",65821,https://open.spotify.com/track/6r3baE6njwU4aoJq6zPukG
33,"Bata, Dahan-Dahan!","IV Of Spades",65801,https://open.spotify.com/track/6MMIXC8IMjrkz6TIzQ0cey
34,"Oks Lang","John Roa",64574,https://open.spotify.com/track/2wTxJWt2gA9a1Z94dTnPiI
35,Ex,Callalily,63779,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo
36,"I'm a Mess","Bebe Rexha",63699,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
37,"You Are The Reason","Calum Scott",63095,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
38,13,LANY,62550,https://open.spotify.com/track/0WOvSEVpUGkNufX0w0M06F
39,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",61582,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
40,"Bakit Ba Ikaw","Michael Pangilinan",61203,https://open.spotify.com/track/0Vmk6Ebk4QBq7r0VAz2a6s
41,"The Middle",Zedd,61021,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
42,Tadhana,"Up Dharma Down",59821,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR
43,"Say You Won't Let Go","James Arthur",54571,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
44,"I Like Me Better",Lauv,53679,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
45,IDOL,BTS,53594,https://open.spotify.com/track/03iCbZaM4OkRR4We6wIzvx
46,Mine,Bazzi,51630,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
47,"Kung Wala Ka",Hale,51280,https://open.spotify.com/track/4JSDhJVmo2UqdF7nxbyenn
48,"Pasensya Ka Na","Silent Sanctuary",50892,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7
49,Superhero,Lauv,47320,https://open.spotify.com/track/1Fo4OvzP9PThFKMeMIAEYu
50,Nadarang,"Shanti Dope",47127,https://open.spotify.com/track/6LJ1p1h5EcMK4VPeCLDSoF
51,"Promises (with Sam Smith)","Calvin Harris",47085,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
52,Bulong,"December Avenue",46865,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
53,"Strawberries & Cigarettes","Troye Sivan",46704,https://open.spotify.com/track/2z7UKVsBdbA7HFPunDKDP4
54,"Super Far",LANY,45982,https://open.spotify.com/track/15ahYSiHAIMxAnujlXVtta
55,"Too Good At Goodbyes","Sam Smith",45728,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
56,"Lucky You (feat. Joyner Lucas)",Eminem,45524,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
57,"Maybe The Night",Ben&Ben,45154,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
58,"Thunderclouds with Sia, Diplo & Labrinth",Sia,44905,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
59,Narcissist,"No Rome",44096,https://open.spotify.com/track/4Zft1h1zRfkBqlAo4qEPqp
60,"Hanggang Kailan - Umuwi Ka Na Baby","Orange & Lemons",43804,https://open.spotify.com/track/5UhpceEr5XmbVwyoIUIRnh
61,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,43110,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
62,"New Rules","Dua Lipa",42833,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
63,Migraine,Moonstar88,42243,https://open.spotify.com/track/7sW3f7PqDV7BQ7qqeVBJIA
64,"no tears left to cry","Ariana Grande",41511,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
65,Hiling,"Mark Carpio",41429,https://open.spotify.com/track/6xQs6y6CpDqK9VKCktApEL
66,"I Love It (& Lil Pump)","Kanye West",41132,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
67,"Lucid Dreams","Juice WRLD",40999,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
68,"Best Part",H.E.R.,40132,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
69,Magbalik,Callalily,40081,https://open.spotify.com/track/5zMR44ZH4KVZj4FlhTj3SE
70,Connection,OneRepublic,39697,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU
71,"Dying Inside To Hold You - From "" All Of You"" Official Soundtrack","Darren Espanto",39330,https://open.spotify.com/track/7xty20N3DMTVOVtDIS2Jov
72,"Let Me",ZAYN,38969,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC
73,"With a Smile","South Border",38895,https://open.spotify.com/track/6XmskR1cMfgys1W7dExmgi
74,"Solo (feat. Demi Lovato)","Clean Bandit",38517,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
75,"BBoom BBoom",MOMOLAND,38380,https://open.spotify.com/track/3BPoSr2pO34Aan6alFfVto
76,ILYSB,LANY,38145,https://open.spotify.com/track/2btKtacOXuMtC9WjcNRvAA
77,"Tell Me Where It Hurts",MYMP,37870,https://open.spotify.com/track/6C2nrsOlb3jOUGcJAmPrTA
78,"Playinwitme (feat. Kehlani)",KYLE,37651,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
79,"So Sick",Ne-Yo,37273,https://open.spotify.com/track/6brl7bwOHmGFkNw3MBqssT
80,"Rewrite The Stars","Zac Efron",37016,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
81,Sila,Sud,36897,https://open.spotify.com/track/2IMODbij0lZ5CuAjZi0IDE
82,"Di Makatulog",Sud,36732,https://open.spotify.com/track/2ZiNCGDMapQzMtnPRVOKZI
83,"Isa Pang Araw","Sarah Geronimo",36546,https://open.spotify.com/track/06ANmvjPpUeh8QQAAAcThx
84,"One Kiss (with Dua Lipa)","Calvin Harris",36277,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
85,Photograph,"Ed Sheeran",35937,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
86,"Hanggang Kailan","Michael Pangilinan",35934,https://open.spotify.com/track/01YEqVPCm0vqRLA9w43bic
87,Perfect,"Ed Sheeran",35854,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
88,"Take A Bow - Main",Rihanna,35750,https://open.spotify.com/track/39afswHs17v53znQm1gDTY
89,Better,Khalid,35657,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
90,Leaves,Ben&Ben,35404,https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv
91,"Malaya (Camp Sawi Original Motion Picture Soundtrack)","Moira Dela Torre",35345,https://open.spotify.com/track/6M21eWbEw74XDdoQsNIinq
92,Tagu-Taguan,"Moira Dela Torre",34317,https://open.spotify.com/track/2iOnWSWcChoGmUufbrQ00e
93,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",34159,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
94,"The Day You Said Goodnight - Acoustic Version",Hale,33757,https://open.spotify.com/track/6CHpr3pY2MbJ5y1076UDnI
95,Weak,"Khel Pangilinan",33538,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3
96,Iris,"The Goo Goo Dolls",33408,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs
97,"SICKO MODE","Travis Scott",32933,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
98,Happier,"Ed Sheeran",32902,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
99,"Want To","Dua Lipa",32861,https://open.spotify.com/track/0CBFOvHlyqy30Q5tbyNHfQ
100,"The Scientist",Coldplay,32724,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
101,"Sincerity Is Scary","The 1975",32232,https://open.spotify.com/track/06Vthiq8nNDuT5nOcch535
102,"Kahit Di Mo Alam","December Avenue",32142,https://open.spotify.com/track/6GIzDc4xBUeYHwubWwTrhC
103,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",31865,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
104,"Can’t Help Falling in Love","Kina Grannis",31437,https://open.spotify.com/track/7uuEfUMuPeQ7RlSWa0cES2
105,"One and Only","Parokya Ni Edgar",31401,https://open.spotify.com/track/3OpGUlDmRUXh0NkIYWoIlD
106,"Why Can't It Be","Kaye Cal",31211,https://open.spotify.com/track/0zFYa7NIpKhmom8zrZx7Ga
107,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",31106,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
108,"FOREVER YOUNG - KR Ver.",BLACKPINK,31053,https://open.spotify.com/track/57Enap29zKl7NGRdDJjkjA
109,"I'm Yours","Jason Mraz",30657,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
110,"Ang Huling El Bimbo",Eraserheads,30570,https://open.spotify.com/track/135ggzbjOogZ75IQ0LQi8r
111,"Two Less Lonely People in the World (Official Movie Theme Song Of ""Kita Kita"")","KZ Tandingan",30569,https://open.spotify.com/track/46ixegtxjERQMCutmp09Sa
112,"Huling Sayaw - Acoustic",Kamikazee,30519,https://open.spotify.com/track/4UgtdWy4dm7vMVIupUbtMm
113,Natural,"Imagine Dragons",30405,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
114,"Kung Akin Ang Mundo","Erik Santos",30299,https://open.spotify.com/track/0W2kzUI1K0tT0RpggJZ4Js
115,Darkside,"Alan Walker",30109,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
116,"Don't Know What To Do (Don't Know What To Say)","Mark Carpio",29945,https://open.spotify.com/track/1ER60P43ftVOLaMRvBfpnt
117,"Psycho (feat. Ty Dolla $ign)","Post Malone",29865,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
118,Pa-Umaga,"Al James",29348,https://open.spotify.com/track/1bvPjHWOc5C8nHkw5U2Vb4
119,Havana,"Camila Cabello",29204,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
120,"'Di Na Muli",Itchyworms,29066,https://open.spotify.com/track/0rkML0CSX3wteVwUh5cspv
121,Sa'yo,"Silent Sanctuary",29005,https://open.spotify.com/track/29xs643Q96uQLD8f7SxYYw
122,Torete,"Moira Dela Torre",28507,https://open.spotify.com/track/7mxm4xOU54u1ODM9fS9w2y
123,IDOL,BTS,28464,https://open.spotify.com/track/2AIWoHr9DF6y4KALCBKWQS
124,Closer,"The Chainsmokers",28274,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
125,"Nothing's Gonna Stop Us Now - From ""Crazy Beautiful You""","Morissette Amon",28212,https://open.spotify.com/track/1qoXYfWILyuN0EatImGlma
