,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Quiere Beber","Anuel Aa",27030,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
2,BEBE,6ix9ine,24440,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
3,"Vaina Loca",Ozuna,23154,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
4,Hipócrita,"Anuel Aa",22473,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
5,"Toda - Remix","Alex Rose",20954,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
6,"No Es Justo","J Balvin",19717,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
7,Asesina,Brytiago,17585,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
8,"La Player (Bandolera)","Zion & Lennox",14763,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
9,"Cuando Te Besé","Becky G",14330,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
10,"Sin Pijama","Becky G",13453,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
11,"Te Boté - Remix","Nio Garcia",13133,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
12,"Mala Mía",Maluma,12776,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
13,"Por Perro","Sebastian Yatra",12364,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
14,Brindemos,"Anuel Aa",12064,https://open.spotify.com/track/7LeQ55Z5jPBB0ggYJtAiYO
15,Culpables,"Manuel Turizo",12010,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn
16,"Chica Paranormal","Paulo Londra",10810,https://open.spotify.com/track/2r77vqSZkOktTSgmAOoHsV
17,"Madura (feat. Bad Bunny)",Cosculluela,10226,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
18,"Estamos Bien","Bad Bunny",9725,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
19,Clandestino,Shakira,9667,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
20,Triste,"Bryant Myers",9317,https://open.spotify.com/track/5MNS5FF4LrTX0jIaI0gory
21,Unica,Ozuna,9119,https://open.spotify.com/track/33b2wX9d0kxqxhi7lcsC1A
22,"No Me Acuerdo",Thalía,9062,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
23,"Mi Cama - Remix","Karol G",8788,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE
24,"Ya No Tiene Novio","Sebastian Yatra",8685,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
25,"Te Amo","Piso 21",8122,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
26,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",7664,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
27,"Me Niego",Reik,7500,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
28,"Amigos Con Derechos",Reik,7282,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
29,"Puntos Suspensivos","Piso 21",7214,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv
30,"I Like It","Cardi B",6829,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
31,Supuestamente,Ozuna,6610,https://open.spotify.com/track/1ZBU5DSoYQwaZVgep6pfn2
32,"Me Dijeron",Ozuna,6607,https://open.spotify.com/track/17UUYZ290omPaJY4wKeyHh
33,"X - Remix","Nicky Jam",6560,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
34,"¿Cual es tu plan?","Bad Bunny",6359,https://open.spotify.com/track/4HRDBtek0ayfLQ6uc7rjO9
35,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",6001,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
36,"No Te Creas Tan Importante - En Vivo","Damas Gratis",5783,https://open.spotify.com/track/3trowLiYwwOoiwapLISNyk
37,Darte,"Alex Rose",5435,https://open.spotify.com/track/1l32xprL1vhaCYPZe3Jkxn
38,"In My Feelings",Drake,5381,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
39,"To My Love - Tainy Remix","Bomba Estéreo",5323,https://open.spotify.com/track/5LciLoxa1gK70yIUeoHgRx
40,"El Clavo - Remix","Prince Royce",5296,https://open.spotify.com/track/6bI00brFpeprqCDqKouEJS
41,"Darte Remix","Alex Rose",5188,https://open.spotify.com/track/6xqbec9MHRmW7qtEINAlRx
42,"Dura - Remix","Daddy Yankee",5166,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
43,"Loca Remix",Khea,4955,https://open.spotify.com/track/2CRbiMK0W14l71SpDKqKZM
44,Culpables,"Karol G",4853,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
45,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",4685,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
46,"No Hay Nadie Más","Sebastian Yatra",4497,https://open.spotify.com/track/3IPJg1sdqLj12kFIndaonN
47,"Unica - Remix",Ozuna,4444,https://open.spotify.com/track/5Sv1rKKMX1yl9kfJ2HTluk
48,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",4373,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
49,"Amor de Verdade","MC Kekel",4310,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
50,"Tú Y Yo (feat. Nicky Jam & Justin Quiles)",Valentino,4299,https://open.spotify.com/track/58smOywZbVu8AjWutppiQA
51,Dimelo,"Paulo Londra",4057,https://open.spotify.com/track/3uwehoqKSQLa5lFFvIX6M3
52,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",3747,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
53,Dembow,"Danny Ocean",3474,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
54,"Desnudate Remix",Lenuel,3434,https://open.spotify.com/track/5EIrffg8uHjdrPoXest7ZJ
55,Medicina,Anitta,3399,https://open.spotify.com/track/4R5xvs5X0phd0EYWyGigju
56,"Girls Like You (feat. Cardi B)","Maroon 5",3365,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
57,"Pensando en Ti","Anuel Aa",3361,https://open.spotify.com/track/3aY5VP7fEtVHfEc1o8eRNK
58,Solita,Ozuna,3319,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
59,"La Vida Sin Ti","Piso 21",3248,https://open.spotify.com/track/1RvL7eHoeUolnQbWm2Hnba
60,"Dejate Llevar","Alex Rose",3238,https://open.spotify.com/track/4kMA4DdOlkzJGUhx8tMcAv
61,"Síguelo Bailando",Ozuna,3237,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
62,"Zum Zum","Daddy Yankee",3213,https://open.spotify.com/track/7lEhOiFtcLXY4P7cuTKuQ8
63,"I Love It (& Lil Pump)","Kanye West",3184,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
64,Ibiza,Ozuna,3088,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp
65,"O Bebê","MC Kevinho",3080,https://open.spotify.com/track/51HrDv54pSe1IqynORNXBd
66,"Epa Wei","Danny Ocean",3011,https://open.spotify.com/track/2QmsKag0YaqhAbpR9Nwmpn
67,"Mi Cama","Karol G",2965,https://open.spotify.com/track/7sFYVcKSb24qg0dAkqLEFj
68,"Me Vas a Extrañar - En Vivo","Damas Gratis",2956,https://open.spotify.com/track/3CACzG9I3AoKUKA3ODE5zW
69,Esperándote,"Manuel Turizo",2940,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj
70,Celoso,"Lele Pons",2914,https://open.spotify.com/track/33zcmmElV1YbRZe57biUjg
71,"Bella - Remix",Wolfine,2898,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
72,Believer,"Imagine Dragons",2888,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
73,Ambiente,"J Balvin",2855,https://open.spotify.com/track/6VrBWh90BiwWmwKtvwWFcq
74,"Jogo do Amor","MC Bruninho",2821,https://open.spotify.com/track/3MxbRHE1u74SoMNR9iURIZ
75,"Percocet - Remix","Alex Rose",2805,https://open.spotify.com/track/7H6OwsBoSI4BVWm5M7MTOQ
76,X,"Nicky Jam",2784,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
77,"El Préstamo",Maluma,2776,https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz
78,"No Me Llores",Duki,2734,https://open.spotify.com/track/4DNzemGNnckcJSr8DVk8Uj
79,"A Partir De Hoy","David Bisbal",2733,https://open.spotify.com/track/7ojH6H4wE6XJNgzU4uvNc8
80,Casualidad,Nacho,2728,https://open.spotify.com/track/08rwXPBZ2DHOwnL7xaz044
81,"She Don't Give a Fo",Duki,2722,https://open.spotify.com/track/6S3yaMAF7jB4GfjXdYLsD0
82,"Pasado y Presente",Ozuna,2715,https://open.spotify.com/track/6NPjHwhEG7eQUQBoPFBrnz
83,"Otra Vez (feat. J Balvin)","Zion & Lennox",2656,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
84,"One Kiss (with Dua Lipa)","Calvin Harris",2648,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
85,"Me Rehúso","Danny Ocean",2600,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
86,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,2572,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
87,"In My Mind",Dynoro,2557,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
88,Naturaleza,"Anuel Aa",2540,https://open.spotify.com/track/1icm3g1X4j3tFk4z2PrauY
89,"Ahora no",FMK,2487,https://open.spotify.com/track/1fxwD70zSHgakPFIAC0pz7
90,"Electricity (with Dua Lipa)","Silk City",2472,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
91,"Quiero Volver",TINI,2446,https://open.spotify.com/track/1jcAZRfufvi67KWnwRmizE
92,Hola,"Zion & Lennox",2438,https://open.spotify.com/track/2dYJKHEqAUTCk2U9zntaS1
93,Yeezy,"Anuel Aa",2395,https://open.spotify.com/track/4CzA04WEvvXF6ItpzVTP4b
94,Natural,"Imagine Dragons",2370,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
95,Thunder,"Imagine Dragons",2354,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
96,Original,Arcangel,2351,https://open.spotify.com/track/1LBlcCtOrKITXpEp1hnNpj
97,Bipolar,"Chris Jeday",2338,https://open.spotify.com/track/4WzsycqZkpkS48H9AAAGux
98,"Miss Lonely - Dimelo Flow Remix",Sech,2316,https://open.spotify.com/track/3tRtlS9YUyYqVgqO3iM4bW
99,"Na' Nuevo","Anuel Aa",2313,https://open.spotify.com/track/02LKuab9xcpE1dGc5Gd8iM
100,"Solo - Remix","Lary Over",2232,https://open.spotify.com/track/3He16IbDCweYwKPIa9jbNS
101,Sensualidad,"Bad Bunny",2198,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
102,Devuelveme,Ozuna,2180,https://open.spotify.com/track/5uvucCRBTkxv7VxIDLOqe7
103,"Modo de Avión","Anuel Aa",2175,https://open.spotify.com/track/6BCEo2rSKFYVubwhXl9KxK
104,Fuleragem,"MC WM",2171,https://open.spotify.com/track/6tuzPD1zPPvwMbGiD0TBay
105,"Se Preparó",Ozuna,2165,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
106,Bandolera,"Anuel Aa",2127,https://open.spotify.com/track/3WapscF576b4Gw6tED2kWL
107,"God's Plan",Drake,2098,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
108,IDGAF,"Dua Lipa",2095,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
109,Criminal,"Natti Natasha",2084,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
110,Happier,Marshmello,2055,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
111,"El Farsante - Remix",Ozuna,2048,https://open.spotify.com/track/7uYgVgRSgqluZclLS7wpp4
112,"Bebe (feat. Anuel AA)",Ozuna,2041,https://open.spotify.com/track/6SIrNxmmdbv1KUbFBu1PaN
113,"The Scientist",Coldplay,2018,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
114,"Noche De Sexo","Wisin & Yandel",2018,https://open.spotify.com/track/4kAtRwNRLMKuoCbxMSxUGI
115,"Como Soy","Pacho El Antifeka",2018,https://open.spotify.com/track/7jIfxFhZSmH3LGud6D5m2w
116,SAD!,XXXTENTACION,2018,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
117,Aura,Ozuna,1998,https://open.spotify.com/track/1AVu7Kc2MRrLfOG1RCEf07
118,"Quiero Repetir",Ozuna,1996,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri
119,"Me Hace Falta","Bryant Mayers",1982,https://open.spotify.com/track/4YlhC2EGTuTlM7AFeuwbob
120,"Ojitos Chiquitos","Don Omar",1981,https://open.spotify.com/track/4f49sFQko7jHLEFd3tCf5p
121,"Promises (with Sam Smith)","Calvin Harris",1956,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
122,"Algo Me Gusta De Ti","Wisin & Yandel",1936,https://open.spotify.com/track/2FqoR7diymD1Eh7cVb3DMg
123,"Quiero Mas",Ozuna,1932,https://open.spotify.com/track/1aYcpI8hXtpAEdBq8fp1pH
124,Vete,Khea,1932,https://open.spotify.com/track/2rZB6indPhp8C5AZK1PpkS
125,"Escápate Conmigo (feat. Ozuna)",Wisin,1930,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc
126,"New Rules","Dua Lipa",1922,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
127,"Quisiera Alejarme (feat. Ozuna & CNCO) - Remix",Wisin,1913,https://open.spotify.com/track/4khRdk0vpLBWzGu41Fd7Rl
128,Disfruto,"Carla Morrison",1911,https://open.spotify.com/track/0zTSmiDzVkIPUPjsHcUWpe
129,Abuso,Brytiago,1904,https://open.spotify.com/track/1SRkUC6I28rxLS3XX5DDqE
