,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Love It (& Lil Pump)","Kanye West",9264,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
2,"Lucky You (feat. Joyner Lucas)",Eminem,8517,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
3,"The Ringer",Eminem,5045,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
4,Fall,Eminem,4680,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
5,"Not Alike (feat. Royce Da 5'9)",Eminem,4307,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
6,"SICKO MODE","Travis Scott",3995,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
7,Greatest,Eminem,3895,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
8,"Eastside (with Halsey & Khalid)","benny blanco",3795,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
9,"In My Mind",Dynoro,3761,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
10,"Wake Up in the Sky","Gucci Mane",3759,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
11,"In My Feelings",Drake,3758,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
12,Kamikaze,Eminem,3719,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
13,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,3649,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
14,"Promises (with Sam Smith)","Calvin Harris",3627,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
15,"Say My Name","David Guetta",3465,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
16,"Taste (feat. Offset)",Tyga,3339,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
17,SAD!,XXXTENTACION,3139,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
18,Natural,"Imagine Dragons",3070,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
19,"Be Alright","Dean Lewis",3005,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
20,Happier,Marshmello,3004,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
21,Moonlight,XXXTENTACION,2953,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
22,"Body (feat. brando)","Loud Luxury",2928,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
23,Better,Khalid,2902,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
24,"Burn Out (feat. Dewain Whitmore)","Martin Garrix",2899,https://open.spotify.com/track/7IWTIkiWGWNQyYfOLdMrGD
25,"Electricity (with Dua Lipa)","Silk City",2798,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
