,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Love It (& Lil Pump)","Kanye West",1942212,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
2,"SICKO MODE","Travis Scott",1595560,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
3,"Lucky You (feat. Joyner Lucas)",Eminem,1487439,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
4,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,1383494,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
5,"Lucid Dreams","Juice WRLD",1376013,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
6,"In My Feelings",Drake,1142359,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
7,Nonstop,Drake,1045963,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
8,SAD!,XXXTENTACION,1032334,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
9,"Wake Up in the Sky","Gucci Mane",1022568,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
10,Moonlight,XXXTENTACION,958142,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
11,"Taste (feat. Offset)",Tyga,940586,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
12,"Mo Bamba","Sheck Wes",923924,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
13,Happier,Marshmello,889152,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
14,"Eastside (with Halsey & Khalid)","benny blanco",873516,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
15,"Better Now","Post Malone",873378,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
16,"Yes Indeed","Lil Baby",865086,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
17,"The Ringer",Eminem,838907,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
18,Better,Khalid,788874,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
19,"Self Care","Mac Miller",785082,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
20,"I Like It","Cardi B",774525,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
21,STARGAZING,"Travis Scott",767688,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
22,"Drip Too Hard","Lil Baby",759466,https://open.spotify.com/track/1BxkZE73h9BN3qwuA15TA3
23,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,697051,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
24,"Jocelyn Flores",XXXTENTACION,681599,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
25,breathin,"Ariana Grande",664392,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
26,"SLOW DANCING IN THE DARK",Joji,661274,https://open.spotify.com/track/0UyljEbX9dqI1K0sqdv6B6
27,"Girls Like You (feat. Cardi B)","Maroon 5",660453,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
28,"Lean Wit Me","Juice WRLD",655018,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
29,"Pretty Little Fears (feat. J. Cole)",6LACK,654491,https://open.spotify.com/track/4at3d5QWnlibMVN75ECDrp
30,"Not Alike (feat. Royce Da 5'9)",Eminem,634612,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
31,"All Girls Are The Same","Juice WRLD",634492,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
32,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,628607,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
33,"No Brainer","DJ Khaled",627709,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
34,Noticed,"Lil Mosey",615800,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC
35,Fall,Eminem,614795,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
36,"Psycho (feat. Ty Dolla $ign)","Post Malone",606846,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
37,"God is a woman","Ariana Grande",606498,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
38,Natural,"Imagine Dragons",603183,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
39,"Electricity (with Dua Lipa)","Silk City",599681,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
40,"God's Plan",Drake,587968,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
41,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",573224,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
42,"Promises (with Sam Smith)","Calvin Harris",566880,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
43,"Nice For What",Drake,559471,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
44,"Be Alright","Dean Lewis",557775,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
45,changes,XXXTENTACION,555183,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
46,Youngblood,"5 Seconds of Summer",549065,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
47,Greatest,Eminem,546480,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
48,"rockstar (feat. 21 Savage)","Post Malone",540039,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
49,"W O R K I N M E",Quavo,513234,https://open.spotify.com/track/33tNYw9oMtSkGe27NpgS64
50,"Look Alive (feat. Drake)","BlocBoy JB",510523,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
51,"RAP DEVIL","Machine Gun Kelly",510261,https://open.spotify.com/track/63TyoT9Ee03rQxv8xmdJ2l
52,"Drew Barrymore","Bryce Vine",505684,https://open.spotify.com/track/0OgGn1ofaj55l2PcihQQGV
53,YOSEMITE,"Travis Scott",503162,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
54,"Praise The Lord (Da Shine)","A$AP Rocky",496851,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
55,"Taking A Walk","Trippie Redd",489666,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
56,Kamikaze,Eminem,476732,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
57,"East Atlanta Love Letter (feat. Future)",6LACK,472710,https://open.spotify.com/track/6rJmWa5DvQ3Nby3tdcX2L0
58,"Thunderclouds with Sia, Diplo & Labrinth",Sia,471315,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
59,"Body (feat. brando)","Loud Luxury",466149,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
60,"I Fall Apart","Post Malone",462768,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
61,"Beautiful (feat. Camila Cabello)",Bazzi,454521,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
62,"Leave Me Alone","Flipp Dinero",445035,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
63,"Balenciaga Challenge (feat. Offset)",6LACK,436263,https://open.spotify.com/track/6Zisja44KqMZj4GM4UY6Yv
64,"no tears left to cry","Ariana Grande",433695,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
65,"Say My Name","David Guetta",431609,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
66,"Everybody Dies In Their Nightmares",XXXTENTACION,429719,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
67,"Ric Flair Drip (& Metro Boomin)",Offset,428207,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
68,"My Boy (feat. J. Cole) - Freestyle",Wale,420175,https://open.spotify.com/track/11QvWp3CsEPd0YLE6xKGyx
69,"Hopeless Romantic (feat. Swae Lee)","Wiz Khalifa",416467,https://open.spotify.com/track/7IBSffWIu7P2MC7kMwy2FM
70,"Love Lies (with Normani)",Khalid,415800,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
71,BEBE,6ix9ine,414118,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
72,"Mariners Apartment Complex","Lana Del Rey",408151,https://open.spotify.com/track/4UAW2gObi5o6sJla0qZpPn
73,"Jackie Chan",Tiësto,396905,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
74,"Te Boté - Remix","Nio Garcia",393746,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
75,Unfair,6LACK,386148,https://open.spotify.com/track/3Q33RhbyoFul9LdKKjticI
76,"XO TOUR Llif3","Lil Uzi Vert",385899,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
77,"Plug Walk","Rich The Kid",380575,https://open.spotify.com/track/1ZAyjvIk9YiD76yYy0TEG6
78,Hope,XXXTENTACION,377730,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
79,SWISH,Tyga,377603,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
80,"I'm Upset",Drake,375658,https://open.spotify.com/track/3qN5qMTKyEEmiTZD38BNTT
81,Trip,"Ella Mai",372990,https://open.spotify.com/track/7noud145AHZGg74vpWOsCa
82,"Loaded Gun",6LACK,370244,https://open.spotify.com/track/1wb7Mqon4o1ViLjaLV9f8U
83,"lovely (with Khalid)","Billie Eilish",369119,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
84,Normal,Eminem,368278,https://open.spotify.com/track/0evt4UZbdhnHtcAnxkm6A1
85,"Look At Me!",XXXTENTACION,365760,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
86,Lust,"Lil Skies",364461,https://open.spotify.com/track/7oJrVhiTPZGBXWPwhxjy9S
87,OTW,Khalid,363363,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
88,"Mob Ties",Drake,358281,https://open.spotify.com/track/7rC5Pl8rQSX4myONQHYPBK
89,"High Hopes","Panic! At The Disco",355756,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
90,"Magic In The Hamptons (feat. Lil Yachty)","Social House",354260,https://open.spotify.com/track/2Yer0p7uB2lVBUAtANuuQp
91,Ladders,"Mac Miller",353648,https://open.spotify.com/track/39NDBdU5Xkm5pCFGa5kZtI
92,"Ball For Me (feat. Nicki Minaj)","Post Malone",353637,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
93,"Feels Like Summer","Childish Gambino",352630,https://open.spotify.com/track/7p4vHnYXkxlzvfePJVpcTr
94,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,350480,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
95,"Venom - Music From The Motion Picture",Eminem,342409,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
96,"Let Her Go",6LACK,339289,https://open.spotify.com/track/0CIGZEXjZ8L52lOrqUljJt
97,REMEDY,Alesso,336596,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
98,Legends,"Juice WRLD",335802,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
99,"Stepping Stone",Eminem,333150,https://open.spotify.com/track/60Z57Wdrn0pEVpHI7d7GAX
100,"Chanel (Go Get It) [feat. Gunna & Lil Baby]","Young Thug",332686,https://open.spotify.com/track/0kCBorRrKZkSztd9m0QI3r
101,"BUTTERFLY EFFECT","Travis Scott",332535,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
102,"REEL IT IN",Aminé,331731,https://open.spotify.com/track/5qHirGR7M9tdm6C17DlzSY
103,"Boo'd Up","Ella Mai",327698,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
104,"Candy Paint","Post Malone",327115,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
105,"In My Mind",Dynoro,326026,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
106,Switch,6LACK,325418,https://open.spotify.com/track/29ZZAShKhwRUuKULSNtxX6
107,"Nephew (feat. Lil Pump)",Smokepurpp,324651,https://open.spotify.com/track/0ibOcbkp2XG46Do8jcy0bL
108,"Hurt Feelings","Mac Miller",322681,https://open.spotify.com/track/5p7GiBZNL1afJJDUrOA6C8
109,"I Like Me Better",Lauv,320108,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
110,JAPAN,"Famous Dex",318337,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
111,"Happy Now",Zedd,316260,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
112,Mine,Bazzi,315661,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
113,"Vaina Loca",Ozuna,312450,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
114,Congratulations,"Post Malone",312370,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
115,"The Flute Song",Russ,312128,https://open.spotify.com/track/6pGuOWYOFDcSgmVvFWRWSv
116,HUMBLE.,"Kendrick Lamar",311796,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
117,"Walk It Talk It",Migos,311306,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
118,Sorry,6LACK,307234,https://open.spotify.com/track/2xRyZfWe9bnRfH1ZfhYO98
119,"Roll In Peace (feat. XXXTENTACION)","Kodak Black",306132,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI
120,Nonchalant,6LACK,306120,https://open.spotify.com/track/7c3K8ifIoaVZ2MSUuGo0Co
121,"Good Guy (feat. Jessie Reyez)",Eminem,305950,https://open.spotify.com/track/4g32MdRoqwGKQd3NXIRhpU
122,"Ned Flanders (feat. A$AP Ferg)",MadeinTYO,305267,https://open.spotify.com/track/6f5i916F3jU6BhOOD7iGqf
123,"All Mine","Kanye West",305004,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
124,"Bounce Out With That","YBN Nahmir",304880,https://open.spotify.com/track/5gQcxYXqnofyocKgEbGYKt
125,"Come Back to Earth","Mac Miller",304152,https://open.spotify.com/track/01z2fBGB8Hl3Jd3zXe4IXR
126,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",301570,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
127,"Nowadays (feat. Landon Cube)","Lil Skies",299556,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp
128,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",295566,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
