,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Vaina Loca",Ozuna,16228,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
2,"Cuando Te Besé","Becky G",14601,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
3,"Ya No Tiene Novio","Sebastian Yatra",13813,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
4,"No Es Justo","J Balvin",13065,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
5,"Sin Pijama","Becky G",12729,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
6,"Toda - Remix","Alex Rose",12538,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
7,"Mala Mía",Maluma,12097,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
8,"Te Boté - Remix","Nio Garcia",11794,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
9,BEBE,6ix9ine,10181,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
10,"Quiere Beber","Anuel Aa",9504,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
11,Asesina,Brytiago,9204,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
12,Clandestino,Shakira,9203,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
13,"No Me Acuerdo",Thalía,8345,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
14,"Chica Paranormal","Paulo Londra",8145,https://open.spotify.com/track/2r77vqSZkOktTSgmAOoHsV
15,"Amigos Con Derechos",Reik,7932,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
16,"Me Niego",Reik,7884,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
17,"La Player (Bandolera)","Zion & Lennox",7371,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
18,"Mi Cama - Remix","Karol G",7244,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE
19,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",7222,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
20,"Por Perro","Sebastian Yatra",7163,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
21,Unica,Ozuna,6663,https://open.spotify.com/track/33b2wX9d0kxqxhi7lcsC1A
22,"Me Dijeron",Ozuna,6638,https://open.spotify.com/track/17UUYZ290omPaJY4wKeyHh
23,"X - Remix","Nicky Jam",6572,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
24,"Madura (feat. Bad Bunny)",Cosculluela,6514,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
25,Árabe,Papichamp,6436,https://open.spotify.com/track/58qmrrvUkA09szrox83VDp
26,Hipócrita,"Anuel Aa",6368,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
27,"Lo Siento",Luana,6083,https://open.spotify.com/track/6tFxKy7abbLRQaAn1cmBuU
28,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",5943,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
29,"No Me Llores",Duki,5845,https://open.spotify.com/track/4DNzemGNnckcJSr8DVk8Uj
30,Medicina,Anitta,5820,https://open.spotify.com/track/4R5xvs5X0phd0EYWyGigju
31,"Quiero Volver",TINI,5708,https://open.spotify.com/track/1jcAZRfufvi67KWnwRmizE
32,Celoso,"Lele Pons",5498,https://open.spotify.com/track/33zcmmElV1YbRZe57biUjg
33,"Sin Querer Queriendo (feat. Mau y Ricky)",Lali,5433,https://open.spotify.com/track/5rUNrHC5b0oYanaw370Ncz
34,"Te Amo","Piso 21",5342,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
35,"Dura - Remix","Daddy Yankee",5309,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
36,"El Clavo - Remix","Prince Royce",4965,https://open.spotify.com/track/6bI00brFpeprqCDqKouEJS
37,"Si te vas","Lit Killah",4933,https://open.spotify.com/track/5VsHkOtg0Llpa6mTGZhp5e
38,"Duro y Suave","Leslie Grace",4743,https://open.spotify.com/track/31M5m42C3EGlbydf9XB5to
39,Ambiente,"J Balvin",4709,https://open.spotify.com/track/6VrBWh90BiwWmwKtvwWFcq
40,"Estamos Bien","Bad Bunny",4482,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
41,Culpables,"Manuel Turizo",4432,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn
42,"I Like It","Cardi B",4407,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
43,"A Ella",Luana,4395,https://open.spotify.com/track/0h9ZzM3pBiQyyw16MIbQDk
44,"Otra Botella","Neo Pistea",4257,https://open.spotify.com/track/2WH26XlMjUamdUwG56ZqWf
45,"Zum Zum","Daddy Yankee",4177,https://open.spotify.com/track/7lEhOiFtcLXY4P7cuTKuQ8
46,Casualidad,Nacho,4091,https://open.spotify.com/track/08rwXPBZ2DHOwnL7xaz044
47,"Bella - Remix",Wolfine,4017,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
48,"El Préstamo",Maluma,3967,https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz
49,Dimelo,"Paulo Londra",3593,https://open.spotify.com/track/3uwehoqKSQLa5lFFvIX6M3
50,"Tú Y Yo (feat. Nicky Jam & Justin Quiles)",Valentino,3527,https://open.spotify.com/track/58smOywZbVu8AjWutppiQA
51,"In My Feelings",Drake,3526,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
52,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",3465,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
53,Oncemil,Luana,3449,https://open.spotify.com/track/4nswNq7j5NcKyrYfS5SfvV
54,"Punto y Aparte","Dame 5",3348,https://open.spotify.com/track/3i0EM1qoypfmIjsH8d5DE1
55,"Girls Like You (feat. Cardi B)","Maroon 5",3294,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
56,"Cuando Nadie Ve",Morat,3277,https://open.spotify.com/track/1Cxd4ZJJ9VOQQpNcpdcZEQ
57,"Consejo de Amor",TINI,3160,https://open.spotify.com/track/1zHQ5gjJoNxT4RYFmGEWuo
58,Bufón,"Lit Killah",2977,https://open.spotify.com/track/6ovp1nCwIAOSMotiCF7pjk
59,X,"Nicky Jam",2974,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
60,"No Hay Nadie Más","Sebastian Yatra",2947,https://open.spotify.com/track/3IPJg1sdqLj12kFIndaonN
61,Calypso,"Luis Fonsi",2930,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
62,"Epa Wei","Danny Ocean",2880,https://open.spotify.com/track/2QmsKag0YaqhAbpR9Nwmpn
63,"Hijo De La Noche",Duki,2799,https://open.spotify.com/track/2p1AlnJxp15v7ohNuLwjbl
64,"Mi Cama","Karol G",2784,https://open.spotify.com/track/7sFYVcKSb24qg0dAkqLEFj
65,Perdóname,FMK,2760,https://open.spotify.com/track/4Uy3Q3h0VbWWyyiB1MmRoP
66,Hola,"Zion & Lennox",2760,https://open.spotify.com/track/2dYJKHEqAUTCk2U9zntaS1
67,"Loca Remix",Khea,2759,https://open.spotify.com/track/2CRbiMK0W14l71SpDKqKZM
68,"Síguelo Bailando",Ozuna,2757,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
69,"I Love It (& Lil Pump)","Kanye West",2732,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
70,Ferrari,Duki,2698,https://open.spotify.com/track/1YIqazOPARc41ThBqS7a8F
71,"La Cintura (feat. Flo Rida & TINI) - Remix","Alvaro Soler",2672,https://open.spotify.com/track/56gH0zGe3SP9SGNoQ2pWwn
72,Brindemos,"Anuel Aa",2631,https://open.spotify.com/track/7LeQ55Z5jPBB0ggYJtAiYO
