,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Thanh Xuan","Da LAB",5440,https://open.spotify.com/track/3b34161QoxLwsqhWSPy9i5
2,"Way Back Home",SHAUN,4117,https://open.spotify.com/track/3NxuezMdSLgt4OwHzBoUhL
3,"Thunderclouds with Sia, Diplo & Labrinth",Sia,3931,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
4,IDOL,BTS,3595,https://open.spotify.com/track/03iCbZaM4OkRR4We6wIzvx
5,"Bùa Yêu","Bich Phuong",3062,https://open.spotify.com/track/50NsdT6u77MIFociYnvzsG
6,"Girls Like You (feat. Cardi B)","Maroon 5",3031,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
7,"Burn Out (feat. Dewain Whitmore)","Martin Garrix",2837,https://open.spotify.com/track/7IWTIkiWGWNQyYfOLdMrGD
8,IDOL,BTS,2823,https://open.spotify.com/track/2AIWoHr9DF6y4KALCBKWQS
9,"Be Alright","Dean Lewis",2814,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
10,"Nguoi Hay Quen Em DI","My Tam",2765,https://open.spotify.com/track/6XJsQ5nqCu8RUv9pv1iz1x
11,"Em mới là người yêu anh",Min,2706,https://open.spotify.com/track/5s5WpwEoK2V0a1eZq8ES5Y
12,"Người Ta Có Thương Mình Đâu","Truc Nhan",2681,https://open.spotify.com/track/6A1Fp35pdTxUD5mb5BpjJE
13,"Love Someone","Lukas Graham",2672,https://open.spotify.com/track/6r3baE6njwU4aoJq6zPukG
14,"Nến Và Hoa",Rhymastic,2670,https://open.spotify.com/track/3zzyygDizZyE08d1yT9sXd
15,"Eastside (with Halsey & Khalid)","benny blanco",2595,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
16,Darkside,"Alan Walker",2585,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
17,"Happy Now",Zedd,2451,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
18,Happier,Marshmello,2369,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
19,"Hôm Nay Tôi Buồn","Phùng Khánh Linh",2332,https://open.spotify.com/track/4Jh1gihtrVUPcMebKpVGMk
20,"Muon Mang La Tu Luc","My Tam",2254,https://open.spotify.com/track/249fiLJ8fFXYLL4NNjjgXT
21,Natural,"Imagine Dragons",2201,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
22,"Trivia 轉 : Seesaw",BTS,2194,https://open.spotify.com/track/1ZPpGPko8oULTmi34rozMh
23,breathin,"Ariana Grande",2171,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
24,"Beautiful (feat. Camila Cabello)",Bazzi,2156,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
25,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,2150,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
26,"Hành Tinh Song Song",Vũ.,2111,https://open.spotify.com/track/300fqwkGKipgr8Ith1YQo2
27,"That Girl","Olly Murs",2014,https://open.spotify.com/track/4yYyidLY7wb22VEIL6Hzcj
28,"Electricity (with Dua Lipa)","Silk City",2002,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
29,"I Love It (& Lil Pump)","Kanye West",1972,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
30,Euphoria,BTS,1960,https://open.spotify.com/track/3p6hnejEQYXkiTO1lAzVc0
31,"Lucky You (feat. Joyner Lucas)",Eminem,1952,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
32,"Ngày Mai Em Đi","Lê Hiếu",1865,https://open.spotify.com/track/0ZP4bO2ywAv44HiEzzHaq5
33,"In My Feelings",Drake,1858,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
34,Havana,"Camila Cabello",1849,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
35,"Promises (with Sam Smith)","Calvin Harris",1848,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
36,"FAKE LOVE",BTS,1828,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
37,"Shape of You","Ed Sheeran",1816,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
38,"KILLING ME",iKON,1779,https://open.spotify.com/track/27kB4qLUCV8nZd2eOgj1Tk
39,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",1771,https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24
40,Superhero,Lauv,1762,https://open.spotify.com/track/1Fo4OvzP9PThFKMeMIAEYu
